,허브솔트,신라면,쌈장,친환경 접시 14cm,대여료 30000원,잔디그늘집 의자 추가,참이슬 단체,BBQ55단체,콜라 단체,일회용 종이컵,1인 수저세트,잔디그늘집 대여료 6인석,친환경 접시 23cm,스프라이트 단체,쌈야채세트,카스 병단체,햇반,본삼겹 단품실내,육개장 사발면,잔디그늘집 대여료 12인석,대여료 60000원,일회용 소주컵,대여료 90000원
허브솔트,1.0,0.3518058033044594,0.4933327379040186,0.34541247959750515,0.38190364226389373,0.3717827990250664,-0.03600776138644006,-0.06675022166155711,-0.005742599479535985,0.3477119205663855,0.4459214514680735,0.4930804882852472,0.4944963411082068,0.002072722723867917,0.3373304184965108,-0.0294741836137036,0.4531071821003501,0.211791382919165,0.3626099685812509,0.3698992560376449,0.33899215909407054,0.3329910274701587,0.34614111299477685
신라면,0.3518058033044594,1.0,0.39085564338858697,0.374292268880898,0.32654870094540617,0.5160995230259047,-0.06199699206568161,-0.055592524601780456,-0.028789503453125254,0.34155828218712264,0.2982974097440792,0.6443805255909295,0.34013681060132,-0.02475120617734802,0.37411227768317984,-0.06149498380321427,0.5797120600994783,0.07243723240401116,0.22722961361694835,0.5592985943392618,0.26056834914100013,0.27072857802520806,0.25464491614367607
쌈장,0.4933327379040186,0.39085564338858697,1.0,0.4613301266021087,0.4401219085907043,0.4190179069983004,-0.12216407892717532,-0.13648988773944795,-0.09175530884768773,0.38419920973814736,0.416771536934687,0.5449608427409574,0.47911215208783875,-0.09177880743430882,0.3438137360954235,-0.1208246782972981,0.4984629997831278,0.21671627605367,0.30762845360598434,0.36390061455561423,0.3492549528934487,0.3423140556105191,0.35880723074998844
친환경 접시 14cm,0.34541247959750515,0.374292268880898,0.4613301266021087,1.0,0.506301232068231,0.3467547210389244,-0.1515306955289246,-0.14255408636734784,-0.1399730056759726,0.5062893761868787,0.556021271852577,0.41265802040578653,0.47916163197273365,-0.13693851763387116,0.30187928722757945,-0.16861065770894526,0.5126353452451715,0.2406372973194558,0.2623453480127496,0.3258090911684571,0.4425905578933038,0.3756284415086891,0.3124698177457295
대여료 30000원,0.38190364226389373,0.32654870094540617,0.4401219085907043,0.506301232068231,1.0,0.35542460570374196,-0.3351857283885647,-0.3542895812360218,-0.3175550802375715,0.531573472474409,0.5025713809131489,0.47742756617133475,0.5294214145210949,-0.3114500593851995,0.38705432877419754,-0.34508568296011566,0.4307396886511574,0.30337083462293335,0.4235064159179023,0.3491356447956078,0.6950398973617408,0.3755100859225474,0.4485243748575299
잔디그늘집 의자 추가,0.3717827990250664,0.5160995230259047,0.4190179069983004,0.3467547210389244,0.35542460570374196,1.0,-0.013450980877157358,-0.009292308245648131,0.030827871459819023,0.4001403418774804,0.3711750223254768,0.6457332773890143,0.5121509828869035,0.03608665079600256,0.3217501934248159,0.0023070687881839532,0.4993969463548315,0.14624047932343595,0.27157151472104596,0.5865379703922753,0.3388313697917303,0.2684935362581033,0.2764223577005206
참이슬 단체,-0.03600776138644006,-0.06199699206568161,-0.12216407892717532,-0.1515306955289246,-0.3351857283885647,-0.013450980877157358,1.0,0.820762362117069,0.8660194562911939,-0.1078797093190059,-0.07494803340820641,0.030630625899947597,-0.10133462327770523,0.8557377959053527,0.02085097373798978,0.9068725475933818,-0.03709713824649791,-0.10975813827876627,-0.0937742786021543,0.039625515078149584,-0.26592464741099164,-0.052644548732503814,-0.21094575434164228
BBQ55단체,-0.06675022166155711,-0.055592524601780456,-0.13648988773944795,-0.14255408636734784,-0.3542895812360218,-0.009292308245648131,0.820762362117069,1.0,0.7994375535624088,-0.1327135311607851,-0.09106793085510693,0.015599227320615562,-0.1400140207241592,0.78883264224805,0.01898392981026353,0.8350011201809514,-0.06261081417522954,-0.10932060408874181,-0.11057592214809335,0.03496101436098585,-0.3158230203665727,-0.07289540319855765,-0.22632169587121342
콜라 단체,-0.005742599479535985,-0.028789503453125254,-0.09175530884768773,-0.1399730056759726,-0.3175550802375715,0.030827871459819023,0.8660194562911939,0.7994375535624088,1.0,-0.10451491774226666,-0.0570772058745788,0.045441001739335164,-0.0914185309405476,0.9600084135672883,0.010177732702144943,0.8869529162631071,-0.015674220406567307,-0.09167822526623196,-0.07092311342128027,0.04830404104293386,-0.25806976038629714,-0.029406909576992872,-0.20897786780272806
일회용 종이컵,0.3477119205663855,0.34155828218712264,0.38419920973814736,0.5062893761868787,0.531573472474409,0.4001403418774804,-0.1078797093190059,-0.1327135311607851,-0.10451491774226666,1.0,0.6348792127264837,0.48402128180381787,0.6533109308668051,-0.09788081565850099,0.3613310732541721,-0.12580005876059575,0.48389305031049124,0.20304988717086836,0.24178472177636018,0.3611403453591403,0.4371225851362413,0.48859545395223086,0.2551481867164659
