영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,1
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,1
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,15
2023-04-15,26
2023-04-16,7
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,27
2023-04-22,29
2023-04-23,13
2023-04-24,0
2023-04-25,10
2023-04-26,5
2023-04-27,10
2023-04-28,29
2023-04-29,36
2023-04-30,30
2023-05-01,13
2023-05-02,5
2023-05-03,4
2023-05-04,38
2023-05-05,28
2023-05-06,37
2023-05-07,42
2023-05-08,0
2023-05-09,3
2023-05-10,6
2023-05-11,26
2023-05-12,87
2023-05-13,43
2023-05-14,53
2023-05-15,0
2023-05-16,0
2023-05-17,4
2023-05-18,11
2023-05-19,40
2023-05-20,40
2023-05-21,25
2023-05-22,0
2023-05-23,2
2023-05-24,8
2023-05-25,14
2023-05-26,40
2023-05-27,43
2023-05-28,25
2023-05-29,8
2023-05-30,2
2023-05-31,0
2023-06-01,4
2023-06-02,19
2023-06-03,55
2023-06-04,37
2023-06-05,36
2023-06-06,23
2023-06-07,7
2023-06-08,9
2023-06-09,27
2023-06-10,60
2023-06-11,25
2023-06-12,0
2023-06-13,20
2023-06-14,3
2023-06-15,12
2023-06-16,39
2023-06-17,38
2023-06-18,30
2023-06-19,0
2023-06-20,11
2023-06-21,3
2023-06-22,27
2023-06-23,28
2023-06-24,52
2023-06-25,22
2023-06-26,0
2023-06-27,3
2023-06-28,8
2023-06-29,14
2023-06-30,37
2023-07-01,60
2023-07-02,20
2023-07-03,0
2023-07-04,0
2023-07-05,2
2023-07-06,10
2023-07-07,49
2023-07-08,57
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,3
2023-07-13,2
2023-07-14,24
2023-07-15,44
2023-07-16,16
2023-07-17,4
2023-07-18,3
2023-07-19,21
2023-07-20,19
2023-07-21,15
2023-07-22,41
2023-07-23,26
2023-07-24,17
2023-07-25,17
2023-07-26,10
2023-07-27,18
2023-07-28,51
2023-07-29,35
2023-07-30,31
2023-07-31,18
2023-08-01,45
2023-08-02,32
2023-08-03,23
2023-08-04,27
2023-08-05,35
2023-08-06,16
2023-08-07,10
2023-08-08,30
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,51
2023-08-13,44
2023-08-14,35
2023-08-15,29
2023-08-16,13
2023-08-17,4
2023-08-18,14
2023-08-19,37
2023-08-20,23
2023-08-21,11
2023-08-22,6
2023-08-23,1
2023-08-24,9
2023-08-25,32
2023-08-26,46
2023-08-27,27
2023-08-28,0
2023-08-29,5
2023-08-30,5
2023-08-31,14
2023-09-01,28
2023-09-02,40
2023-09-03,18
2023-09-04,0
2023-09-05,11
2023-09-06,4
2023-09-07,3
2023-09-08,26
2023-09-09,45
2023-09-10,18
2023-09-11,0
2023-09-12,2
2023-09-13,3
2023-09-14,15
2023-09-15,25
2023-09-16,46
2023-09-17,19
2023-09-18,0
2023-09-19,5
2023-09-20,3
2023-09-21,14
2023-09-22,8
2023-09-23,61
2023-09-24,9
2023-09-25,0
2023-09-26,1
2023-09-27,40
2023-09-28,38
2023-09-29,46
2023-09-30,39
2023-10-01,44
2023-10-02,46
2023-10-03,14
2023-10-04,5
2023-10-05,2
2023-10-06,27
2023-10-07,43
2023-10-08,66
2023-10-09,11
2023-10-10,6
2023-10-11,15
2023-10-12,20
2023-10-13,42
2023-10-14,42
2023-10-15,34
2023-10-16,0
2023-10-17,9
2023-10-18,7
2023-10-19,25
2023-10-20,50
2023-10-21,53
2023-10-22,33
2023-10-23,0
2023-10-24,12
2023-10-25,23
2023-10-26,26
2023-10-27,29
2023-10-28,33
2023-10-29,29
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,0
2023-11-03,0
2023-11-04,0
2023-11-05,0
2023-11-06,0
2023-11-07,0
2023-11-08,0
2023-11-09,0
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,2
2023-11-15,0
2023-11-16,0
2023-11-17,0
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,0
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,34
2024-04-20,37
2024-04-21,15
2024-04-22,0
2024-04-23,8
2024-04-24,6
2024-04-25,27
2024-04-26,2
2024-04-27,44
2024-04-28,21
2024-04-29,0
2024-04-30,22
2024-05-01,23
2024-05-02,6
2024-05-03,29
2024-05-04,44
2024-05-05,43
2024-05-06,5
2024-05-07,4
2024-05-08,6
2024-05-09,12
2024-05-10,21
2024-05-11,28
2024-05-12,17
2024-05-13,0
2024-05-14,21
2024-05-15,6
2024-05-16,4
2024-05-17,36
2024-05-18,27
2024-05-19,17
2024-05-20,0
2024-05-21,2
2024-05-22,5
2024-05-23,11
2024-05-24,40
2024-05-25,38
2024-05-26,10
2024-05-27,0
2024-05-28,5
2024-05-29,1
2024-05-30,6
2024-05-31,44
2024-06-01,39
2024-06-02,13
2024-06-03,0
2024-06-04,2
2024-06-05,24
2024-06-06,24
2024-06-07,42
2024-06-08,43
2024-06-09,12
2024-06-10,0
2024-06-11,3
2024-06-12,2
2024-06-13,20
2024-06-14,32
2024-06-15,39
