영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,4
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,21
2023-01-09,0
2023-01-10,0
2023-01-11,2
2023-01-12,12
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,20
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,26
2023-01-27,89
2023-01-28,0
2023-01-29,0
2023-01-30,23
2023-01-31,0
2023-02-01,22
2023-02-02,135
2023-02-03,6
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,12
2023-02-10,9
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,9
2023-02-15,0
2023-02-16,34
2023-02-17,39
2023-02-18,2
2023-02-19,0
2023-02-20,18
2023-02-21,0
2023-02-22,5
2023-02-23,21
2023-02-24,2
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,20
2023-03-11,0
2023-03-12,0
2023-03-13,110
2023-03-14,42
2023-03-15,17
2023-03-16,76
2023-03-17,34
2023-03-18,0
2023-03-19,0
2023-03-20,37
2023-03-21,0
2023-03-22,0
2023-03-23,120
2023-03-24,33
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,48
2023-03-29,0
2023-03-30,45
2023-03-31,24
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,18
2023-04-05,29
2023-04-06,128
2023-04-07,38
2023-04-08,0
2023-04-09,0
2023-04-10,28
2023-04-11,0
2023-04-12,50
2023-04-13,119
2023-04-14,16
2023-04-15,0
2023-04-16,0
2023-04-17,98
2023-04-18,0
2023-04-19,82
2023-04-20,190
2023-04-21,15
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,20
2023-04-26,0
2023-04-27,190
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,41
2023-05-04,0
2023-05-05,1
2023-05-06,0
2023-05-07,0
2023-05-08,50
2023-05-09,46
2023-05-10,50
2023-05-11,122
2023-05-12,139
2023-05-13,0
2023-05-14,0
2023-05-15,34
2023-05-16,0
2023-05-17,39
2023-05-18,149
2023-05-19,42
2023-05-20,0
2023-05-21,0
2023-05-22,69
2023-05-23,27
2023-05-24,31
2023-05-25,158
2023-05-26,10
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,65
2023-05-31,14
2023-06-01,31
2023-06-02,49
2023-06-03,0
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,81
2023-06-09,48
2023-06-10,0
2023-06-11,0
2023-06-12,183
2023-06-13,0
2023-06-14,133
2023-06-15,42
2023-06-16,384
2023-06-17,0
2023-06-18,0
2023-06-19,138
2023-06-20,21
2023-06-21,125
2023-06-22,217
2023-06-23,40
2023-06-24,0
2023-06-25,0
2023-06-26,58
2023-06-27,0
2023-06-28,38
2023-06-29,160
2023-06-30,121
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,170
2023-07-05,0
2023-07-06,54
2023-07-07,20
2023-07-08,0
2023-07-09,0
2023-07-10,0
2023-07-11,7
2023-07-12,42
2023-07-13,130
2023-07-14,100
2023-07-15,6
2023-07-16,0
2023-07-17,35
2023-07-18,8
2023-07-19,41
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,12
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,108
2023-08-11,9
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,5
2023-08-17,10
2023-08-18,70
2023-08-19,0
2023-08-20,0
2023-08-21,19
2023-08-22,14
2023-08-23,0
2023-08-24,24
2023-08-25,37
2023-08-26,0
2023-08-27,0
2023-08-28,9
2023-08-29,41
2023-08-30,150
2023-08-31,139
2023-09-01,26
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,38
2023-09-07,55
2023-09-08,27
2023-09-09,25
2023-09-10,0
2023-09-11,0
2023-09-12,85
2023-09-13,92
2023-09-14,91
2023-09-15,69
2023-09-16,2
2023-09-17,0
2023-09-18,0
2023-09-19,49
2023-09-20,79
2023-09-21,76
2023-09-22,61
2023-09-23,209
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,40
2023-10-05,101
2023-10-06,23
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,69
2023-10-12,73
2023-10-13,106
2023-10-14,0
2023-10-15,0
2023-10-16,104
2023-10-17,5
2023-10-18,35
2023-10-19,134
2023-10-20,91
2023-10-21,0
2023-10-22,0
2023-10-23,81
2023-10-24,0
2023-10-25,54
2023-10-26,161
2023-10-27,0
2023-10-28,10
2023-10-29,0
2023-10-30,0
2023-10-31,16
2023-11-01,242
2023-11-02,57
2023-11-03,96
2023-11-04,0
2023-11-05,0
2023-11-06,5
2023-11-07,13
2023-11-08,85
2023-11-09,89
2023-11-10,22
2023-11-11,0
2023-11-12,0
2023-11-13,30
2023-11-14,0
2023-11-15,106
2023-11-16,15
2023-11-17,81
2023-11-18,0
2023-11-19,0
2023-11-20,8
2023-11-21,0
2023-11-22,64
2023-11-23,36
2023-11-24,46
2023-11-25,0
2023-11-26,0
2023-11-27,56
2023-11-28,6
2023-11-29,0
2023-11-30,75
2023-12-01,4
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,5
2023-12-06,94
2023-12-07,72
2023-12-08,89
2023-12-09,0
2023-12-10,0
2023-12-11,38
2023-12-12,0
2023-12-13,0
2023-12-14,75
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,95
2023-12-19,25
2023-12-20,0
2023-12-21,30
2023-12-22,26
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,12
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,13
2024-01-05,0
2024-01-06,0
2024-01-07,33
2024-01-08,27
2024-01-09,0
2024-01-10,0
2024-01-11,31
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,19
2024-01-17,22
2024-01-18,26
2024-01-19,3
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,20
2024-01-25,11
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,8
2024-01-30,0
2024-01-31,0
2024-02-01,4
2024-02-02,0
2024-02-03,6
2024-02-04,0
2024-02-05,9
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,1
2024-02-15,55
2024-02-16,0
2024-02-17,2
2024-02-18,0
2024-02-19,18
2024-02-20,21
2024-02-21,13
2024-02-22,0
2024-02-23,9
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,17
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,8
2024-03-19,10
2024-03-20,23
2024-03-21,142
2024-03-22,40
2024-03-23,0
2024-03-24,0
2024-03-25,27
2024-03-26,0
2024-03-27,5
2024-03-28,78
2024-03-29,30
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,18
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,14
2024-04-12,124
2024-04-13,0
2024-04-14,0
2024-04-15,23
2024-04-16,67
2024-04-17,0
2024-04-18,91
2024-04-19,10
2024-04-20,0
2024-04-21,0
2024-04-22,149
2024-04-23,0
2024-04-24,0
2024-04-25,62
2024-04-26,153
2024-04-27,0
2024-04-28,0
2024-04-29,33
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,18
2024-05-09,89
2024-05-10,4
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,0
2024-05-16,47
2024-05-17,48
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,18
2024-05-23,124
2024-05-24,39
2024-05-25,0
2024-05-26,0
2024-05-27,12
2024-05-28,0
2024-05-29,27
2024-05-30,78
2024-05-31,75
2024-06-01,0
2024-06-02,0
2024-06-03,0
2024-06-04,0
2024-06-05,55
2024-06-06,0
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,114
2024-06-11,74
2024-06-12,60
2024-06-13,17
2024-06-14,110
2024-06-15,38
