영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,15
2023-01-04,0
2023-01-05,11
2023-01-06,0
2023-01-07,0
2023-01-08,36
2023-01-09,0
2023-01-10,0
2023-01-11,10
2023-01-12,43
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,22
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,27
2023-01-27,93
2023-01-28,0
2023-01-29,0
2023-01-30,38
2023-01-31,0
2023-02-01,23
2023-02-02,172
2023-02-03,42
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,11
2023-02-09,34
2023-02-10,2
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,22
2023-02-15,0
2023-02-16,22
2023-02-17,52
2023-02-18,9
2023-02-19,0
2023-02-20,63
2023-02-21,0
2023-02-22,30
2023-02-23,41
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,19
2023-03-11,0
2023-03-12,0
2023-03-13,73
2023-03-14,39
2023-03-15,31
2023-03-16,78
2023-03-17,86
2023-03-18,0
2023-03-19,0
2023-03-20,45
2023-03-21,0
2023-03-22,0
2023-03-23,107
2023-03-24,34
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,36
2023-03-29,0
2023-03-30,35
2023-03-31,4
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,22
2023-04-05,24
2023-04-06,140
2023-04-07,22
2023-04-08,0
2023-04-09,0
2023-04-10,30
2023-04-11,0
2023-04-12,74
2023-04-13,133
2023-04-14,17
2023-04-15,0
2023-04-16,0
2023-04-17,94
2023-04-18,0
2023-04-19,136
2023-04-20,167
2023-04-21,20
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,27
2023-04-26,0
2023-04-27,102
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,47
2023-05-04,0
2023-05-05,3
2023-05-06,0
2023-05-07,0
2023-05-08,52
2023-05-09,90
2023-05-10,52
2023-05-11,145
2023-05-12,92
2023-05-13,0
2023-05-14,0
2023-05-15,137
2023-05-16,0
2023-05-17,49
2023-05-18,133
2023-05-19,54
2023-05-20,0
2023-05-21,0
2023-05-22,63
2023-05-23,35
2023-05-24,34
2023-05-25,166
2023-05-26,27
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,39
2023-05-31,27
2023-06-01,53
2023-06-02,114
2023-06-03,0
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,167
2023-06-09,45
2023-06-10,0
2023-06-11,0
2023-06-12,127
2023-06-13,0
2023-06-14,205
2023-06-15,38
2023-06-16,372
2023-06-17,0
2023-06-18,0
2023-06-19,195
2023-06-20,30
2023-06-21,52
2023-06-22,286
2023-06-23,55
2023-06-24,0
2023-06-25,0
2023-06-26,88
2023-06-27,0
2023-06-28,46
2023-06-29,124
2023-06-30,122
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,130
2023-07-05,0
2023-07-06,62
2023-07-07,27
2023-07-08,0
2023-07-09,0
2023-07-10,0
2023-07-11,26
2023-07-12,32
2023-07-13,131
2023-07-14,26
2023-07-15,8
2023-07-16,0
2023-07-17,38
2023-07-18,54
2023-07-19,35
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,24
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,136
2023-08-11,23
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,11
2023-08-17,9
2023-08-18,83
2023-08-19,0
2023-08-20,0
2023-08-21,17
2023-08-22,30
2023-08-23,0
2023-08-24,27
2023-08-25,39
2023-08-26,0
2023-08-27,0
2023-08-28,35
2023-08-29,72
2023-08-30,93
2023-08-31,172
2023-09-01,44
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,30
2023-09-07,50
2023-09-08,14
2023-09-09,28
2023-09-10,0
2023-09-11,0
2023-09-12,65
2023-09-13,64
2023-09-14,179
2023-09-15,83
2023-09-16,3
2023-09-17,0
2023-09-18,0
2023-09-19,66
2023-09-20,72
2023-09-21,49
2023-09-22,140
2023-09-23,232
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,54
2023-10-05,96
2023-10-06,31
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,61
2023-10-12,74
2023-10-13,101
2023-10-14,0
2023-10-15,0
2023-10-16,76
2023-10-17,26
2023-10-18,40
2023-10-19,111
2023-10-20,71
2023-10-21,0
2023-10-22,0
2023-10-23,63
2023-10-24,0
2023-10-25,74
2023-10-26,65
2023-10-27,0
2023-10-28,10
2023-10-29,0
2023-10-30,0
2023-10-31,41
2023-11-01,184
2023-11-02,103
2023-11-03,79
2023-11-04,0
2023-11-05,0
2023-11-06,10
2023-11-07,15
2023-11-08,71
2023-11-09,137
2023-11-10,141
2023-11-11,0
2023-11-12,0
2023-11-13,43
2023-11-14,0
2023-11-15,95
2023-11-16,6
2023-11-17,73
2023-11-18,0
2023-11-19,0
2023-11-20,19
2023-11-21,0
2023-11-22,83
2023-11-23,68
2023-11-24,39
2023-11-25,0
2023-11-26,0
2023-11-27,119
2023-11-28,8
2023-11-29,0
2023-11-30,82
2023-12-01,31
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,8
2023-12-06,71
2023-12-07,135
2023-12-08,63
2023-12-09,0
2023-12-10,0
2023-12-11,43
2023-12-12,0
2023-12-13,0
2023-12-14,109
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,94
2023-12-19,38
2023-12-20,0
2023-12-21,35
2023-12-22,24
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,36
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,14
2024-01-05,0
2024-01-06,0
2024-01-07,20
2024-01-08,10
2024-01-09,0
2024-01-10,0
2024-01-11,36
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,42
2024-01-17,39
2024-01-18,48
2024-01-19,12
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,28
2024-01-25,24
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,10
2024-01-30,0
2024-01-31,0
2024-02-01,8
2024-02-02,0
2024-02-03,17
2024-02-04,0
2024-02-05,18
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,3
2024-02-15,37
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,26
2024-02-20,35
2024-02-21,5
2024-02-22,0
2024-02-23,16
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,53
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,18
2024-03-19,41
2024-03-20,20
2024-03-21,121
2024-03-22,37
2024-03-23,0
2024-03-24,0
2024-03-25,60
2024-03-26,0
2024-03-27,16
2024-03-28,45
2024-03-29,7
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,1
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,18
2024-04-12,111
2024-04-13,0
2024-04-14,0
2024-04-15,22
2024-04-16,38
2024-04-17,0
2024-04-18,165
2024-04-19,8
2024-04-20,0
2024-04-21,0
2024-04-22,68
2024-04-23,0
2024-04-24,0
2024-04-25,79
2024-04-26,165
2024-04-27,0
2024-04-28,0
2024-04-29,31
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,25
2024-05-09,122
2024-05-10,12
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,0
2024-05-16,63
2024-05-17,80
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,32
2024-05-23,163
2024-05-24,73
2024-05-25,0
2024-05-26,0
2024-05-27,3
2024-05-28,0
2024-05-29,30
2024-05-30,104
2024-05-31,60
2024-06-01,0
2024-06-02,0
2024-06-03,0
2024-06-04,0
2024-06-05,137
2024-06-06,0
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,60
2024-06-11,60
2024-06-12,86
2024-06-13,75
2024-06-14,189
2024-06-15,17
