영업일자,매출수량
2023-01-01,68
2023-01-02,63
2023-01-03,45
2023-01-04,33
2023-01-05,46
2023-01-06,71
2023-01-07,76
2023-01-08,51
2023-01-09,42
2023-01-10,87
2023-01-11,34
2023-01-12,42
2023-01-13,40
2023-01-14,63
2023-01-15,95
2023-01-16,36
2023-01-17,40
2023-01-18,26
2023-01-19,34
2023-01-20,54
2023-01-21,117
2023-01-22,90
2023-01-23,164
2023-01-24,22
2023-01-25,54
2023-01-26,45
2023-01-27,61
2023-01-28,69
2023-01-29,77
2023-01-30,46
2023-01-31,23
2023-02-01,23
2023-02-02,32
2023-02-03,48
2023-02-04,78
2023-02-05,48
2023-02-06,25
2023-02-07,10
2023-02-08,31
2023-02-09,25
2023-02-10,20
2023-02-11,86
2023-02-12,78
2023-02-13,19
2023-02-14,37
2023-02-15,16
2023-02-16,32
2023-02-17,35
2023-02-18,68
2023-02-19,87
2023-02-20,31
2023-02-21,11
2023-02-22,41
2023-02-23,29
2023-02-24,80
2023-02-25,99
2023-02-26,40
2023-02-27,49
2023-02-28,9
2023-03-01,5
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,8
2023-03-11,40
2023-03-12,16
2023-03-13,0
2023-03-14,5
2023-03-15,8
2023-03-16,0
2023-03-17,24
2023-03-18,48
2023-03-19,8
2023-03-20,4
2023-03-21,1
2023-03-22,0
2023-03-23,2
2023-03-24,18
2023-03-25,35
2023-03-26,13
2023-03-27,3
2023-03-28,1
2023-03-29,11
2023-03-30,2
2023-03-31,35
2023-04-01,81
2023-04-02,20
2023-04-03,33
2023-04-04,9
2023-04-05,8
2023-04-06,23
2023-04-07,29
2023-04-08,57
2023-04-09,41
2023-04-10,8
2023-04-11,9
2023-04-12,26
2023-04-13,34
2023-04-14,46
2023-04-15,57
2023-04-16,33
2023-04-17,12
2023-04-18,11
2023-04-19,12
2023-04-20,20
2023-04-21,55
2023-04-22,57
2023-04-23,74
2023-04-24,8
2023-04-25,23
2023-04-26,18
2023-04-27,11
2023-04-28,29
2023-04-29,69
2023-04-30,79
2023-05-01,41
2023-05-02,13
2023-05-03,18
2023-05-04,29
2023-05-05,78
2023-05-06,72
2023-05-07,42
2023-05-08,15
2023-05-09,16
