영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,129
2023-01-08,0
2023-01-09,0
2023-01-10,10
2023-01-11,0
2023-01-12,50
2023-01-13,62
2023-01-14,20
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,10
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,47
2023-01-28,8
2023-01-29,0
2023-01-30,0
2023-01-31,14
2023-02-01,0
2023-02-02,37
2023-02-03,88
2023-02-04,59
2023-02-05,0
2023-02-06,0
2023-02-07,130
2023-02-08,71
2023-02-09,0
2023-02-10,57
2023-02-11,38
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,59
2023-02-16,35
2023-02-17,106
2023-02-18,16
2023-02-19,13
2023-02-20,0
2023-02-21,123
2023-02-22,0
2023-02-23,24
2023-02-24,22
2023-02-25,40
2023-02-26,0
2023-02-27,0
2023-02-28,7
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,70
2023-03-12,20
2023-03-13,0
2023-03-14,116
2023-03-15,22
2023-03-16,0
2023-03-17,129
2023-03-18,52
2023-03-19,0
2023-03-20,0
2023-03-21,70
2023-03-22,0
2023-03-23,18
2023-03-24,109
2023-03-25,40
2023-03-26,0
2023-03-27,0
2023-03-28,17
2023-03-29,15
2023-03-30,0
2023-03-31,32
2023-04-01,26
2023-04-02,0
2023-04-03,0
2023-04-04,62
2023-04-05,24
2023-04-06,0
2023-04-07,116
2023-04-08,23
2023-04-09,0
2023-04-10,0
2023-04-11,83
2023-04-12,13
2023-04-13,59
2023-04-14,54
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,51
2023-04-19,0
2023-04-20,25
2023-04-21,42
2023-04-22,50
2023-04-23,0
2023-04-24,0
2023-04-25,12
2023-04-26,0
2023-04-27,0
2023-04-28,91
2023-04-29,180
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,41
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,34
2023-05-10,0
2023-05-11,0
2023-05-12,114
2023-05-13,27
2023-05-14,0
2023-05-15,0
2023-05-16,70
2023-05-17,23
2023-05-18,48
2023-05-19,140
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,94
2023-05-24,0
2023-05-25,40
2023-05-26,171
2023-05-27,38
2023-05-28,0
2023-05-29,0
2023-05-30,0
2023-05-31,49
2023-06-01,0
2023-06-02,95
2023-06-03,26
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,0
2023-06-09,127
2023-06-10,8
2023-06-11,0
2023-06-12,0
2023-06-13,129
2023-06-14,0
2023-06-15,76
2023-06-16,91
2023-06-17,66
2023-06-18,0
2023-06-19,0
2023-06-20,148
2023-06-21,56
2023-06-22,0
2023-06-23,186
2023-06-24,90
2023-06-25,0
2023-06-26,0
2023-06-27,80
2023-06-28,0
2023-06-29,60
2023-06-30,137
2023-07-01,66
2023-07-02,0
2023-07-03,0
2023-07-04,57
2023-07-05,164
2023-07-06,16
2023-07-07,146
2023-07-08,0
2023-07-09,60
2023-07-10,0
2023-07-11,67
2023-07-12,0
2023-07-13,46
2023-07-14,90
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,63
2023-07-19,26
2023-07-20,33
2023-07-21,120
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,37
2023-07-27,0
2023-07-28,64
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,30
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,8
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,20
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,17
2023-08-18,52
2023-08-19,75
2023-08-20,0
2023-08-21,0
2023-08-22,69
2023-08-23,77
2023-08-24,0
2023-08-25,74
2023-08-26,102
2023-08-27,0
2023-08-28,0
2023-08-29,33
2023-08-30,0
2023-08-31,156
2023-09-01,0
2023-09-02,45
2023-09-03,34
2023-09-04,0
2023-09-05,25
2023-09-06,27
2023-09-07,90
2023-09-08,85
2023-09-09,21
2023-09-10,45
2023-09-11,0
2023-09-12,0
2023-09-13,125
2023-09-14,63
2023-09-15,125
2023-09-16,70
2023-09-17,0
2023-09-18,0
2023-09-19,52
2023-09-20,30
2023-09-21,151
2023-09-22,61
2023-09-23,34
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,22
2023-10-06,142
2023-10-07,75
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,2
2023-10-12,79
2023-10-13,98
2023-10-14,130
2023-10-15,0
2023-10-16,0
2023-10-17,145
2023-10-18,78
2023-10-19,20
2023-10-20,80
2023-10-21,50
2023-10-22,0
2023-10-23,0
2023-10-24,67
2023-10-25,0
2023-10-26,20
2023-10-27,45
2023-10-28,28
2023-10-29,0
2023-10-30,0
2023-10-31,20
2023-11-01,0
2023-11-02,126
2023-11-03,184
2023-11-04,0
2023-11-05,0
2023-11-06,0
2023-11-07,70
2023-11-08,18
2023-11-09,55
2023-11-10,135
2023-11-11,120
2023-11-12,0
2023-11-13,0
2023-11-14,114
2023-11-15,0
2023-11-16,82
2023-11-17,29
2023-11-18,77
2023-11-19,0
2023-11-20,0
2023-11-21,0
2023-11-22,157
2023-11-23,63
2023-11-24,100
2023-11-25,48
2023-11-26,0
2023-11-27,0
2023-11-28,13
2023-11-29,12
2023-11-30,0
2023-12-01,113
2023-12-02,150
2023-12-03,0
2023-12-04,0
2023-12-05,100
2023-12-06,30
2023-12-07,105
2023-12-08,100
2023-12-09,16
2023-12-10,0
2023-12-11,0
2023-12-12,31
2023-12-13,0
2023-12-14,85
2023-12-15,87
2023-12-16,21
2023-12-17,0
2023-12-18,11
2023-12-19,136
2023-12-20,23
2023-12-21,0
2023-12-22,33
2023-12-23,20
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,15
2024-01-07,0
2024-01-08,0
2024-01-09,50
2024-01-10,47
2024-01-11,4
2024-01-12,112
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,25
2024-01-18,0
2024-01-19,158
2024-01-20,25
2024-01-21,0
2024-01-22,0
2024-01-23,70
2024-01-24,0
2024-01-25,62
2024-01-26,100
2024-01-27,108
2024-01-28,0
2024-01-29,0
2024-01-30,80
2024-01-31,0
2024-02-01,12
2024-02-02,72
2024-02-03,18
2024-02-04,11
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,86
2024-02-16,19
2024-02-17,15
2024-02-18,27
2024-02-19,0
2024-02-20,107
2024-02-21,24
2024-02-22,0
2024-02-23,88
2024-02-24,125
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,23
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,18
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,11
2024-03-20,101
2024-03-21,35
2024-03-22,62
2024-03-23,30
2024-03-24,0
2024-03-25,0
2024-03-26,35
2024-03-27,0
2024-03-28,22
2024-03-29,129
2024-03-30,44
2024-03-31,0
2024-04-01,0
2024-04-02,107
2024-04-03,14
2024-04-04,55
2024-04-05,55
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,0
2024-04-12,20
2024-04-13,99
2024-04-14,0
2024-04-15,0
2024-04-16,30
2024-04-17,69
2024-04-18,0
2024-04-19,165
2024-04-20,0
2024-04-21,7
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,64
2024-04-26,68
2024-04-27,159
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,35
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,65
2024-05-10,95
2024-05-11,100
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,36
2024-05-16,0
2024-05-17,24
2024-05-18,105
2024-05-19,0
2024-05-20,0
2024-05-21,20
2024-05-22,0
2024-05-23,0
2024-05-24,187
2024-05-25,37
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,43
2024-05-30,84
2024-05-31,118
2024-06-01,41
2024-06-02,0
2024-06-03,0
2024-06-04,76
2024-06-05,42
2024-06-06,0
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,0
2024-06-11,28
2024-06-12,73
2024-06-13,65
2024-06-14,85
2024-06-15,75
