영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,2
2023-06-03,14
2023-06-04,34
2023-06-05,31
2023-06-06,24
2023-06-07,6
2023-06-08,9
2023-06-09,14
2023-06-10,13
2023-06-11,9
2023-06-12,6
2023-06-13,5
2023-06-14,2
2023-06-15,0
2023-06-16,8
2023-06-17,25
2023-06-18,26
2023-06-19,0
2023-06-20,2
2023-06-21,6
2023-06-22,8
2023-06-23,20
2023-06-24,33
2023-06-25,20
2023-06-26,7
2023-06-27,24
2023-06-28,9
2023-06-29,9
2023-06-30,10
2023-07-01,26
2023-07-02,19
2023-07-03,0
2023-07-04,0
2023-07-05,3
2023-07-06,2
2023-07-07,14
2023-07-08,14
2023-07-09,13
2023-07-10,5
2023-07-11,0
2023-07-12,6
2023-07-13,6
2023-07-14,22
2023-07-15,9
2023-07-16,5
2023-07-17,4
2023-07-18,9
2023-07-19,3
2023-07-20,8
2023-07-21,5
2023-07-22,21
2023-07-23,17
2023-07-24,12
2023-07-25,22
2023-07-26,14
2023-07-27,4
2023-07-28,11
2023-07-29,26
2023-07-30,31
2023-07-31,25
2023-08-01,20
2023-08-02,26
2023-08-03,0
2023-08-04,14
2023-08-05,14
2023-08-06,17
2023-08-07,6
2023-08-08,2
2023-08-09,18
2023-08-10,17
2023-08-11,0
2023-08-12,15
2023-08-13,18
2023-08-14,13
2023-08-15,29
2023-08-16,2
2023-08-17,7
2023-08-18,2
2023-08-19,10
2023-08-20,11
2023-08-21,10
2023-08-22,6
2023-08-23,32
2023-08-24,6
2023-08-25,13
2023-08-26,14
2023-08-27,24
2023-08-28,19
2023-08-29,0
2023-08-30,12
2023-08-31,11
2023-09-01,6
2023-09-02,12
2023-09-03,43
2023-09-04,2
2023-09-05,3
2023-09-06,3
2023-09-07,23
2023-09-08,4
2023-09-09,19
2023-09-10,21
2023-09-11,8
2023-09-12,2
2023-09-13,2
2023-09-14,11
2023-09-15,23
2023-09-16,56
2023-09-17,30
2023-09-18,4
2023-09-19,0
2023-09-20,0
2023-09-21,25
2023-09-22,12
2023-09-23,25
2023-09-24,17
2023-09-25,5
2023-09-26,9
2023-09-27,4
2023-09-28,54
2023-09-29,77
2023-09-30,41
2023-10-01,41
2023-10-02,50
2023-10-03,56
2023-10-04,10
2023-10-05,10
2023-10-06,35
2023-10-07,45
2023-10-08,67
2023-10-09,45
2023-10-10,21
2023-10-11,33
2023-10-12,31
2023-10-13,35
2023-10-14,31
2023-10-15,36
2023-10-16,14
2023-10-17,63
2023-10-18,28
2023-10-19,67
2023-10-20,33
2023-10-21,29
2023-10-22,35
2023-10-23,64
2023-10-24,72
2023-10-25,30
2023-10-26,50
2023-10-27,17
2023-10-28,56
2023-10-29,67
2023-10-30,101
2023-10-31,41
2023-11-01,16
2023-11-02,19
2023-11-03,27
2023-11-04,43
2023-11-05,21
2023-11-06,45
2023-11-07,15
2023-11-08,28
2023-11-09,47
2023-11-10,23
2023-11-11,30
2023-11-12,26
2023-11-13,52
2023-11-14,64
2023-11-15,24
2023-11-16,7
2023-11-17,2
2023-11-18,31
2023-11-19,44
2023-11-20,6
2023-11-21,11
2023-11-22,17
2023-11-23,23
2023-11-24,8
2023-11-25,13
2023-11-26,26
2023-11-27,0
2023-11-28,30
2023-11-29,4
2023-11-30,0
2023-12-01,2
2023-12-02,4
2023-12-03,9
2023-12-04,4
2023-12-05,13
2023-12-06,10
2023-12-07,3
2023-12-08,3
2023-12-09,10
2023-12-10,2
2023-12-11,11
2023-12-12,5
2023-12-13,0
2023-12-14,0
2023-12-15,12
2023-12-16,9
2023-12-17,22
2023-12-18,10
2023-12-19,25
2023-12-20,17
2023-12-21,10
2023-12-22,20
2023-12-23,8
2023-12-24,28
2023-12-25,25
2023-12-26,25
2023-12-27,21
2023-12-28,28
2023-12-29,24
2023-12-30,61
2023-12-31,19
2024-01-01,33
2024-01-02,25
2024-01-03,13
2024-01-04,15
2024-01-05,14
2024-01-06,21
2024-01-07,24
2024-01-08,15
2024-01-09,30
2024-01-10,8
2024-01-11,16
2024-01-12,25
2024-01-13,62
2024-01-14,32
2024-01-15,24
2024-01-16,23
2024-01-17,24
2024-01-18,22
2024-01-19,15
2024-01-20,50
2024-01-21,27
2024-01-22,15
2024-01-23,17
2024-01-24,13
2024-01-25,8
2024-01-26,7
2024-01-27,18
2024-01-28,35
2024-01-29,27
2024-01-30,17
2024-01-31,19
2024-02-01,14
2024-02-02,14
2024-02-03,35
2024-02-04,28
2024-02-05,7
2024-02-06,4
2024-02-07,4
2024-02-08,9
2024-02-09,65
2024-02-10,45
2024-02-11,42
2024-02-12,31
2024-02-13,28
2024-02-14,2
2024-02-15,5
2024-02-16,15
2024-02-17,18
2024-02-18,35
2024-02-19,2
2024-02-20,23
2024-02-21,0
2024-02-22,6
2024-02-23,13
2024-02-24,38
2024-02-25,15
2024-02-26,12
2024-02-27,9
2024-02-28,10
2024-02-29,27
2024-03-01,23
2024-03-02,28
2024-03-03,8
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,2
2024-03-15,4
2024-03-16,17
2024-03-17,10
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,3
2024-03-23,7
2024-03-24,13
2024-03-25,4
2024-03-26,2
2024-03-27,4
2024-03-28,0
2024-03-29,0
2024-03-30,21
2024-03-31,22
2024-04-01,6
2024-04-02,24
2024-04-03,9
2024-04-04,18
2024-04-05,15
2024-04-06,35
2024-04-07,37
2024-04-08,0
2024-04-09,15
2024-04-10,27
2024-04-11,21
2024-04-12,25
2024-04-13,36
2024-04-14,44
2024-04-15,8
2024-04-16,8
2024-04-17,4
2024-04-18,71
2024-04-19,14
2024-04-20,8
2024-04-21,27
2024-04-22,2
2024-04-23,60
2024-04-24,2
2024-04-25,9
2024-04-26,27
2024-04-27,36
2024-04-28,22
2024-04-29,0
2024-04-30,42
2024-05-01,20
2024-05-02,7
2024-05-03,2
2024-05-04,32
2024-05-05,33
2024-05-06,19
2024-05-07,0
2024-05-08,4
2024-05-09,24
2024-05-10,8
2024-05-11,26
2024-05-12,48
2024-05-13,11
2024-05-14,10
2024-05-15,19
2024-05-16,20
2024-05-17,6
2024-05-18,16
2024-05-19,39
2024-05-20,28
2024-05-21,37
2024-05-22,10
2024-05-23,2
2024-05-24,10
2024-05-25,16
2024-05-26,20
2024-05-27,12
2024-05-28,9
2024-05-29,11
2024-05-30,10
2024-05-31,2
2024-06-01,21
2024-06-02,2
2024-06-03,7
2024-06-04,2
2024-06-05,15
2024-06-06,20
2024-06-07,23
2024-06-08,21
2024-06-09,2
2024-06-10,6
2024-06-11,4
2024-06-12,10
2024-06-13,3
2024-06-14,2
2024-06-15,17
