영업일자,매출수량
2023-01-01,61
2023-01-02,50
2023-01-03,46
2023-01-04,32
2023-01-05,45
2023-01-06,56
2023-01-07,95
2023-01-08,45
2023-01-09,38
2023-01-10,79
2023-01-11,39
2023-01-12,41
2023-01-13,64
2023-01-14,64
2023-01-15,84
2023-01-16,15
2023-01-17,33
2023-01-18,18
2023-01-19,31
2023-01-20,66
2023-01-21,125
2023-01-22,103
2023-01-23,140
2023-01-24,21
2023-01-25,45
2023-01-26,44
2023-01-27,58
2023-01-28,86
2023-01-29,56
2023-01-30,47
2023-01-31,21
2023-02-01,31
2023-02-02,29
2023-02-03,47
2023-02-04,81
2023-02-05,47
2023-02-06,20
2023-02-07,2
2023-02-08,33
2023-02-09,22
2023-02-10,19
2023-02-11,75
2023-02-12,62
2023-02-13,25
2023-02-14,24
2023-02-15,9
2023-02-16,33
2023-02-17,32
2023-02-18,71
2023-02-19,75
2023-02-20,31
2023-02-21,20
2023-02-22,38
2023-02-23,24
2023-02-24,78
2023-02-25,114
2023-02-26,28
2023-02-27,38
2023-02-28,9
2023-03-01,10
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,9
2023-03-11,43
2023-03-12,10
2023-03-13,0
2023-03-14,8
2023-03-15,9
2023-03-16,2
2023-03-17,31
2023-03-18,48
2023-03-19,2
2023-03-20,2
2023-03-21,4
2023-03-22,0
2023-03-23,4
2023-03-24,26
2023-03-25,32
2023-03-26,12
2023-03-27,2
2023-03-28,2
2023-03-29,9
2023-03-30,4
2023-03-31,39
2023-04-01,78
2023-04-02,18
2023-04-03,32
2023-04-04,5
2023-04-05,12
2023-04-06,60
2023-04-07,38
2023-04-08,60
2023-04-09,34
2023-04-10,13
2023-04-11,13
2023-04-12,29
2023-04-13,54
2023-04-14,50
2023-04-15,48
2023-04-16,34
2023-04-17,8
2023-04-18,10
2023-04-19,13
2023-04-20,39
2023-04-21,65
2023-04-22,60
2023-04-23,65
2023-04-24,10
2023-04-25,22
2023-04-26,33
2023-04-27,18
2023-04-28,34
2023-04-29,69
2023-04-30,80
2023-05-01,48
2023-05-02,12
2023-05-03,16
2023-05-04,26
2023-05-05,73
2023-05-06,64
2023-05-07,52
2023-05-08,20
2023-05-09,19
2023-05-10,41
2023-05-11,18
2023-05-12,26
2023-05-13,119
2023-05-14,36
2023-05-15,32
2023-05-16,18
2023-05-17,34
2023-05-18,6
2023-05-19,31
2023-05-20,45
2023-05-21,24
2023-05-22,14
2023-05-23,26
2023-05-24,5
2023-05-25,43
2023-05-26,31
2023-05-27,55
2023-05-28,41
2023-05-29,59
2023-05-30,13
2023-05-31,19
2023-06-01,19
2023-06-02,25
2023-06-03,50
2023-06-04,50
2023-06-05,45
2023-06-06,11
2023-06-07,68
2023-06-08,21
2023-06-09,34
2023-06-10,51
2023-06-11,10
2023-06-12,8
2023-06-13,9
2023-06-14,13
2023-06-15,4
2023-06-16,43
2023-06-17,23
2023-06-18,17
2023-06-19,8
2023-06-20,7
2023-06-21,4
2023-06-22,16
2023-06-23,22
2023-06-24,39
2023-06-25,15
2023-06-26,34
2023-06-27,4
2023-06-28,10
2023-06-29,4
2023-06-30,19
2023-07-01,62
2023-07-02,19
2023-07-03,13
2023-07-04,11
2023-07-05,3
2023-07-06,6
2023-07-07,19
2023-07-08,54
2023-07-09,4
2023-07-10,4
2023-07-11,4
2023-07-12,4
2023-07-13,17
2023-07-14,41
2023-07-15,63
2023-07-16,21
2023-07-17,13
2023-07-18,11
2023-07-19,15
2023-07-20,10
2023-07-21,30
2023-07-22,32
2023-07-23,20
2023-07-24,19
2023-07-25,28
2023-07-26,36
2023-07-27,23
2023-07-28,55
2023-07-29,42
2023-07-30,44
2023-07-31,62
2023-08-01,53
2023-08-02,31
2023-08-03,54
2023-08-04,29
2023-08-05,34
2023-08-06,28
2023-08-07,34
2023-08-08,27
2023-08-09,11
2023-08-10,22
2023-08-11,19
2023-08-12,41
2023-08-13,37
2023-08-14,44
2023-08-15,28
2023-08-16,11
2023-08-17,7
2023-08-18,24
2023-08-19,43
2023-08-20,18
2023-08-21,24
2023-08-22,11
2023-08-23,10
2023-08-24,15
2023-08-25,31
2023-08-26,43
2023-08-27,21
2023-08-28,4
2023-08-29,6
2023-08-30,16
2023-08-31,11
2023-09-01,46
2023-09-02,70
2023-09-03,7
2023-09-04,25
2023-09-05,25
2023-09-06,0
2023-09-07,0
2023-09-08,15
2023-09-09,24
2023-09-10,25
2023-09-11,15
2023-09-12,18
2023-09-13,5
2023-09-14,6
2023-09-15,22
2023-09-16,42
2023-09-17,13
2023-09-18,8
2023-09-19,2
2023-09-20,11
2023-09-21,6
2023-09-22,38
