영업일자,매출수량
2023-01-01,39
2023-01-02,41
2023-01-03,47
2023-01-04,20
2023-01-05,47
2023-01-06,27
2023-01-07,57
2023-01-08,18
2023-01-09,30
2023-01-10,43
2023-01-11,35
2023-01-12,19
2023-01-13,17
2023-01-14,17
2023-01-15,43
2023-01-16,17
2023-01-17,28
2023-01-18,18
2023-01-19,29
2023-01-20,38
2023-01-21,55
2023-01-22,37
2023-01-23,62
2023-01-24,28
2023-01-25,37
2023-01-26,57
2023-01-27,35
2023-01-28,47
2023-01-29,57
2023-01-30,22
2023-01-31,11
2023-02-01,33
2023-02-02,12
2023-02-03,26
2023-02-04,44
2023-02-05,25
2023-02-06,35
2023-02-07,9
2023-02-08,14
2023-02-09,9
2023-02-10,24
2023-02-11,50
2023-02-12,37
2023-02-13,18
2023-02-14,27
2023-02-15,8
2023-02-16,17
2023-02-17,21
2023-02-18,39
2023-02-19,43
2023-02-20,26
2023-02-21,14
2023-02-22,23
2023-02-23,10
2023-02-24,28
2023-02-25,40
2023-02-26,38
2023-02-27,22
2023-02-28,22
2023-03-01,6
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,2
2023-03-11,10
2023-03-12,7
2023-03-13,10
2023-03-14,3
2023-03-15,8
2023-03-16,2
2023-03-17,13
2023-03-18,29
2023-03-19,15
2023-03-20,7
2023-03-21,3
2023-03-22,7
2023-03-23,6
2023-03-24,0
2023-03-25,13
2023-03-26,8
2023-03-27,8
2023-03-28,3
2023-03-29,1
2023-03-30,11
2023-03-31,19
2023-04-01,50
2023-04-02,13
2023-04-03,7
2023-04-04,14
2023-04-05,18
2023-04-06,20
2023-04-07,16
2023-04-08,28
2023-04-09,11
2023-04-10,12
2023-04-11,15
2023-04-12,17
2023-04-13,7
2023-04-14,15
2023-04-15,49
2023-04-16,17
2023-04-17,16
2023-04-18,13
2023-04-19,16
2023-04-20,6
2023-04-21,8
2023-04-22,26
2023-04-23,24
2023-04-24,3
2023-04-25,8
2023-04-26,29
2023-04-27,5
2023-04-28,12
2023-04-29,31
2023-04-30,33
2023-05-01,13
2023-05-02,7
2023-05-03,11
2023-05-04,26
2023-05-05,24
2023-05-06,32
2023-05-07,21
2023-05-08,7
2023-05-09,8
2023-05-10,13
2023-05-11,19
2023-05-12,20
2023-05-13,27
2023-05-14,29
2023-05-15,3
2023-05-16,5
2023-05-17,18
2023-05-18,6
2023-05-19,10
2023-05-20,26
2023-05-21,17
2023-05-22,7
2023-05-23,6
2023-05-24,1
2023-05-25,11
2023-05-26,24
2023-05-27,25
2023-05-28,37
2023-05-29,20
2023-05-30,7
2023-05-31,4
2023-06-01,6
2023-06-02,6
2023-06-03,22
2023-06-04,26
2023-06-05,27
2023-06-06,9
2023-06-07,6
2023-06-08,2
2023-06-09,17
2023-06-10,17
2023-06-11,18
2023-06-12,11
2023-06-13,3
2023-06-14,26
2023-06-15,5
2023-06-16,18
2023-06-17,30
2023-06-18,21
2023-06-19,9
2023-06-20,2
2023-06-21,0
2023-06-22,10
2023-06-23,20
2023-06-24,16
2023-06-25,15
2023-06-26,8
2023-06-27,2
2023-06-28,7
2023-06-29,7
2023-06-30,10
2023-07-01,21
2023-07-02,11
2023-07-03,6
2023-07-04,1
2023-07-05,3
2023-07-06,4
2023-07-07,11
2023-07-08,16
2023-07-09,6
2023-07-10,6
2023-07-11,8
2023-07-12,6
2023-07-13,13
2023-07-14,13
2023-07-15,23
2023-07-16,3
2023-07-17,9
2023-07-18,12
2023-07-19,2
2023-07-20,11
2023-07-21,20
2023-07-22,13
2023-07-23,18
2023-07-24,15
2023-07-25,15
2023-07-26,19
2023-07-27,17
2023-07-28,12
2023-07-29,18
2023-07-30,14
2023-07-31,15
2023-08-01,13
2023-08-02,15
2023-08-03,16
2023-08-04,12
2023-08-05,21
2023-08-06,14
2023-08-07,15
2023-08-08,16
2023-08-09,4
2023-08-10,13
2023-08-11,11
2023-08-12,19
2023-08-13,19
2023-08-14,11
2023-08-15,12
2023-08-16,8
2023-08-17,13
2023-08-18,9
2023-08-19,8
2023-08-20,6
2023-08-21,10
2023-08-22,9
2023-08-23,6
2023-08-24,13
2023-08-25,13
2023-08-26,13
2023-08-27,13
2023-08-28,8
2023-08-29,4
2023-08-30,12
2023-08-31,6
2023-09-01,6
2023-09-02,13
2023-09-03,7
2023-09-04,4
2023-09-05,6
2023-09-06,1
2023-09-07,8
2023-09-08,13
2023-09-09,23
2023-09-10,9
2023-09-11,3
2023-09-12,12
2023-09-13,3
2023-09-14,7
2023-09-15,11
2023-09-16,9
2023-09-17,7
2023-09-18,2
2023-09-19,5
2023-09-20,1
2023-09-21,6
2023-09-22,5
2023-09-23,15
2023-09-24,8
2023-09-25,10
2023-09-26,4
2023-09-27,5
2023-09-28,17
2023-09-29,35
2023-09-30,29
2023-10-01,30
2023-10-02,27
2023-10-03,16
2023-10-04,3
2023-10-05,7
2023-10-06,8
2023-10-07,24
2023-10-08,25
2023-10-09,12
2023-10-10,13
2023-10-11,13
2023-10-12,6
2023-10-13,19
2023-10-14,28
2023-10-15,16
2023-10-16,12
2023-10-17,17
2023-10-18,9
2023-10-19,17
2023-10-20,14
2023-10-21,11
2023-10-22,26
2023-10-23,13
2023-10-24,18
2023-10-25,40
2023-10-26,15
2023-10-27,26
2023-10-28,13
2023-10-29,16
2023-10-30,23
2023-10-31,21
2023-11-01,16
2023-11-02,21
2023-11-03,19
2023-11-04,23
2023-11-05,24
2023-11-06,19
2023-11-07,10
2023-11-08,14
2023-11-09,41
2023-11-10,10
2023-11-11,21
2023-11-12,21
2023-11-13,11
2023-11-14,14
2023-11-15,15
2023-11-16,3
2023-11-17,7
2023-11-18,8
2023-11-19,7
2023-11-20,9
2023-11-21,5
2023-11-22,14
2023-11-23,7
2023-11-24,6
2023-11-25,15
2023-11-26,11
2023-11-27,4
2023-11-28,1
2023-11-29,2
2023-11-30,13
2023-12-01,5
2023-12-02,7
2023-12-03,8
2023-12-04,4
2023-12-05,8
2023-12-06,0
2023-12-07,1
2023-12-08,2
2023-12-09,8
2023-12-10,21
2023-12-11,4
2023-12-12,10
2023-12-13,16
2023-12-14,4
2023-12-15,18
2023-12-16,11
2023-12-17,8
2023-12-18,10
2023-12-19,19
2023-12-20,19
2023-12-21,20
2023-12-22,24
2023-12-23,20
2023-12-24,18
2023-12-25,45
2023-12-26,34
2023-12-27,31
2023-12-28,25
2023-12-29,17
2023-12-30,24
2023-12-31,30
2024-01-01,34
2024-01-02,27
2024-01-03,15
2024-01-04,20
2024-01-05,9
2024-01-06,32
2024-01-07,26
2024-01-08,19
2024-01-09,12
2024-01-10,17
2024-01-11,11
2024-01-12,14
2024-01-13,36
2024-01-14,30
2024-01-15,24
2024-01-16,18
2024-01-17,13
2024-01-18,26
2024-01-19,16
2024-01-20,22
2024-01-21,35
2024-01-22,27
2024-01-23,19
2024-01-24,16
2024-01-25,15
2024-01-26,25
2024-01-27,27
2024-01-28,33
2024-01-29,20
2024-01-30,30
2024-01-31,11
2024-02-01,8
2024-02-02,14
2024-02-03,23
2024-02-04,15
2024-02-05,14
2024-02-06,6
2024-02-07,14
2024-02-08,12
2024-02-09,23
2024-02-10,31
2024-02-11,35
2024-02-12,35
2024-02-13,44
2024-02-14,29
2024-02-15,19
2024-02-16,20
2024-02-17,14
2024-02-18,30
2024-02-19,5
2024-02-20,11
2024-02-21,13
2024-02-22,7
2024-02-23,6
2024-02-24,19
2024-02-25,23
2024-02-26,10
2024-02-27,7
2024-02-28,12
2024-02-29,14
2024-03-01,17
2024-03-02,12
2024-03-03,3
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,7
2024-03-14,0
2024-03-15,6
2024-03-16,4
2024-03-17,8
2024-03-18,0
2024-03-19,2
2024-03-20,2
2024-03-21,1
2024-03-22,8
2024-03-23,10
2024-03-24,4
2024-03-25,10
2024-03-26,3
2024-03-27,2
2024-03-28,7
2024-03-29,9
2024-03-30,14
2024-03-31,9
2024-04-01,1
2024-04-02,8
2024-04-03,12
2024-04-04,6
2024-04-05,15
2024-04-06,28
2024-04-07,9
2024-04-08,3
2024-04-09,15
2024-04-10,20
2024-04-11,16
2024-04-12,12
2024-04-13,24
2024-04-14,15
2024-04-15,14
2024-04-16,9
2024-04-17,5
2024-04-18,8
2024-04-19,9
2024-04-20,33
2024-04-21,22
2024-04-22,5
2024-04-23,3
2024-04-24,18
2024-04-25,18
2024-04-26,12
2024-04-27,18
2024-04-28,17
2024-04-29,4
2024-04-30,7
2024-05-01,6
2024-05-02,8
2024-05-03,11
2024-05-04,27
2024-05-05,52
2024-05-06,23
2024-05-07,0
2024-05-08,4
2024-05-09,3
2024-05-10,15
2024-05-11,26
2024-05-12,9
2024-05-13,5
2024-05-14,11
2024-05-15,9
2024-05-16,5
2024-05-17,7
2024-05-18,13
2024-05-19,11
2024-05-20,9
2024-05-21,13
2024-05-22,24
2024-05-23,6
2024-05-24,16
2024-05-25,11
2024-05-26,7
2024-05-27,7
2024-05-28,12
2024-05-29,3
2024-05-30,4
2024-05-31,6
2024-06-01,16
2024-06-02,3
2024-06-03,1
2024-06-04,6
2024-06-05,7
2024-06-06,20
2024-06-07,17
2024-06-08,13
2024-06-09,4
2024-06-10,0
2024-06-11,6
2024-06-12,1
2024-06-13,5
2024-06-14,10
2024-06-15,14
