영업일자,매출수량
2023-01-01,34
2023-01-02,24
2023-01-03,13
2023-01-04,22
2023-01-05,16
2023-01-06,15
2023-01-07,25
2023-01-08,20
2023-01-09,22
2023-01-10,31
2023-01-11,19
2023-01-12,7
2023-01-13,12
2023-01-14,11
2023-01-15,38
2023-01-16,16
2023-01-17,16
2023-01-18,9
2023-01-19,20
2023-01-20,12
2023-01-21,32
2023-01-22,22
2023-01-23,38
2023-01-24,19
2023-01-25,24
2023-01-26,21
2023-01-27,12
2023-01-28,26
2023-01-29,43
2023-01-30,14
2023-01-31,6
2023-02-01,9
2023-02-02,13
2023-02-03,12
2023-02-04,37
2023-02-05,19
2023-02-06,9
2023-02-07,3
2023-02-08,5
2023-02-09,8
2023-02-10,6
2023-02-11,27
2023-02-12,25
2023-02-13,16
2023-02-14,9
2023-02-15,4
2023-02-16,6
2023-02-17,14
2023-02-18,18
2023-02-19,41
2023-02-20,13
2023-02-21,6
2023-02-22,10
2023-02-23,13
2023-02-24,22
2023-02-25,18
2023-02-26,25
2023-02-27,26
2023-02-28,8
2023-03-01,6
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,4
2023-03-11,8
2023-03-12,6
2023-03-13,1
2023-03-14,0
2023-03-15,0
2023-03-16,1
2023-03-17,1
2023-03-18,21
2023-03-19,10
2023-03-20,1
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,17
2023-03-26,8
2023-03-27,1
2023-03-28,0
2023-03-29,2
2023-03-30,2
2023-03-31,13
2023-04-01,30
2023-04-02,13
2023-04-03,1
2023-04-04,2
2023-04-05,4
2023-04-06,5
2023-04-07,11
2023-04-08,10
2023-04-09,9
2023-04-10,3
2023-04-11,3
2023-04-12,7
2023-04-13,5
2023-04-14,8
2023-04-15,25
2023-04-16,8
2023-04-17,0
2023-04-18,2
2023-04-19,2
2023-04-20,2
2023-04-21,13
2023-04-22,25
2023-04-23,16
2023-04-24,2
2023-04-25,1
2023-04-26,1
2023-04-27,1
2023-04-28,4
2023-04-29,15
2023-04-30,22
2023-05-01,7
2023-05-02,7
2023-05-03,2
2023-05-04,7
2023-05-05,20
2023-05-06,26
2023-05-07,8
2023-05-08,2
2023-05-09,1
2023-05-10,4
2023-05-11,2
2023-05-12,3
2023-05-13,16
2023-05-14,11
2023-05-15,4
2023-05-16,2
2023-05-17,3
2023-05-18,1
2023-05-19,5
2023-05-20,18
2023-05-21,7
2023-05-22,3
2023-05-23,3
2023-05-24,1
2023-05-25,1
2023-05-26,8
2023-05-27,19
2023-05-28,21
2023-05-29,7
2023-05-30,3
2023-05-31,5
2023-06-01,2
2023-06-02,8
2023-06-03,35
2023-06-04,39
2023-06-05,31
2023-06-06,14
2023-06-07,3
2023-06-08,2
2023-06-09,4
2023-06-10,18
2023-06-11,12
2023-06-12,2
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,7
2023-06-17,25
2023-06-18,21
2023-06-19,4
2023-06-20,1
2023-06-21,1
2023-06-22,8
2023-06-23,13
2023-06-24,26
2023-06-25,15
2023-06-26,3
2023-06-27,1
2023-06-28,5
2023-06-29,1
2023-06-30,13
2023-07-01,17
2023-07-02,4
2023-07-03,5
2023-07-04,1
2023-07-05,0
2023-07-06,0
2023-07-07,18
2023-07-08,3
2023-07-09,9
2023-07-10,3
2023-07-11,3
2023-07-12,1
2023-07-13,1
2023-07-14,12
2023-07-15,23
2023-07-16,9
2023-07-17,1
2023-07-18,5
2023-07-19,2
2023-07-20,3
2023-07-21,20
2023-07-22,14
2023-07-23,17
2023-07-24,2
2023-07-25,12
2023-07-26,15
2023-07-27,16
2023-07-28,13
2023-07-29,14
2023-07-30,14
2023-07-31,22
2023-08-01,18
2023-08-02,16
2023-08-03,11
2023-08-04,14
2023-08-05,24
2023-08-06,11
2023-08-07,9
2023-08-08,13
2023-08-09,0
2023-08-10,5
2023-08-11,7
2023-08-12,19
2023-08-13,19
2023-08-14,11
2023-08-15,14
2023-08-16,6
2023-08-17,4
2023-08-18,9
2023-08-19,13
2023-08-20,12
2023-08-21,5
2023-08-22,6
2023-08-23,2
2023-08-24,2
2023-08-25,5
2023-08-26,19
2023-08-27,11
2023-08-28,3
2023-08-29,2
2023-08-30,9
2023-08-31,3
2023-09-01,4
2023-09-02,7
2023-09-03,5
2023-09-04,0
2023-09-05,1
2023-09-06,0
2023-09-07,4
2023-09-08,3
2023-09-09,17
2023-09-10,5
2023-09-11,1
2023-09-12,0
2023-09-13,0
2023-09-14,4
2023-09-15,5
2023-09-16,17
2023-09-17,7
2023-09-18,2
2023-09-19,0
2023-09-20,1
2023-09-21,6
2023-09-22,2
2023-09-23,10
2023-09-24,6
2023-09-25,6
2023-09-26,0
2023-09-27,11
2023-09-28,17
2023-09-29,23
2023-09-30,33
2023-10-01,21
2023-10-02,13
2023-10-03,13
2023-10-04,1
2023-10-05,1
2023-10-06,11
2023-10-07,18
2023-10-08,26
2023-10-09,17
2023-10-10,3
2023-10-11,7
2023-10-12,4
2023-10-13,11
2023-10-14,17
2023-10-15,11
2023-10-16,11
2023-10-17,10
2023-10-18,7
2023-10-19,4
2023-10-20,2
2023-10-21,17
2023-10-22,13
2023-10-23,7
2023-10-24,6
2023-10-25,6
2023-10-26,2
2023-10-27,17
2023-10-28,16
2023-10-29,13
2023-10-30,14
2023-10-31,5
2023-11-01,8
2023-11-02,4
2023-11-03,11
2023-11-04,15
2023-11-05,14
2023-11-06,10
2023-11-07,6
2023-11-08,8
2023-11-09,3
2023-11-10,5
2023-11-11,22
2023-11-12,15
2023-11-13,5
2023-11-14,1
2023-11-15,5
2023-11-16,7
2023-11-17,2
2023-11-18,4
2023-11-19,8
2023-11-20,3
2023-11-21,2
2023-11-22,1
2023-11-23,3
2023-11-24,11
2023-11-25,14
2023-11-26,4
2023-11-27,0
2023-11-28,3
2023-11-29,0
2023-11-30,1
2023-12-01,5
2023-12-02,7
2023-12-03,4
2023-12-04,0
2023-12-05,0
2023-12-06,1
2023-12-07,0
2023-12-08,1
2023-12-09,5
2023-12-10,12
2023-12-11,17
2023-12-12,2
2023-12-13,1
2023-12-14,1
2023-12-15,5
2023-12-16,8
2023-12-17,10
2023-12-18,13
2023-12-19,11
2023-12-20,6
2023-12-21,7
2023-12-22,17
2023-12-23,19
2023-12-24,11
2023-12-25,28
2023-12-26,30
2023-12-27,21
2023-12-28,17
2023-12-29,17
2023-12-30,20
2023-12-31,18
2024-01-01,28
2024-01-02,23
2024-01-03,11
2024-01-04,17
2024-01-05,24
2024-01-06,27
2024-01-07,31
2024-01-08,11
2024-01-09,8
2024-01-10,9
2024-01-11,11
2024-01-12,14
2024-01-13,34
2024-01-14,32
2024-01-15,22
2024-01-16,7
2024-01-17,13
2024-01-18,14
2024-01-19,6
2024-01-20,21
2024-01-21,25
2024-01-22,22
2024-01-23,8
2024-01-24,6
2024-01-25,12
2024-01-26,13
2024-01-27,12
2024-01-28,32
2024-01-29,16
2024-01-30,4
2024-01-31,10
2024-02-01,6
2024-02-02,8
2024-02-03,20
2024-02-04,20
2024-02-05,4
2024-02-06,7
2024-02-07,7
2024-02-08,17
2024-02-09,30
2024-02-10,20
2024-02-11,22
2024-02-12,19
2024-02-13,10
2024-02-14,13
2024-02-15,6
2024-02-16,14
2024-02-17,16
2024-02-18,15
2024-02-19,1
2024-02-20,6
2024-02-21,2
2024-02-22,4
2024-02-23,7
2024-02-24,14
2024-02-25,21
2024-02-26,14
2024-02-27,1
2024-02-28,9
2024-02-29,13
2024-03-01,15
2024-03-02,20
2024-03-03,3
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,4
2024-03-16,8
2024-03-17,4
2024-03-18,0
2024-03-19,0
2024-03-20,1
2024-03-21,0
2024-03-22,2
2024-03-23,12
2024-03-24,3
2024-03-25,0
2024-03-26,1
2024-03-27,0
2024-03-28,1
2024-03-29,4
2024-03-30,29
2024-03-31,12
2024-04-01,1
2024-04-02,1
2024-04-03,1
2024-04-04,5
2024-04-05,5
2024-04-06,18
2024-04-07,8
2024-04-08,0
2024-04-09,13
2024-04-10,27
2024-04-11,8
2024-04-12,12
2024-04-13,20
2024-04-14,17
2024-04-15,0
2024-04-16,1
2024-04-17,1
2024-04-18,0
2024-04-19,12
2024-04-20,11
2024-04-21,13
2024-04-22,0
2024-04-23,0
2024-04-24,1
2024-04-25,2
2024-04-26,6
2024-04-27,15
2024-04-28,5
2024-04-29,0
2024-04-30,9
2024-05-01,4
2024-05-02,3
2024-05-03,6
2024-05-04,14
2024-05-05,15
2024-05-06,1
2024-05-07,0
2024-05-08,7
2024-05-09,2
2024-05-10,4
2024-05-11,16
2024-05-12,2
2024-05-13,0
2024-05-14,11
2024-05-15,7
2024-05-16,5
2024-05-17,6
2024-05-18,9
2024-05-19,10
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,3
2024-05-25,13
2024-05-26,2
2024-05-27,2
2024-05-28,1
2024-05-29,2
2024-05-30,0
2024-05-31,14
2024-06-01,10
2024-06-02,2
2024-06-03,0
2024-06-04,0
2024-06-05,6
2024-06-06,20
2024-06-07,17
2024-06-08,11
2024-06-09,6
2024-06-10,1
2024-06-11,0
2024-06-12,0
2024-06-13,3
2024-06-14,6
2024-06-15,21
