,그릴드 비프 샐러드,AUS 200g,한우 200g,자몽리치에이드,G-Charge3,콜라,빵 추가 1인,모둠 해산물 플래터,카스,해산물 토마토 스파게티,해산물 토마토 리조또,Open Food,아메리카노,GlsSileni,해산물 토마토 스튜 파스타,Gls미션 서드,까르보나라,하이네켄생,시저 샐러드,버섯 크림 리조또,스프라이트,제로콜라,알리오 에 올리오,양갈비 4ps,미션 서드 카베르네 쉬라
그릴드 비프 샐러드,1.0,0.22544160604842425,0.21383574303133038,0.1451333292641397,0.1424138884298355,0.06453351351977127,-0.08984083160528827,0.3378664266889979,0.10387052203247886,0.24408921156308494,0.11971143485423269,-0.017918580237415476,0.08843088380730277,0.26113433685878407,0.2532476706862503,0.1989720643681315,0.21099583818439574,0.07288558918820036,0.48631598834052997,0.2497722260511114,0.03529669508124045,0.10152945879425998,0.5766400463647147,0.22380777775938593,0.023446394957404665
AUS 200g,0.22544160604842425,1.0,0.5049580322073706,0.19963482873190427,0.04367011146037165,0.23628087496439648,-0.149237594045657,0.3541263988486459,0.050427317296790376,0.05188825823322577,-0.1620876250945579,0.023862607445904932,0.029626534864816936,0.13541762730429108,0.63827437078321,0.10701721423515756,0.6735523410860763,0.16084192521026774,0.4363145810847416,0.6938161729886756,0.09910036790949,0.15730571547799316,0.5368587960311545,0.5918030699404345,0.002594547253945941
한우 200g,0.21383574303133038,0.5049580322073706,1.0,0.177142892123594,0.11100112159534602,0.24124232534069057,-0.1521808282238558,0.3419765682242159,0.08126318560325244,0.04905390905487536,-0.1367559157823767,0.032264913373299044,0.019394211551793335,0.12123083423126353,0.5291261690457281,0.07355525452423646,0.6234594988387103,0.16164961877297282,0.3458943001109072,0.6151359419188254,0.08280966043533575,0.1341160600157776,0.4942741173262826,0.44699646703470153,-0.021935615196396637
자몽리치에이드,0.1451333292641397,0.19963482873190427,0.177142892123594,1.0,0.04225005857374515,0.17730692271238105,0.2073451120977012,0.041600746593918936,0.1817236973909771,0.3077320777387498,0.26572194169788477,0.014202689837586643,0.06496078756226252,0.19200323869828587,0.18173213018625117,0.2268518722509231,0.22590677049971203,0.17072618706907952,0.12987803877865353,0.23806040438983078,0.09725526175096016,0.1630089207222284,0.2758050566644889,0.18030195317367015,0.06019057759473478
G-Charge3,0.1424138884298355,0.04367011146037165,0.11100112159534602,0.04225005857374515,1.0,0.061745096390820486,0.08106189410070017,0.26462276676121216,0.09551059096393837,0.19603090221853833,0.17248138005003041,-0.01917768256776161,0.10680642215332646,0.149340106268808,0.07152393867944698,0.09868511780584525,0.0909382359431466,0.25250684571649723,0.1666883449807222,0.05154939576887758,0.045372185670732666,0.06225209053322274,0.17512082418018077,0.08931340947957941,0.007832932165502232
콜라,0.06453351351977127,0.23628087496439648,0.24124232534069057,0.17730692271238105,0.061745096390820486,1.0,0.15740325362604785,0.014391709650006038,0.1462679606111324,0.2641092580497235,0.1751315727365532,0.007952644117332099,0.020965247063657842,0.18679315117083214,0.09412791209855763,0.22333066301202667,0.28509294587386347,0.1507023735520492,0.08590501947118755,0.20265917206399403,0.5180045942893723,0.3285723288132394,0.20496211142885395,0.12362849428495978,0.014241994827581267
빵 추가 1인,-0.08984083160528827,-0.149237594045657,-0.1521808282238558,0.2073451120977012,0.08106189410070017,0.15740325362604785,1.0,-0.07927372942812275,0.22083184882286486,0.4469881308601101,0.35832186970966984,-0.03650370914954977,0.1717959215984872,0.210116553602386,-0.16889107964442163,0.2924059356005765,-0.1666872461079264,0.17439567795635508,-0.11400410823955459,-0.15766771869072918,0.13381479641381752,0.144171082600187,-0.16384773882150994,-0.1475818218359442,0.050473992557513433
모둠 해산물 플래터,0.3378664266889979,0.3541263988486459,0.3419765682242159,0.041600746593918936,0.26462276676121216,0.014391709650006038,-0.07927372942812275,1.0,0.12254615136969765,0.19409038748655594,-0.022080411279449454,-0.012352828782054705,0.09152373132114984,0.15072789229514547,0.34462962908478445,0.10665008611199425,0.26603716935250254,0.16884157869570385,0.45760752445873637,0.285209656062778,0.02940060254773385,0.09803032920534592,0.33953825343665733,0.37511425644098856,0.024201672096663497
카스,0.10387052203247886,0.050427317296790376,0.08126318560325244,0.1817236973909771,0.09551059096393837,0.1462679606111324,0.22083184882286486,0.12254615136969765,1.0,0.2989746576994168,0.23513749551381627,-0.020101620549114775,0.18765296612066484,0.14002389333855017,0.09739982456882748,0.15681972620319834,0.04040424489662649,0.1058522041220025,0.1463727051478133,0.09146198999142297,0.06627589397274856,0.142821392629298,0.13750870426282868,0.07258298838550141,0.03038138493461062
해산물 토마토 스파게티,0.24408921156308494,0.05188825823322577,0.04905390905487536,0.3077320777387498,0.19603090221853833,0.2641092580497235,0.4469881308601101,0.19409038748655594,0.2989746576994168,1.0,0.47671112203600957,-0.045538309125981336,0.2183311342139791,0.3669752708537441,0.03901050862415091,0.5140056461008787,0.051414824716330874,0.24789836403059787,0.19223572648959106,0.07591620245625492,0.16385142024505872,0.29979483110463995,0.21691945289362152,0.07824331931914882,0.08443928307168015
