,브런치 4인 패키지,코카콜라,잭 애플 토닉,오븐구이 윙과 킬바사소세지,애플망고 에이드,스텔라무제한,화덕 불고기 페퍼로니 반반피자,브런치대인 주말,보일링 랍스타 플래터덜매운맛,BBQ Platter,버드와이저무제한,파스타면 추가150g,브런치어린이,레인보우칵테일알코올,유자 하이볼,공깃밥,핑크레몬에이드,BBQ 고기추가,콥 샐러드,쉬림프 투움바 파스타,칠리 치즈 프라이,얼그레이 하이볼,글라스와인 레드,오븐 하와이안 쉬림프 피자,코카콜라제로,미라시아 브런치 패키지,보일링 랍스타 플래터,브런치 2인 패키지,단체브런치주중 36000,브런치대인 주중,스프라이트
브런치 4인 패키지,1.0,0.1355733660569551,-0.042066043130845096,0.05177391277162212,0.13986978126692967,-0.006255916262415509,0.16512449635923107,0.02782480928163908,0.055379520436488194,0.2603389231689483,0.08686037132142958,0.06783608360911889,0.10286522058235158,0.10267166082535993,0.029480906121960918,0.13788085836238076,0.06354656599606774,0.06424719663700981,-0.05924349467853536,0.07677674715331585,0.07179774501101414,0.08061181865914843,0.14306401240932304,-0.03877052829754941,0.0410030131891406,0.24034202235947094,0.028667433267410624,0.14643519133777452,-0.05510025548042634,0.023857326436934338,0.04016158810490438
코카콜라,0.1355733660569551,1.0,0.2204488510652267,0.2515563343678998,0.3942167242636922,0.4063680548812173,0.4115961860929104,0.292746146597574,0.39794281062454956,0.4520108866667985,0.4736426830821802,0.42272560158061745,0.3557387325379854,0.22024196184236766,0.23470181843614715,-0.0749963553235409,0.4783105929114154,0.20148528857848577,0.3586980954994803,0.5783982959751709,0.44022741146092675,0.2865914722861568,0.09911445971973395,0.3733111435408652,0.3732464453954559,0.05660983242665043,0.4055775884248008,0.013282611561698542,-0.1212913411276813,0.06063620256045618,0.5259837153990372
잭 애플 토닉,-0.042066043130845096,0.2204488510652267,1.0,0.1297972153171339,0.2348367077183786,0.17133680320771982,0.26664135232477987,0.2441586411919191,0.19837410272441094,0.19225320886310932,0.2385354772770856,0.2370351771074167,0.2130548289339025,0.15022627933042837,0.13305084115457927,0.02931516929337705,0.2528949820476021,0.14620163896931415,0.2819855864410257,0.28309232026434095,0.2643090256817594,0.06245920503910287,0.0735269879372719,0.3217311942934315,0.2236238622248215,0.0012558577811846742,0.20656333893365547,0.0011623969223151355,0.03626946982106496,0.04987510926816288,0.16497119877701158
오븐구이 윙과 킬바사소세지,0.05177391277162212,0.2515563343678998,0.1297972153171339,1.0,0.42744600704494257,0.40998262516127004,0.4322116110872688,0.1533508109652029,0.22282648101906335,0.46612764911062554,0.42301494183366584,0.18044506575276123,0.1675771336975379,0.213684873221636,0.2636346268861352,0.09563365672289756,0.3165059852920313,0.19875598587149587,0.181194955291334,0.3593117938720755,0.3456592512753244,0.2885626999156164,0.2182576380986831,0.3589769394857905,0.2431827055786772,0.13932901530923067,0.3012857794193275,0.05100810094121393,-0.08540330280333276,0.06972986214524021,0.2772928791647107
애플망고 에이드,0.13986978126692967,0.3942167242636922,0.2348367077183786,0.42744600704494257,1.0,0.354815728380951,0.5870496078269661,0.2644708477526553,0.3385116446280872,0.6802473795332417,0.34238011346053426,0.3564365098084137,0.34687048859010466,0.39922778898674466,0.22326969111846132,0.19901021930851195,0.4647986057343833,0.26050224934134547,0.42202675154763636,0.5181750758810644,0.4000143548932718,0.41978115560153306,0.2720362155956613,0.3851445023100525,0.27181315830137853,0.10667576583023634,0.4198213058639464,0.09275074988135704,-0.16643798879390756,-0.051482799130337493,0.3331627427749329
스텔라무제한,-0.006255916262415509,0.4063680548812173,0.17133680320771982,0.40998262516127004,0.354815728380951,1.0,0.4430233479535722,0.24966482692338468,0.3316541456344402,0.4090318851156952,0.5086209858653568,0.3951440091846905,0.27849615832076574,0.17615489681640373,0.2526129753526139,-0.09058606552331482,0.37497682668192,0.16604105386712636,0.36110752930102785,0.5402184433317634,0.5240663532705899,0.17658902015585792,0.08721132862475213,0.306702976395666,0.27101492169654484,0.08216869432072578,0.5167957371539522,0.024221465126578114,-0.08364495035363152,0.04933859668024203,0.3680706284184083
화덕 불고기 페퍼로니 반반피자,0.16512449635923107,0.4115961860929104,0.26664135232477987,0.4322116110872688,0.5870496078269661,0.4430233479535722,1.0,0.39908634222135586,0.35311503802680844,0.71245993141001,0.5707039885126423,0.3770001370754371,0.2997255011120909,0.3546337045461054,0.2780454278927456,0.22065330742655653,0.425868799906141,0.283684718278116,0.28976279828013424,0.5347815305270728,0.48570509146269897,0.48395611082683493,0.3426349418696087,0.2904257901310287,0.3261135750872873,0.17059249355628026,0.3936591350561915,0.11299255642982495,-0.20132713883895,-0.1436684488859204,0.43932581890141564
브런치대인 주말,0.02782480928163908,0.292746146597574,0.2441586411919191,0.1533508109652029,0.2644708477526553,0.24966482692338468,0.39908634222135586,1.0,0.3070978430988948,0.3461950829320935,0.39846193052908746,0.35558144134981295,0.6558054365930905,0.14687309629791218,0.12882914517908314,0.03418341191953707,0.2682805936545402,0.13799051230850135,0.25098089543505386,0.3698302314186653,0.2864415617721964,0.13831807130801907,0.12270776267663297,0.284364544278827,0.24248987038790082,0.07535875457720483,0.2367521771531651,0.027943473528689564,-0.3256084423784497,-0.44300740962017154,0.303385947460608
보일링 랍스타 플래터덜매운맛,0.055379520436488194,0.39794281062454956,0.19837410272441094,0.22282648101906335,0.3385116446280872,0.3316541456344402,0.35311503802680844,0.3070978430988948,1.0,0.3888327347996968,0.42859913178975073,0.5783500525118405,0.23568920501653304,0.17869298499940373,0.2816969227851628,-0.023433751668640784,0.4086758062369501,0.1220856978834494,0.30050809781183,0.4843030150175076,0.4277726207730556,0.30145303813079904,0.10389786690583497,0.2954747368924783,0.28920740306866144,0.05087691277710279,0.38294741774301627,0.007582862958672976,-0.12912271658473382,-0.03904817473918601,0.3432360442147309
BBQ Platter,0.2603389231689483,0.4520108866667985,0.19225320886310932,0.46612764911062554,0.6802473795332417,0.4090318851156952,0.71245993141001,0.3461950829320935,0.3888327347996968,1.0,0.5522704919231148,0.41406877437004036,0.3111860435430004,0.3810984255802931,0.31876079362807996,0.32761981811412144,0.47711736997785087,0.3369858200571489,0.26135015869269823,0.5587876773285395,0.415123657893118,0.5392444084590319,0.33686702307203037,0.31052799107351897,0.33580552048813556,0.2728221662236745,0.35108879516155744,0.19771695489415303,-0.20034927834376712,-0.11371033262777602,0.39644242823113
