영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,5
2023-01-04,39
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,31
2023-01-11,0
2023-01-12,0
2023-01-13,16
2023-01-14,0
2023-01-15,0
2023-01-16,37
2023-01-17,75
2023-01-18,39
2023-01-19,14
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,11
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,8
2023-02-01,0
2023-02-02,24
2023-02-03,20
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,22
2023-02-08,29
2023-02-09,67
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,3
2023-02-16,25
2023-02-17,60
2023-02-18,0
2023-02-19,0
2023-02-20,42
2023-02-21,22
2023-02-22,31
2023-02-23,0
2023-02-24,50
2023-02-25,0
2023-02-26,0
2023-02-27,22
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,6
2023-03-14,58
2023-03-15,0
2023-03-16,52
2023-03-17,35
2023-03-18,0
2023-03-19,0
2023-03-20,58
2023-03-21,0
2023-03-22,0
2023-03-23,19
2023-03-24,60
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,69
2023-03-31,56
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,8
2023-04-05,2
2023-04-06,43
2023-04-07,82
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,148
2023-04-12,108
2023-04-13,29
2023-04-14,75
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,14
2023-04-19,0
2023-04-20,56
2023-04-21,123
2023-04-22,0
2023-04-23,0
2023-04-24,12
2023-04-25,149
2023-04-26,38
2023-04-27,118
2023-04-28,120
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,82
2023-05-04,0
2023-05-05,23
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,63
2023-05-10,36
2023-05-11,110
2023-05-12,127
2023-05-13,0
2023-05-14,0
2023-05-15,5
2023-05-16,81
2023-05-17,46
2023-05-18,140
2023-05-19,93
2023-05-20,0
2023-05-21,0
2023-05-22,84
2023-05-23,97
2023-05-24,28
2023-05-25,162
2023-05-26,22
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,1
2023-05-31,41
2023-06-01,176
2023-06-02,70
2023-06-03,0
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,97
2023-06-08,1
2023-06-09,154
2023-06-10,0
2023-06-11,0
2023-06-12,107
2023-06-13,122
2023-06-14,4
2023-06-15,106
2023-06-16,64
2023-06-17,0
2023-06-18,0
2023-06-19,50
2023-06-20,68
2023-06-21,166
2023-06-22,63
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,156
2023-06-28,18
2023-06-29,109
2023-06-30,1
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,217
2023-07-05,4
2023-07-06,51
2023-07-07,1
2023-07-08,0
2023-07-09,0
2023-07-10,40
2023-07-11,14
2023-07-12,18
2023-07-13,100
2023-07-14,76
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,131
2023-07-19,5
2023-07-20,40
2023-07-21,54
2023-07-22,0
2023-07-23,0
2023-07-24,32
2023-07-25,97
2023-07-26,3
2023-07-27,21
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,2
2023-08-01,4
2023-08-02,2
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,9
2023-08-09,4
2023-08-10,0
2023-08-11,0
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,8
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,52
2023-08-23,4
2023-08-24,9
2023-08-25,45
2023-08-26,0
2023-08-27,0
2023-08-28,33
2023-08-29,34
2023-08-30,42
2023-08-31,55
2023-09-01,87
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,29
2023-09-07,81
2023-09-08,37
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,41
2023-09-13,8
2023-09-14,95
2023-09-15,140
2023-09-16,0
2023-09-17,0
2023-09-18,3
2023-09-19,24
2023-09-20,113
2023-09-21,179
2023-09-22,63
2023-09-23,0
2023-09-24,0
2023-09-25,68
2023-09-26,52
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,4
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,30
2023-10-06,69
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,46
2023-10-11,74
2023-10-12,128
2023-10-13,76
2023-10-14,0
2023-10-15,4
2023-10-16,0
2023-10-17,11
2023-10-18,85
2023-10-19,42
2023-10-20,54
2023-10-21,0
2023-10-22,0
2023-10-23,64
2023-10-24,89
2023-10-25,31
2023-10-26,24
2023-10-27,30
2023-10-28,0
2023-10-29,0
2023-10-30,46
2023-10-31,128
2023-11-01,60
2023-11-02,67
2023-11-03,58
2023-11-04,0
2023-11-05,0
2023-11-06,142
2023-11-07,102
2023-11-08,89
2023-11-09,141
2023-11-10,105
2023-11-11,0
2023-11-12,0
2023-11-13,7
2023-11-14,0
2023-11-15,60
2023-11-16,121
2023-11-17,8
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,55
2023-11-22,115
2023-11-23,135
2023-11-24,109
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,13
2023-11-29,83
2023-11-30,4
2023-12-01,75
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,64
2023-12-06,0
2023-12-07,9
2023-12-08,16
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,169
2023-12-13,0
2023-12-14,1
2023-12-15,50
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,21
2023-12-20,28
2023-12-21,0
2023-12-22,117
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,5
2023-12-29,11
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,4
2024-01-03,4
2024-01-04,6
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,16
2024-01-10,14
2024-01-11,18
2024-01-12,28
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,135
2024-01-19,39
2024-01-20,0
2024-01-21,0
2024-01-22,28
2024-01-23,32
2024-01-24,10
2024-01-25,93
2024-01-26,71
2024-01-27,0
2024-01-28,0
2024-01-29,65
2024-01-30,7
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,50
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,53
2024-02-16,41
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,23
2024-02-21,0
2024-02-22,25
2024-02-23,20
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,18
2024-02-28,19
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,12
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,28
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,13
2024-03-29,57
2024-03-30,0
2024-03-31,0
2024-04-01,47
2024-04-02,117
2024-04-03,35
2024-04-04,36
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,37
2024-04-09,35
2024-04-10,0
2024-04-11,0
2024-04-12,45
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,57
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,0
2024-04-23,158
2024-04-24,0
2024-04-25,168
2024-04-26,183
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,42
2024-05-01,75
2024-05-02,0
2024-05-03,4
2024-05-04,4
2024-05-05,10
2024-05-06,0
2024-05-07,81
2024-05-08,51
2024-05-09,0
2024-05-10,3
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,0
2024-05-16,0
2024-05-17,60
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,25
2024-05-24,45
2024-05-25,0
2024-05-26,0
2024-05-27,3
2024-05-28,95
2024-05-29,139
2024-05-30,164
2024-05-31,101
2024-06-01,0
2024-06-02,0
2024-06-03,0
2024-06-04,97
2024-06-05,0
2024-06-06,0
2024-06-07,72
2024-06-08,0
2024-06-09,0
2024-06-10,15
2024-06-11,24
2024-06-12,65
2024-06-13,17
2024-06-14,32
2024-06-15,0
