영업일자,매출수량
2023-01-01,100
2023-01-02,68
2023-01-03,40
2023-01-04,32
2023-01-05,58
2023-01-06,68
2023-01-07,6
2023-01-08,40
2023-01-09,54
2023-01-10,26
2023-01-11,20
2023-01-12,18
2023-01-13,74
2023-01-14,16
2023-01-15,70
2023-01-16,36
2023-01-17,14
2023-01-18,32
2023-01-19,48
2023-01-20,100
2023-01-21,26
2023-01-22,16
2023-01-23,12
2023-01-24,86
2023-01-25,44
2023-01-26,40
2023-01-27,94
2023-01-28,12
2023-01-29,80
2023-01-30,38
2023-01-31,20
2023-02-01,28
2023-02-02,20
2023-02-03,114
2023-02-04,14
2023-02-05,74
2023-02-06,28
2023-02-07,12
2023-02-08,28
2023-02-09,26
2023-02-10,90
2023-02-11,18
2023-02-12,80
2023-02-13,34
2023-02-14,18
2023-02-15,18
2023-02-16,16
2023-02-17,64
2023-02-18,6
2023-02-19,82
2023-02-20,26
2023-02-21,36
2023-02-22,22
2023-02-23,36
2023-02-24,114
2023-02-25,26
2023-02-26,128
2023-02-27,46
2023-02-28,112
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,2
2023-03-12,2
2023-03-13,0
2023-03-14,0
2023-03-15,2
2023-03-16,4
2023-03-17,6
2023-03-18,10
2023-03-19,6
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,2
2023-03-24,2
2023-03-25,18
2023-03-26,2
2023-03-27,6
2023-03-28,0
2023-03-29,0
2023-03-30,8
2023-03-31,22
2023-04-01,8
2023-04-02,6
2023-04-03,6
2023-04-04,10
2023-04-05,8
2023-04-06,4
2023-04-07,30
2023-04-08,2
2023-04-09,14
2023-04-10,6
2023-04-11,22
2023-04-12,10
2023-04-13,24
2023-04-14,50
2023-04-15,6
2023-04-16,24
2023-04-17,6
2023-04-18,12
2023-04-19,8
2023-04-20,4
2023-04-21,62
2023-04-22,8
2023-04-23,28
2023-04-24,6
2023-04-25,10
2023-04-26,10
2023-04-27,14
2023-04-28,46
2023-04-29,6
2023-04-30,50
2023-05-01,24
2023-05-02,6
2023-05-03,18
2023-05-04,72
2023-05-05,8
2023-05-06,4
2023-05-07,30
2023-05-08,12
2023-05-09,10
2023-05-10,16
2023-05-11,4
2023-05-12,44
2023-05-13,6
2023-05-14,14
2023-05-15,8
2023-05-16,6
2023-05-17,2
2023-05-18,8
2023-05-19,48
2023-05-20,6
2023-05-21,14
2023-05-22,4
2023-05-23,12
2023-05-24,6
2023-05-25,12
2023-05-26,56
2023-05-27,8
2023-05-28,52
2023-05-29,6
2023-05-30,2
2023-05-31,2
2023-06-01,10
2023-06-02,32
2023-06-03,6
2023-06-04,32
2023-06-05,42
2023-06-06,18
2023-06-07,16
2023-06-08,8
2023-06-09,36
2023-06-10,0
2023-06-11,18
2023-06-12,6
2023-06-13,8
2023-06-14,8
2023-06-15,24
2023-06-16,28
2023-06-17,16
2023-06-18,26
2023-06-19,4
2023-06-20,8
2023-06-21,14
2023-06-22,14
2023-06-23,40
2023-06-24,14
2023-06-25,16
2023-06-26,8
2023-06-27,10
2023-06-28,16
2023-06-29,14
2023-06-30,42
2023-07-01,2
2023-07-02,22
2023-07-03,10
2023-07-04,8
2023-07-05,4
2023-07-06,16
2023-07-07,28
2023-07-08,0
2023-07-09,14
2023-07-10,8
2023-07-11,8
2023-07-12,6
2023-07-13,12
2023-07-14,58
2023-07-15,12
2023-07-16,20
2023-07-17,6
2023-07-18,10
2023-07-19,12
2023-07-20,22
2023-07-21,30
2023-07-22,8
2023-07-23,38
2023-07-24,34
2023-07-25,24
2023-07-26,48
2023-07-27,48
2023-07-28,44
2023-07-29,4
2023-07-30,66
2023-07-31,68
2023-08-01,42
2023-08-02,56
2023-08-03,56
2023-08-04,54
2023-08-05,6
2023-08-06,60
2023-08-07,62
2023-08-08,86
2023-08-09,46
2023-08-10,42
2023-08-11,36
2023-08-12,10
2023-08-13,70
2023-08-14,50
2023-08-15,62
2023-08-16,24
2023-08-17,28
2023-08-18,10
2023-08-19,24
