영업일자,매출수량
2023-01-01,71
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,33
2023-01-08,63
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,20
2023-01-15,56
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,37
2023-01-22,101
2023-01-23,75
2023-01-24,80
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,38
2023-01-29,51
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,29
2023-02-05,58
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,2
2023-02-12,4
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,12
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,39
2023-02-26,92
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,18
2023-03-12,73
2023-03-13,0
2023-03-14,0
2023-03-15,2
2023-03-16,0
2023-03-17,0
2023-03-18,34
2023-03-19,74
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,38
2023-03-26,43
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,61
2023-04-02,79
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,64
2023-04-09,93
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,57
2023-04-16,54
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,43
2023-04-23,55
2023-04-24,0
2023-04-25,4
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,43
2023-04-30,53
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,93
2023-05-06,67
2023-05-07,80
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,2
2023-05-13,69
2023-05-14,74
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,29
2023-05-21,54
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,4
2023-05-26,0
2023-05-27,49
2023-05-28,56
2023-05-29,69
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,0
2023-06-03,79
2023-06-04,67
2023-06-05,0
2023-06-06,88
2023-06-07,0
2023-06-08,0
2023-06-09,0
2023-06-10,36
2023-06-11,42
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-17,90
2023-06-18,88
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,52
2023-06-25,43
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,0
2023-07-01,61
2023-07-02,84
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,0
2023-07-08,75
2023-07-09,74
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,45
2023-07-16,62
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,70
2023-07-23,81
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,76
2023-07-30,76
2023-07-31,0
