영업일자,매출수량
2023-01-01,0
2023-01-02,31
2023-01-03,33
2023-01-04,20
2023-01-05,48
2023-01-06,38
2023-01-07,0
2023-01-08,0
2023-01-09,33
2023-01-10,34
2023-01-11,34
2023-01-12,42
2023-01-13,8
2023-01-14,0
2023-01-15,0
2023-01-16,37
2023-01-17,27
2023-01-18,43
2023-01-19,31
2023-01-20,25
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,44
2023-01-26,39
2023-01-27,27
2023-01-28,0
2023-01-29,0
2023-01-30,63
2023-01-31,38
2023-02-01,17
2023-02-02,18
2023-02-03,48
2023-02-04,0
2023-02-05,0
2023-02-06,49
2023-02-07,24
2023-02-08,15
2023-02-09,14
2023-02-10,2
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,11
2023-02-15,5
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,38
2023-02-21,60
2023-02-22,20
2023-02-23,23
2023-02-24,38
2023-02-25,0
2023-02-26,0
2023-02-27,32
2023-02-28,51
2023-03-01,37
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,11
2023-03-17,7
2023-03-18,0
2023-03-19,0
2023-03-20,13
2023-03-21,0
2023-03-22,7
2023-03-23,22
2023-03-24,5
2023-03-25,5
2023-03-26,0
2023-03-27,13
2023-03-28,2
2023-03-29,4
2023-03-30,21
2023-03-31,34
2023-04-01,0
2023-04-02,0
2023-04-03,16
2023-04-04,7
2023-04-05,153
2023-04-06,19
2023-04-07,42
2023-04-08,0
2023-04-09,0
2023-04-10,5
2023-04-11,7
2023-04-12,31
2023-04-13,52
2023-04-14,54
2023-04-15,0
2023-04-16,0
2023-04-17,27
2023-04-18,14
2023-04-19,22
2023-04-20,41
2023-04-21,34
2023-04-22,0
2023-04-23,0
2023-04-24,51
2023-04-25,2
2023-04-26,19
2023-04-27,13
2023-04-28,9
2023-04-29,5
2023-04-30,0
2023-05-01,71
2023-05-02,6
2023-05-03,22
2023-05-04,20
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,23
2023-05-09,20
2023-05-10,7
2023-05-11,19
2023-05-12,12
2023-05-13,0
2023-05-14,0
2023-05-15,27
2023-05-16,8
2023-05-17,0
2023-05-18,6
2023-05-19,25
2023-05-20,0
2023-05-21,0
2023-05-22,12
2023-05-23,10
2023-05-24,21
2023-05-25,11
2023-05-26,26
2023-05-27,0
2023-05-28,0
2023-05-29,0
2023-05-30,19
2023-05-31,25
2023-06-01,6
2023-06-02,48
2023-06-03,0
2023-06-04,0
2023-06-05,57
2023-06-06,0
2023-06-07,25
2023-06-08,20
2023-06-09,15
2023-06-10,0
2023-06-11,0
2023-06-12,19
2023-06-13,7
2023-06-14,22
2023-06-15,23
2023-06-16,45
2023-06-17,0
2023-06-18,0
2023-06-19,41
2023-06-20,15
2023-06-21,12
2023-06-22,8
2023-06-23,8
2023-06-24,0
2023-06-25,0
2023-06-26,35
2023-06-27,11
2023-06-28,53
2023-06-29,19
2023-06-30,21
2023-07-01,0
2023-07-02,0
2023-07-03,25
2023-07-04,16
2023-07-05,4
2023-07-06,11
2023-07-07,29
2023-07-08,0
2023-07-09,0
2023-07-10,22
2023-07-11,4
2023-07-12,17
2023-07-13,6
2023-07-14,14
2023-07-15,0
2023-07-16,0
2023-07-17,22
2023-07-18,15
2023-07-19,25
2023-07-20,34
2023-07-21,33
2023-07-22,0
2023-07-23,0
2023-07-24,49
2023-07-25,8
2023-07-26,64
2023-07-27,83
2023-07-28,85
2023-07-29,0
2023-07-30,0
2023-07-31,56
2023-08-01,60
2023-08-02,45
2023-08-03,79
2023-08-04,76
2023-08-05,0
2023-08-06,0
2023-08-07,85
2023-08-08,68
2023-08-09,54
2023-08-10,40
2023-08-11,47
2023-08-12,0
2023-08-13,2
2023-08-14,72
2023-08-15,0
2023-08-16,52
2023-08-17,45
2023-08-18,44
2023-08-19,0
2023-08-20,0
2023-08-21,20
2023-08-22,17
2023-08-23,15
2023-08-24,13
2023-08-25,31
2023-08-26,11
2023-08-27,0
2023-08-28,49
2023-08-29,10
2023-08-30,38
2023-08-31,16
2023-09-01,41
2023-09-02,53
2023-09-03,0
2023-09-04,102
2023-09-05,25
2023-09-06,38
2023-09-07,36
2023-09-08,72
2023-09-09,0
2023-09-10,0
2023-09-11,87
2023-09-12,38
2023-09-13,42
2023-09-14,41
2023-09-15,74
2023-09-16,0
2023-09-17,0
2023-09-18,75
2023-09-19,65
2023-09-20,39
2023-09-21,32
2023-09-22,71
2023-09-23,0
2023-09-24,0
2023-09-25,77
2023-09-26,40
2023-09-27,31
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,-5
2023-10-03,0
2023-10-04,95
2023-10-05,106
2023-10-06,38
2023-10-07,3
2023-10-08,0
2023-10-09,0
2023-10-10,110
2023-10-11,139
2023-10-12,52
2023-10-13,153
2023-10-14,0
2023-10-15,1
2023-10-16,157
2023-10-17,150
2023-10-18,117
2023-10-19,116
2023-10-20,105
2023-10-21,0
2023-10-22,0
2023-10-23,160
2023-10-24,180
2023-10-25,134
2023-10-26,167
2023-10-27,148
2023-10-28,0
2023-10-29,0
2023-10-30,189
2023-10-31,127
2023-11-01,152
2023-11-02,152
2023-11-03,141
2023-11-04,0
2023-11-05,0
2023-11-06,95
2023-11-07,156
2023-11-08,146
2023-11-09,125
2023-11-10,102
2023-11-11,0
2023-11-12,4
2023-11-13,162
2023-11-14,117
2023-11-15,76
2023-11-16,85
2023-11-17,111
2023-11-18,0
2023-11-19,0
2023-11-20,143
2023-11-21,90
2023-11-22,53
2023-11-23,66
2023-11-24,86
2023-11-25,0
2023-11-26,0
2023-11-27,125
2023-11-28,60
2023-11-29,34
2023-11-30,28
2023-12-01,149
2023-12-02,0
2023-12-03,2
2023-12-04,79
2023-12-05,24
2023-12-06,51
2023-12-07,82
2023-12-08,32
2023-12-09,0
2023-12-10,0
2023-12-11,132
2023-12-12,28
2023-12-13,164
2023-12-14,26
2023-12-15,94
2023-12-16,0
2023-12-17,0
2023-12-18,112
2023-12-19,49
2023-12-20,91
2023-12-21,84
2023-12-22,87
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,166
2023-12-27,118
2023-12-28,112
2023-12-29,156
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,120
2024-01-03,93
2024-01-04,96
2024-01-05,135
2024-01-06,0
2024-01-07,0
2024-01-08,109
2024-01-09,96
2024-01-10,104
2024-01-11,105
2024-01-12,59
2024-01-13,0
2024-01-14,0
2024-01-15,112
2024-01-16,167
2024-01-17,103
2024-01-18,108
2024-01-19,63
2024-01-20,0
2024-01-21,0
2024-01-22,123
2024-01-23,82
2024-01-24,63
2024-01-25,106
2024-01-26,37
2024-01-27,0
2024-01-28,0
2024-01-29,106
2024-01-30,93
2024-01-31,80
2024-02-01,78
2024-02-02,34
2024-02-03,0
2024-02-04,0
2024-02-05,98
2024-02-06,53
2024-02-07,26
2024-02-08,92
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,92
2024-02-14,47
2024-02-15,101
2024-02-16,42
2024-02-17,0
2024-02-18,6
2024-02-19,134
2024-02-20,32
2024-02-21,32
2024-02-22,20
2024-02-23,86
2024-02-24,0
2024-02-25,2
2024-02-26,110
2024-02-27,106
2024-02-28,54
2024-02-29,69
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,24
2024-03-15,23
2024-03-16,0
2024-03-17,0
2024-03-18,45
2024-03-19,14
2024-03-20,41
2024-03-21,37
2024-03-22,4
2024-03-23,0
2024-03-24,0
2024-03-25,34
2024-03-26,15
2024-03-27,18
2024-03-28,12
2024-03-29,49
2024-03-30,0
2024-03-31,0
2024-04-01,45
2024-04-02,35
2024-04-03,71
2024-04-04,79
2024-04-05,93
2024-04-06,0
2024-04-07,3
2024-04-08,76
2024-04-09,79
2024-04-10,0
2024-04-11,201
2024-04-12,221
2024-04-13,0
2024-04-14,0
2024-04-15,84
2024-04-16,57
2024-04-17,78
2024-04-18,33
2024-04-19,153
2024-04-20,0
2024-04-21,0
2024-04-22,81
2024-04-23,54
2024-04-24,76
2024-04-25,51
2024-04-26,55
2024-04-27,0
2024-04-28,0
2024-04-29,57
2024-04-30,74
2024-05-01,146
2024-05-02,86
2024-05-03,120
2024-05-04,0
2024-05-05,0
