영업일자,매출수량
2023-01-01,20
2023-01-02,8
2023-01-03,22
2023-01-04,1
2023-01-05,22
2023-01-06,21
2023-01-07,10
2023-01-08,21
2023-01-09,17
2023-01-10,8
2023-01-11,6
2023-01-12,22
2023-01-13,3
2023-01-14,2
2023-01-15,22
2023-01-16,15
2023-01-17,11
2023-01-18,8
2023-01-19,7
2023-01-20,5
2023-01-21,13
2023-01-22,19
2023-01-23,26
2023-01-24,17
2023-01-25,22
2023-01-26,11
2023-01-27,9
2023-01-28,5
2023-01-29,26
2023-01-30,13
2023-01-31,6
2023-02-01,9
2023-02-02,8
2023-02-03,6
2023-02-04,3
2023-02-05,16
2023-02-06,11
2023-02-07,8
2023-02-08,3
2023-02-09,4
2023-02-10,0
2023-02-11,0
2023-02-12,2
2023-02-13,0
2023-02-14,2
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,2
2023-02-20,17
2023-02-21,12
2023-02-22,5
2023-02-23,8
2023-02-24,10
2023-02-25,9
2023-02-26,19
2023-02-27,18
2023-02-28,17
2023-03-01,17
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,5
2023-03-12,17
2023-03-13,0
2023-03-14,0
2023-03-15,2
2023-03-16,0
2023-03-17,0
2023-03-18,5
2023-03-19,19
2023-03-20,1
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,8
2023-03-26,5
2023-03-27,6
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,4
2023-04-01,13
2023-04-02,21
2023-04-03,0
2023-04-04,1
2023-04-05,0
2023-04-06,5
2023-04-07,3
2023-04-08,9
2023-04-09,21
2023-04-10,2
2023-04-11,0
2023-04-12,2
2023-04-13,3
2023-04-14,2
2023-04-15,8
2023-04-16,15
2023-04-17,1
2023-04-18,2
2023-04-19,2
2023-04-20,0
2023-04-21,0
2023-04-22,8
2023-04-23,16
2023-04-24,6
2023-04-25,0
2023-04-26,3
2023-04-27,0
2023-04-28,3
2023-04-29,5
2023-04-30,13
2023-05-01,13
2023-05-02,2
2023-05-03,5
2023-05-04,3
2023-05-05,25
2023-05-06,16
2023-05-07,13
2023-05-08,3
2023-05-09,0
2023-05-10,0
2023-05-11,2
2023-05-12,2
2023-05-13,23
2023-05-14,14
2023-05-15,3
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,2
2023-05-20,5
2023-05-21,6
2023-05-22,0
2023-05-23,1
2023-05-24,1
2023-05-25,0
2023-05-26,6
2023-05-27,12
2023-05-28,11
2023-05-29,17
2023-05-30,6
2023-05-31,0
2023-06-01,0
2023-06-02,2
2023-06-03,9
2023-06-04,21
2023-06-05,17
2023-06-06,31
2023-06-07,6
2023-06-08,1
2023-06-09,0
2023-06-10,8
2023-06-11,11
2023-06-12,4
2023-06-13,1
2023-06-14,3
2023-06-15,0
2023-06-16,4
2023-06-17,11
2023-06-18,17
2023-06-19,2
2023-06-20,0
2023-06-21,2
2023-06-22,0
2023-06-23,4
2023-06-24,16
2023-06-25,5
2023-06-26,7
2023-06-27,1
2023-06-28,2
2023-06-29,1
2023-06-30,1
2023-07-01,8
2023-07-02,15
2023-07-03,9
2023-07-04,1
2023-07-05,0
2023-07-06,1
2023-07-07,4
2023-07-08,8
2023-07-09,14
2023-07-10,7
2023-07-11,2
2023-07-12,2
2023-07-13,2
2023-07-14,0
2023-07-15,12
2023-07-16,13
2023-07-17,1
2023-07-18,0
2023-07-19,2
2023-07-20,4
2023-07-21,11
2023-07-22,7
2023-07-23,22
2023-07-24,15
2023-07-25,3
2023-07-26,12
2023-07-27,17
2023-07-28,20
2023-07-29,26
2023-07-30,22
