영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,104
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,40
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,109
2023-04-18,104
2023-04-19,117
2023-04-20,0
2023-04-21,0
2023-04-22,0
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,83
2023-04-27,38
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,0
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,260
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,30
2023-05-17,31
2023-05-18,166
2023-05-19,234
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-23,105
2023-05-24,272
2023-05-25,135
2023-05-26,0
2023-05-27,0
2023-05-28,0
2023-05-29,26
2023-05-30,65
2023-05-31,53
2023-06-01,49
2023-06-02,30
2023-06-03,0
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,81
2023-06-09,144
2023-06-10,0
2023-06-11,0
2023-06-12,0
2023-06-13,131
2023-06-14,404
2023-06-15,490
2023-06-16,403
2023-06-17,0
2023-06-18,24
2023-06-19,123
2023-06-20,271
2023-06-21,170
2023-06-22,199
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,91
2023-06-27,30
2023-06-28,67
2023-06-29,226
2023-06-30,163
2023-07-01,29
2023-07-02,0
2023-07-03,107
2023-07-04,67
2023-07-05,0
2023-07-06,206
2023-07-07,146
2023-07-08,0
2023-07-09,29
2023-07-10,144
2023-07-11,95
2023-07-12,60
2023-07-13,125
2023-07-14,95
2023-07-15,80
2023-07-16,80
2023-07-17,-80
2023-07-18,0
2023-07-19,265
2023-07-20,90
2023-07-21,220
2023-07-22,0
2023-07-23,0
2023-07-24,40
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,150
2023-08-11,221
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,120
2023-08-17,127
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,327
2023-08-25,100
2023-08-26,0
2023-08-27,0
2023-08-28,26
2023-08-29,25
2023-08-30,25
2023-08-31,186
2023-09-01,24
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,450
2023-09-06,0
2023-09-07,0
2023-09-08,136
2023-09-09,0
2023-09-10,0
2023-09-11,138
2023-09-12,274
2023-09-13,133
2023-09-14,234
2023-09-15,230
2023-09-16,185
2023-09-17,0
2023-09-18,390
2023-09-19,444
2023-09-20,442
2023-09-21,141
2023-09-22,222
2023-09-23,0
2023-09-24,0
2023-09-25,108
2023-09-26,60
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,104
2023-10-05,184
2023-10-06,96
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,150
2023-10-11,165
2023-10-12,318
2023-10-13,358
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,114
2023-10-18,385
2023-10-19,63
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,227
2023-10-24,129
2023-10-25,280
2023-10-26,132
2023-10-27,77
2023-10-28,0
2023-10-29,0
2023-10-30,78
2023-10-31,0
2023-11-01,58
2023-11-02,135
2023-11-03,67
2023-11-04,0
2023-11-05,0
2023-11-06,71
2023-11-07,483
2023-11-08,107
2023-11-09,88
2023-11-10,39
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,0
2023-11-15,0
2023-11-16,22
2023-11-17,107
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,35
2023-11-22,0
2023-11-23,54
2023-11-24,132
2023-11-25,0
2023-11-26,0
2023-11-27,113
2023-11-28,113
2023-11-29,0
2023-11-30,92
2023-12-01,0
2023-12-02,120
2023-12-03,0
2023-12-04,250
2023-12-05,250
2023-12-06,81
2023-12-07,91
2023-12-08,147
2023-12-09,0
2023-12-10,0
2023-12-11,76
2023-12-12,76
2023-12-13,0
2023-12-14,0
2023-12-15,38
2023-12-16,0
2023-12-17,0
2023-12-18,25
2023-12-19,0
2023-12-20,25
2023-12-21,0
2023-12-22,120
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,170
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,27
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,30
2024-01-18,30
2024-01-19,30
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,64
2024-01-24,64
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,200
2024-01-30,112
2024-01-31,0
2024-02-01,0
2024-02-02,63
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,35
2024-02-20,34
2024-02-21,60
2024-02-22,284
2024-02-23,34
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,330
2024-02-29,290
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,570
2024-03-16,541
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,22
2024-03-27,22
2024-03-28,0
2024-03-29,0
2024-03-30,0
2024-03-31,50
2024-04-01,41
2024-04-02,43
2024-04-03,69
2024-04-04,183
2024-04-05,43
2024-04-06,38
2024-04-07,38
2024-04-08,38
2024-04-09,200
2024-04-10,0
2024-04-11,23
2024-04-12,73
2024-04-13,0
2024-04-14,0
2024-04-15,20
2024-04-16,105
2024-04-17,225
2024-04-18,125
2024-04-19,56
2024-04-20,0
2024-04-21,0
2024-04-22,0
2024-04-23,285
2024-04-24,303
2024-04-25,171
2024-04-26,160
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,400
2024-05-01,64
2024-05-02,0
2024-05-03,150
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,27
2024-05-09,145
2024-05-10,181
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,0
2024-05-16,18
2024-05-17,72
2024-05-18,0
2024-05-19,0
2024-05-20,150
2024-05-21,27
2024-05-22,88
2024-05-23,285
2024-05-24,140
2024-05-25,51
2024-05-26,0
2024-05-27,96
2024-05-28,124
2024-05-29,26
2024-05-30,236
2024-05-31,344
2024-06-01,0
2024-06-02,0
2024-06-03,32
2024-06-04,207
2024-06-05,0
2024-06-06,0
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,320
2024-06-11,132
2024-06-12,34
2024-06-13,190
2024-06-14,72
2024-06-15,0
