영업일자,매출수량
2023-01-01,80
2023-01-02,75
2023-01-03,55
2023-01-04,57
2023-01-05,80
2023-01-06,84
2023-01-07,147
2023-01-08,90
2023-01-09,65
2023-01-10,63
2023-01-11,74
2023-01-12,78
2023-01-13,26
2023-01-14,69
2023-01-15,104
2023-01-16,103
2023-01-17,81
2023-01-18,82
2023-01-19,82
2023-01-20,100
2023-01-21,84
2023-01-22,90
2023-01-23,150
2023-01-24,75
2023-01-25,67
2023-01-26,82
2023-01-27,108
2023-01-28,161
2023-01-29,121
2023-01-30,74
2023-01-31,78
2023-02-01,67
2023-02-02,73
2023-02-03,59
2023-02-04,154
2023-02-05,122
2023-02-06,58
2023-02-07,50
2023-02-08,69
2023-02-09,55
2023-02-10,71
2023-02-11,127
2023-02-12,112
2023-02-13,89
2023-02-14,63
2023-02-15,59
2023-02-16,47
2023-02-17,63
2023-02-18,77
2023-02-19,78
2023-02-20,57
2023-02-21,50
2023-02-22,41
2023-02-23,51
2023-02-24,36
2023-02-25,66
2023-02-26,65
2023-02-27,60
2023-02-28,20
2023-03-01,13
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,6
2023-03-12,2
2023-03-13,1
2023-03-14,3
2023-03-15,5
2023-03-16,4
2023-03-17,7
2023-03-18,2
2023-03-19,1
2023-03-20,2
2023-03-21,0
2023-03-22,3
2023-03-23,3
2023-03-24,8
2023-03-25,4
2023-03-26,6
2023-03-27,1
2023-03-28,2
2023-03-29,0
2023-03-30,0
2023-03-31,6
2023-04-01,6
2023-04-02,3
2023-04-03,3
2023-04-04,3
2023-04-05,3
2023-04-06,4
2023-04-07,1
2023-04-08,13
2023-04-09,12
2023-04-10,3
2023-04-11,6
2023-04-12,9
2023-04-13,3
2023-04-14,6
2023-04-15,7
2023-04-16,7
2023-04-17,2
2023-04-18,1
2023-04-19,5
2023-04-20,6
2023-04-21,2
2023-04-22,17
2023-04-23,10
2023-04-24,8
2023-04-25,5
2023-04-26,6
2023-04-27,5
2023-04-28,5
2023-04-29,11
2023-04-30,11
2023-05-01,14
2023-05-02,9
2023-05-03,3
2023-05-04,13
2023-05-05,11
2023-05-06,9
2023-05-07,20
2023-05-08,0
2023-05-09,1
2023-05-10,9
2023-05-11,4
2023-05-12,4
2023-05-13,15
2023-05-14,11
2023-05-15,2
2023-05-16,8
2023-05-17,7
2023-05-18,4
2023-05-19,8
2023-05-20,11
2023-05-21,14
2023-05-22,6
2023-05-23,2
2023-05-24,0
2023-05-25,9
2023-05-26,11
2023-05-27,14
2023-05-28,19
2023-05-29,11
2023-05-30,9
2023-05-31,13
2023-06-01,1
2023-06-02,2
2023-06-03,9
2023-06-04,10
2023-06-05,22
2023-06-06,21
2023-06-07,2
2023-06-08,2
2023-06-09,5
2023-06-10,10
2023-06-11,14
2023-06-12,3
2023-06-13,2
2023-06-14,0
2023-06-15,3
2023-06-16,7
2023-06-17,9
2023-06-18,8
2023-06-19,2
2023-06-20,11
2023-06-21,9
2023-06-22,5
2023-06-23,6
2023-06-24,13
2023-06-25,10
2023-06-26,4
2023-06-27,2
2023-06-28,1
2023-06-29,5
2023-06-30,3
2023-07-01,6
2023-07-02,5
2023-07-03,6
2023-07-04,3
2023-07-05,3
2023-07-06,0
2023-07-07,6
2023-07-08,10
2023-07-09,4
2023-07-10,3
2023-07-11,2
2023-07-12,4
2023-07-13,0
2023-07-14,7
2023-07-15,5
2023-07-16,6
2023-07-17,5
2023-07-18,5
2023-07-19,5
2023-07-20,2
2023-07-21,6
2023-07-22,13
2023-07-23,6
2023-07-24,51
2023-07-25,20
2023-07-26,16
