영업일자,매출수량
2023-01-01,50
2023-01-02,45
2023-01-03,47
2023-01-04,62
2023-01-05,58
2023-01-06,60
2023-01-07,18
2023-01-08,38
2023-01-09,28
2023-01-10,48
2023-01-11,65
2023-01-12,48
2023-01-13,20
2023-01-14,33
2023-01-15,27
2023-01-16,46
2023-01-17,42
2023-01-18,46
2023-01-19,38
2023-01-20,49
2023-01-21,11
2023-01-22,89
2023-01-23,29
2023-01-24,33
2023-01-25,59
2023-01-26,37
2023-01-27,53
2023-01-28,42
2023-01-29,24
2023-01-30,29
2023-01-31,51
2023-02-01,58
2023-02-02,48
2023-02-03,53
2023-02-04,44
2023-02-05,47
2023-02-06,49
2023-02-07,37
2023-02-08,28
2023-02-09,43
2023-02-10,41
2023-02-11,34
2023-02-12,0
2023-02-13,7
2023-02-14,52
2023-02-15,50
2023-02-16,45
2023-02-17,37
2023-02-18,38
2023-02-19,29
2023-02-20,28
2023-02-21,33
2023-02-22,37
2023-02-23,27
2023-02-24,39
2023-02-25,31
2023-02-26,42
2023-02-27,21
2023-02-28,25
2023-03-01,19
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,5
2023-03-12,1
2023-03-13,3
2023-03-14,1
2023-03-15,2
2023-03-16,6
2023-03-17,3
2023-03-18,5
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,3
2023-03-23,0
2023-03-24,1
2023-03-25,3
2023-03-26,3
2023-03-27,1
2023-03-28,0
2023-03-29,3
2023-03-30,0
2023-03-31,6
2023-04-01,10
2023-04-02,8
2023-04-03,1
2023-04-04,2
2023-04-05,0
2023-04-06,2
2023-04-07,3
2023-04-08,9
2023-04-09,2
2023-04-10,2
2023-04-11,4
2023-04-12,1
2023-04-13,3
2023-04-14,13
2023-04-15,6
2023-04-16,3
2023-04-17,0
2023-04-18,0
2023-04-19,1
2023-04-20,1
2023-04-21,1
2023-04-22,9
2023-04-23,8
2023-04-24,2
2023-04-25,0
2023-04-26,2
2023-04-27,1
2023-04-28,6
2023-04-29,3
2023-04-30,14
2023-05-01,15
2023-05-02,5
2023-05-03,5
2023-05-04,10
2023-05-05,7
2023-05-06,0
2023-05-07,11
2023-05-08,6
2023-05-09,0
2023-05-10,2
2023-05-11,2
2023-05-12,4
2023-05-13,10
2023-05-14,11
2023-05-15,1
2023-05-16,3
2023-05-17,1
2023-05-18,2
2023-05-19,9
2023-05-20,11
2023-05-21,9
2023-05-22,1
2023-05-23,1
2023-05-24,0
2023-05-25,2
2023-05-26,4
2023-05-27,12
2023-05-28,6
2023-05-29,16
2023-05-30,3
2023-05-31,7
2023-06-01,1
2023-06-02,2
2023-06-03,8
2023-06-04,27
2023-06-05,15
2023-06-06,17
2023-06-07,8
2023-06-08,0
2023-06-09,2
2023-06-10,7
2023-06-11,5
2023-06-12,3
2023-06-13,0
2023-06-14,2
2023-06-15,5
2023-06-16,10
2023-06-17,4
2023-06-18,14
2023-06-19,3
2023-06-20,4
2023-06-21,3
2023-06-22,0
2023-06-23,6
2023-06-24,11
2023-06-25,10
2023-06-26,0
2023-06-27,4
2023-06-28,2
2023-06-29,1
2023-06-30,3
2023-07-01,13
2023-07-02,7
2023-07-03,1
2023-07-04,3
2023-07-05,0
2023-07-06,2
2023-07-07,3
2023-07-08,6
2023-07-09,2
2023-07-10,1
2023-07-11,1
2023-07-12,3
2023-07-13,0
2023-07-14,4
2023-07-15,4
2023-07-16,4
2023-07-17,1
2023-07-18,0
2023-07-19,2
2023-07-20,5
2023-07-21,7
2023-07-22,14
2023-07-23,6
2023-07-24,21
2023-07-25,11
2023-07-26,6
2023-07-27,18
2023-07-28,15
2023-07-29,14
2023-07-30,10
2023-07-31,20
2023-08-01,13
2023-08-02,19
2023-08-03,9
2023-08-04,9
2023-08-05,9
2023-08-06,6
2023-08-07,9
2023-08-08,8
2023-08-09,12
2023-08-10,8
2023-08-11,7
2023-08-12,10
2023-08-13,17
2023-08-14,12
2023-08-15,11
2023-08-16,5
2023-08-17,2
2023-08-18,9
2023-08-19,13
2023-08-20,3
2023-08-21,5
2023-08-22,1
2023-08-23,6
2023-08-24,2
2023-08-25,3
2023-08-26,9
2023-08-27,8
2023-08-28,4
2023-08-29,5
2023-08-30,2
2023-08-31,0
2023-09-01,3
2023-09-02,12
2023-09-03,6
2023-09-04,1
2023-09-05,3
2023-09-06,1
2023-09-07,2
2023-09-08,1
2023-09-09,13
2023-09-10,3
2023-09-11,2
2023-09-12,3
2023-09-13,0
2023-09-14,3
2023-09-15,1
2023-09-16,11
2023-09-17,5
2023-09-18,2
2023-09-19,0
2023-09-20,1
2023-09-21,6
2023-09-22,5
2023-09-23,14
2023-09-24,7
2023-09-25,4
2023-09-26,1
2023-09-27,5
2023-09-28,15
2023-09-29,7
2023-09-30,20
2023-10-01,26
2023-10-02,21
2023-10-03,12
2023-10-04,3
2023-10-05,5
2023-10-06,11
2023-10-07,19
2023-10-08,21
2023-10-09,24
2023-10-10,6
2023-10-11,8
2023-10-12,1
2023-10-13,5
2023-10-14,10
2023-10-15,23
2023-10-16,6
2023-10-17,7
2023-10-18,12
2023-10-19,8
2023-10-20,10
2023-10-21,11
2023-10-22,24
2023-10-23,8
2023-10-24,5
2023-10-25,9
2023-10-26,3
2023-10-27,5
2023-10-28,21
2023-10-29,15
2023-10-30,9
2023-10-31,10
2023-11-01,7
2023-11-02,12
2023-11-03,3
2023-11-04,10
2023-11-05,10
2023-11-06,8
2023-11-07,3
2023-11-08,8
2023-11-09,7
2023-11-10,4
2023-11-11,10
2023-11-12,11
2023-11-13,7
2023-11-14,5
2023-11-15,7
2023-11-16,1
2023-11-17,4
2023-11-18,6
2023-11-19,2
2023-11-20,1
2023-11-21,1
2023-11-22,1
2023-11-23,4
2023-11-24,3
2023-11-25,10
2023-11-26,5
2023-11-27,2
2023-11-28,4
2023-11-29,2
2023-11-30,0
2023-12-01,0
2023-12-02,7
2023-12-03,3
2023-12-04,2
2023-12-05,0
2023-12-06,9
2023-12-07,5
2023-12-08,33
2023-12-09,41
2023-12-10,48
2023-12-11,17
2023-12-12,26
2023-12-13,19
2023-12-14,3
2023-12-15,4
2023-12-16,15
2023-12-17,22
2023-12-18,48
2023-12-19,50
2023-12-20,44
2023-12-21,27
2023-12-22,52
2023-12-23,59
2023-12-24,69
2023-12-25,67
2023-12-26,76
2023-12-27,70
2023-12-28,64
2023-12-29,78
2023-12-30,68
2023-12-31,55
2024-01-01,65
2024-01-02,46
2024-01-03,39
2024-01-04,49
2024-01-05,36
2024-01-06,63
2024-01-07,68
2024-01-08,74
2024-01-09,48
2024-01-10,54
2024-01-11,53
2024-01-12,63
2024-01-13,121
2024-01-14,60
2024-01-15,56
2024-01-16,56
2024-01-17,54
2024-01-18,53
2024-01-19,80
2024-01-20,94
2024-01-21,71
2024-01-22,51
2024-01-23,60
2024-01-24,48
2024-01-25,57
2024-01-26,53
2024-01-27,76
2024-01-28,71
2024-01-29,47
2024-01-30,72
2024-01-31,47
2024-02-01,40
2024-02-02,54
2024-02-03,84
2024-02-04,52
2024-02-05,25
2024-02-06,37
2024-02-07,40
2024-02-08,49
2024-02-09,59
2024-02-10,55
2024-02-11,69
2024-02-12,62
2024-02-13,33
2024-02-14,26
2024-02-15,17
2024-02-16,37
2024-02-17,77
2024-02-18,34
2024-02-19,14
2024-02-20,24
2024-02-21,22
2024-02-22,36
2024-02-23,31
2024-02-24,47
2024-02-25,54
2024-02-26,48
2024-02-27,25
2024-02-28,27
2024-02-29,24
2024-03-01,51
2024-03-02,25
2024-03-03,7
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,1
2024-03-15,1
2024-03-16,6
2024-03-17,1
2024-03-18,1
2024-03-19,0
2024-03-20,1
2024-03-21,0
2024-03-22,0
2024-03-23,3
2024-03-24,4
2024-03-25,1
2024-03-26,0
2024-03-27,3
2024-03-28,0
2024-03-29,2
2024-03-30,7
2024-03-31,7
2024-04-01,0
2024-04-02,5
2024-04-03,0
2024-04-04,3
2024-04-05,10
2024-04-06,15
2024-04-07,8
2024-04-08,1
2024-04-09,7
2024-04-10,18
2024-04-11,13
2024-04-12,10
2024-04-13,10
2024-04-14,7
2024-04-15,3
2024-04-16,3
2024-04-17,1
2024-04-18,8
2024-04-19,8
2024-04-20,6
2024-04-21,9
2024-04-22,1
2024-04-23,4
2024-04-24,2
2024-04-25,0
2024-04-26,4
2024-04-27,13
2024-04-28,14
2024-04-29,2
2024-04-30,4
2024-05-01,15
2024-05-02,2
2024-05-03,8
2024-05-04,17
2024-05-05,7
2024-05-06,2
2024-05-07,1
2024-05-08,1
2024-05-09,4
2024-05-10,2
2024-05-11,7
2024-05-12,7
2024-05-13,0
2024-05-14,4
2024-05-15,8
2024-05-16,1
2024-05-17,4
2024-05-18,15
2024-05-19,20
2024-05-20,10
2024-05-21,2
2024-05-22,4
2024-05-23,0
2024-05-24,1
2024-05-25,21
2024-05-26,7
2024-05-27,0
2024-05-28,2
2024-05-29,1
2024-05-30,1
2024-05-31,5
2024-06-01,13
2024-06-02,10
2024-06-03,1
2024-06-04,2
2024-06-05,2
2024-06-06,27
2024-06-07,19
2024-06-08,7
2024-06-09,9
2024-06-10,2
2024-06-11,1
2024-06-12,2
2024-06-13,2
2024-06-14,3
2024-06-15,16
