영업일자,매출수량
2023-01-01,172
2023-01-02,140
2023-01-03,119
2023-01-04,141
2023-01-05,143
2023-01-06,160
2023-01-07,287
2023-01-08,195
2023-01-09,132
2023-01-10,131
2023-01-11,150
2023-01-12,141
2023-01-13,46
2023-01-14,112
2023-01-15,206
2023-01-16,137
2023-01-17,125
2023-01-18,164
2023-01-19,136
2023-01-20,167
2023-01-21,229
2023-01-22,188
2023-01-23,360
2023-01-24,177
2023-01-25,125
2023-01-26,156
2023-01-27,189
2023-01-28,336
2023-01-29,267
2023-01-30,157
2023-01-31,125
2023-02-01,88
2023-02-02,129
2023-02-03,163
2023-02-04,315
2023-02-05,269
2023-02-06,120
2023-02-07,91
2023-02-08,123
2023-02-09,123
2023-02-10,109
2023-02-11,267
2023-02-12,245
2023-02-13,127
2023-02-14,110
2023-02-15,120
2023-02-16,101
2023-02-17,110
2023-02-18,131
2023-02-19,181
2023-02-20,111
2023-02-21,105
2023-02-22,79
2023-02-23,74
2023-02-24,106
2023-02-25,157
2023-02-26,136
2023-02-27,96
2023-02-28,55
2023-03-01,41
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,1
2023-03-11,6
2023-03-12,4
2023-03-13,8
2023-03-14,2
2023-03-15,2
2023-03-16,6
2023-03-17,7
2023-03-18,6
2023-03-19,7
2023-03-20,2
2023-03-21,3
2023-03-22,2
2023-03-23,0
2023-03-24,3
2023-03-25,17
2023-03-26,18
2023-03-27,2
2023-03-28,1
2023-03-29,4
2023-03-30,1
2023-03-31,8
2023-04-01,25
2023-04-02,20
2023-04-03,0
2023-04-04,8
2023-04-05,3
2023-04-06,5
2023-04-07,17
2023-04-08,29
2023-04-09,10
2023-04-10,7
2023-04-11,15
2023-04-12,13
2023-04-13,4
2023-04-14,13
2023-04-15,21
2023-04-16,19
2023-04-17,3
2023-04-18,6
2023-04-19,7
2023-04-20,1
2023-04-21,4
2023-04-22,24
2023-04-23,27
2023-04-24,14
2023-04-25,3
2023-04-26,4
2023-04-27,2
2023-04-28,10
2023-04-29,6
2023-04-30,34
2023-05-01,21
2023-05-02,5
2023-05-03,5
2023-05-04,21
2023-05-05,13
2023-05-06,10
2023-05-07,30
2023-05-08,5
2023-05-09,2
2023-05-10,3
2023-05-11,7
2023-05-12,19
2023-05-13,28
2023-05-14,20
2023-05-15,2
2023-05-16,1
2023-05-17,7
2023-05-18,10
2023-05-19,11
2023-05-20,28
2023-05-21,29
2023-05-22,3
2023-05-23,8
2023-05-24,5
2023-05-25,9
2023-05-26,11
2023-05-27,11
2023-05-28,13
2023-05-29,26
2023-05-30,11
2023-05-31,4
2023-06-01,2
2023-06-02,10
2023-06-03,19
2023-06-04,56
2023-06-05,33
2023-06-06,47
2023-06-07,5
2023-06-08,7
2023-06-09,6
2023-06-10,15
2023-06-11,13
2023-06-12,4
2023-06-13,2
2023-06-14,6
2023-06-15,2
2023-06-16,11
2023-06-17,23
2023-06-18,28
2023-06-19,8
2023-06-20,32
2023-06-21,8
2023-06-22,39
2023-06-23,13
2023-06-24,27
2023-06-25,35
2023-06-26,2
2023-06-27,6
2023-06-28,3
2023-06-29,3
2023-06-30,6
2023-07-01,19
2023-07-02,12
2023-07-03,2
2023-07-04,8
2023-07-05,25
2023-07-06,1
2023-07-07,14
2023-07-08,20
2023-07-09,11
2023-07-10,7
2023-07-11,0
2023-07-12,35
2023-07-13,1
2023-07-14,12
2023-07-15,6
