영업일자,매출수량
2023-01-01,67
2023-01-02,74
2023-01-03,65
2023-01-04,75
2023-01-05,67
2023-01-06,71
2023-01-07,131
2023-01-08,80
2023-01-09,62
2023-01-10,53
2023-01-11,71
2023-01-12,75
2023-01-13,29
2023-01-14,41
2023-01-15,112
2023-01-16,86
2023-01-17,58
2023-01-18,91
2023-01-19,15
2023-01-20,72
2023-01-21,91
2023-01-22,104
2023-01-23,123
2023-01-24,72
2023-01-25,62
2023-01-26,84
2023-01-27,76
2023-01-28,57
2023-01-29,87
2023-01-30,80
2023-01-31,58
2023-02-01,52
2023-02-02,81
2023-02-03,68
2023-02-04,113
2023-02-05,108
2023-02-06,65
2023-02-07,48
2023-02-08,46
2023-02-09,59
2023-02-10,48
2023-02-11,93
2023-02-12,114
2023-02-13,80
2023-02-14,64
2023-02-15,69
2023-02-16,16
2023-02-17,51
2023-02-18,69
2023-02-19,65
2023-02-20,62
2023-02-21,53
2023-02-22,52
2023-02-23,42
2023-02-24,63
2023-02-25,67
2023-02-26,33
2023-02-27,52
2023-02-28,33
2023-03-01,15
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,2
2023-03-11,7
2023-03-12,5
2023-03-13,3
2023-03-14,3
2023-03-15,2
2023-03-16,6
2023-03-17,16
2023-03-18,10
2023-03-19,4
2023-03-20,2
2023-03-21,1
2023-03-22,4
2023-03-23,1
2023-03-24,4
2023-03-25,10
2023-03-26,9
2023-03-27,4
2023-03-28,0
2023-03-29,0
2023-03-30,6
2023-03-31,13
2023-04-01,20
2023-04-02,15
2023-04-03,1
2023-04-04,0
2023-04-05,2
2023-04-06,14
2023-04-07,18
2023-04-08,18
2023-04-09,8
2023-04-10,6
2023-04-11,9
2023-04-12,27
2023-04-13,9
2023-04-14,1
2023-04-15,12
2023-04-16,16
2023-04-17,10
2023-04-18,4
2023-04-19,25
2023-04-20,2
2023-04-21,17
2023-04-22,24
2023-04-23,14
2023-04-24,4
2023-04-25,5
2023-04-26,12
2023-04-27,10
2023-04-28,5
2023-04-29,13
2023-04-30,38
2023-05-01,38
2023-05-02,6
2023-05-03,16
2023-05-04,14
2023-05-05,29
2023-05-06,21
2023-05-07,26
2023-05-08,8
2023-05-09,5
2023-05-10,7
2023-05-11,11
2023-05-12,9
2023-05-13,34
2023-05-14,24
2023-05-15,2
2023-05-16,9
2023-05-17,11
2023-05-18,16
2023-05-19,5
2023-05-20,55
2023-05-21,26
2023-05-22,6
2023-05-23,3
2023-05-24,6
2023-05-25,8
2023-05-26,30
2023-05-27,20
2023-05-28,16
2023-05-29,25
2023-05-30,6
2023-05-31,3
2023-06-01,2
2023-06-02,8
2023-06-03,23
2023-06-04,51
2023-06-05,42
2023-06-06,42
2023-06-07,2
2023-06-08,21
2023-06-09,14
2023-06-10,15
2023-06-11,22
2023-06-12,10
2023-06-13,3
2023-06-14,0
2023-06-15,11
