영업일자,매출수량
2023-01-01,77
2023-01-02,76
2023-01-03,69
2023-01-04,51
2023-01-05,89
2023-01-06,74
2023-01-07,90
2023-01-08,105
2023-01-09,82
2023-01-10,69
2023-01-11,77
2023-01-12,79
2023-01-13,23
2023-01-14,49
2023-01-15,105
2023-01-16,70
2023-01-17,57
2023-01-18,69
2023-01-19,58
2023-01-20,70
2023-01-21,132
2023-01-22,100
2023-01-23,185
2023-01-24,92
2023-01-25,62
2023-01-26,64
2023-01-27,60
2023-01-28,135
2023-01-29,120
2023-01-30,75
2023-01-31,47
2023-02-01,64
2023-02-02,46
2023-02-03,57
2023-02-04,126
2023-02-05,125
2023-02-06,39
2023-02-07,46
2023-02-08,58
2023-02-09,71
2023-02-10,63
2023-02-11,98
2023-02-12,106
2023-02-13,77
2023-02-14,40
2023-02-15,57
2023-02-16,57
2023-02-17,49
2023-02-18,85
2023-02-19,77
2023-02-20,67
2023-02-21,63
2023-02-22,45
2023-02-23,28
2023-02-24,47
2023-02-25,55
2023-02-26,56
2023-02-27,55
2023-02-28,29
2023-03-01,19
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,2
2023-03-12,3
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,1
2023-03-17,3
2023-03-18,6
2023-03-19,2
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,1
2023-03-25,3
2023-03-26,3
2023-03-27,1
2023-03-28,1
2023-03-29,0
2023-03-30,0
2023-03-31,2
2023-04-01,14
2023-04-02,9
2023-04-03,1
2023-04-04,3
2023-04-05,2
2023-04-06,3
2023-04-07,1
2023-04-08,13
2023-04-09,10
2023-04-10,1
2023-04-11,0
2023-04-12,2
2023-04-13,1
2023-04-14,10
2023-04-15,8
2023-04-16,3
2023-04-17,2
2023-04-18,3
2023-04-19,4
2023-04-20,2
2023-04-21,4
2023-04-22,11
2023-04-23,11
2023-04-24,4
2023-04-25,1
2023-04-26,2
2023-04-27,0
2023-04-28,2
2023-04-29,6
2023-04-30,24
2023-05-01,5
2023-05-02,4
2023-05-03,1
2023-05-04,10
2023-05-05,7
2023-05-06,9
2023-05-07,18
2023-05-08,3
2023-05-09,2
2023-05-10,0
2023-05-11,1
2023-05-12,3
2023-05-13,20
2023-05-14,16
2023-05-15,1
2023-05-16,0
2023-05-17,1
2023-05-18,4
2023-05-19,4
2023-05-20,13
2023-05-21,17
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,1
2023-05-26,7
2023-05-27,8
2023-05-28,7
2023-05-29,21
2023-05-30,2
2023-05-31,4
2023-06-01,1
2023-06-02,5
2023-06-03,14
2023-06-04,40
2023-06-05,18
2023-06-06,39
2023-06-07,2
2023-06-08,0
2023-06-09,2
2023-06-10,10
2023-06-11,13
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-15,3
2023-06-16,8
2023-06-17,16
2023-06-18,17
2023-06-19,2
2023-06-20,1
2023-06-21,2
2023-06-22,0
2023-06-23,6
2023-06-24,12
2023-06-25,15
2023-06-26,2
2023-06-27,2
2023-06-28,0
2023-06-29,1
2023-06-30,9
2023-07-01,17
2023-07-02,7
2023-07-03,0
2023-07-04,2
2023-07-05,2
2023-07-06,0
2023-07-07,5
2023-07-08,11
2023-07-09,11
2023-07-10,2
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,2
2023-07-15,3
2023-07-16,6
2023-07-17,0
2023-07-18,2
2023-07-19,2
2023-07-20,0
2023-07-21,10
2023-07-22,18
2023-07-23,10
2023-07-24,18
2023-07-25,9
2023-07-26,12
2023-07-27,25
2023-07-28,20
2023-07-29,23
2023-07-30,12
2023-07-31,26
2023-08-01,9
2023-08-02,13
2023-08-03,9
2023-08-04,14
2023-08-05,9
2023-08-06,7
2023-08-07,17
2023-08-08,7
2023-08-09,11
2023-08-10,5
2023-08-11,6
2023-08-12,14
2023-08-13,27
2023-08-14,17
2023-08-15,16
2023-08-16,7
2023-08-17,5
2023-08-18,13
2023-08-19,10
2023-08-20,4
2023-08-21,11
2023-08-22,4
2023-08-23,3
2023-08-24,3
2023-08-25,5
2023-08-26,9
2023-08-27,12
2023-08-28,1
2023-08-29,1
2023-08-30,0
2023-08-31,0
2023-09-01,2
2023-09-02,9
2023-09-03,14
2023-09-04,1
2023-09-05,2
2023-09-06,0
2023-09-07,4
2023-09-08,3
2023-09-09,22
2023-09-10,8
2023-09-11,0
2023-09-12,3
2023-09-13,1
2023-09-14,5
