영업일자,매출수량
2023-01-01,40
2023-01-02,42
2023-01-03,43
2023-01-04,36
2023-01-05,40
2023-01-06,54
2023-01-07,81
2023-01-08,62
2023-01-09,41
2023-01-10,38
2023-01-11,48
2023-01-12,67
2023-01-13,23
2023-01-14,44
2023-01-15,64
2023-01-16,33
2023-01-17,43
2023-01-18,54
2023-01-19,52
2023-01-20,56
2023-01-21,66
2023-01-22,51
2023-01-23,116
2023-01-24,66
2023-01-25,36
2023-01-26,49
2023-01-27,76
2023-01-28,111
2023-01-29,80
2023-01-30,55
2023-01-31,42
2023-02-01,49
2023-02-02,47
2023-02-03,45
2023-02-04,100
2023-02-05,95
2023-02-06,32
2023-02-07,40
2023-02-08,38
2023-02-09,35
2023-02-10,33
2023-02-11,72
2023-02-12,77
2023-02-13,44
2023-02-14,35
2023-02-15,37
2023-02-16,40
2023-02-17,21
2023-02-18,42
2023-02-19,57
2023-02-20,32
2023-02-21,46
2023-02-22,18
2023-02-23,24
2023-02-24,29
2023-02-25,37
2023-02-26,32
2023-02-27,25
2023-02-28,16
2023-03-01,15
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,1
2023-03-11,3
2023-03-12,3
2023-03-13,1
2023-03-14,0
2023-03-15,1
2023-03-16,3
2023-03-17,3
2023-03-18,10
2023-03-19,2
2023-03-20,0
2023-03-21,2
2023-03-22,2
2023-03-23,1
2023-03-24,2
2023-03-25,8
2023-03-26,9
2023-03-27,1
2023-03-28,0
2023-03-29,1
2023-03-30,1
2023-03-31,0
2023-04-01,1
2023-04-02,6
2023-04-03,0
2023-04-04,0
2023-04-05,1
2023-04-06,3
2023-04-07,6
2023-04-08,6
2023-04-09,1
2023-04-10,1
2023-04-11,1
2023-04-12,6
2023-04-13,1
2023-04-14,8
2023-04-15,4
2023-04-16,4
2023-04-17,2
2023-04-18,3
2023-04-19,2
2023-04-20,3
2023-04-21,3
2023-04-22,7
2023-04-23,9
2023-04-24,1
2023-04-25,0
2023-04-26,1
2023-04-27,1
2023-04-28,1
2023-04-29,2
2023-04-30,15
2023-05-01,9
2023-05-02,4
2023-05-03,1
2023-05-04,14
2023-05-05,11
2023-05-06,6
2023-05-07,9
2023-05-08,0
2023-05-09,4
2023-05-10,1
2023-05-11,2
2023-05-12,3
2023-05-13,13
2023-05-14,10
2023-05-15,1
2023-05-16,2
2023-05-17,6
2023-05-18,3
2023-05-19,1
2023-05-20,6
2023-05-21,6
2023-05-22,2
2023-05-23,2
2023-05-24,0
2023-05-25,3
2023-05-26,4
2023-05-27,10
2023-05-28,7
2023-05-29,6
2023-05-30,4
2023-05-31,7
2023-06-01,0
2023-06-02,8
2023-06-03,6
2023-06-04,17
2023-06-05,10
2023-06-06,11
2023-06-07,4
2023-06-08,1
2023-06-09,2
2023-06-10,3
2023-06-11,4
2023-06-12,3
2023-06-13,8
2023-06-14,2
2023-06-15,1
2023-06-16,4
2023-06-17,3
2023-06-18,6
2023-06-19,1
2023-06-20,3
2023-06-21,5
2023-06-22,1
2023-06-23,5
2023-06-24,1
2023-06-25,4
2023-06-26,1
2023-06-27,4
2023-06-28,0
2023-06-29,3
2023-06-30,5
2023-07-01,8
2023-07-02,4
2023-07-03,3
2023-07-04,3
2023-07-05,0
2023-07-06,0
2023-07-07,8
2023-07-08,7
2023-07-09,4
2023-07-10,1
2023-07-11,0
2023-07-12,1
2023-07-13,2
2023-07-14,3
2023-07-15,2
2023-07-16,2
2023-07-17,0
2023-07-18,5
2023-07-19,0
2023-07-20,1
