영업일자,매출수량
2023-01-01,103
2023-01-02,79
2023-01-03,72
2023-01-04,85
2023-01-05,77
2023-01-06,94
2023-01-07,175
2023-01-08,109
2023-01-09,93
2023-01-10,89
2023-01-11,89
2023-01-12,104
2023-01-13,27
2023-01-14,76
2023-01-15,96
2023-01-16,112
2023-01-17,80
2023-01-18,104
2023-01-19,82
2023-01-20,90
2023-01-21,126
2023-01-22,102
2023-01-23,148
2023-01-24,107
2023-01-25,73
2023-01-26,89
2023-01-27,98
2023-01-28,185
2023-01-29,158
2023-01-30,98
2023-01-31,82
2023-02-01,68
2023-02-02,66
2023-02-03,72
2023-02-04,189
2023-02-05,126
2023-02-06,64
2023-02-07,63
2023-02-08,53
2023-02-09,68
2023-02-10,62
2023-02-11,147
2023-02-12,128
2023-02-13,70
2023-02-14,80
2023-02-15,57
2023-02-16,68
2023-02-17,53
2023-02-18,88
2023-02-19,103
2023-02-20,73
2023-02-21,68
2023-02-22,46
2023-02-23,46
2023-02-24,64
2023-02-25,97
2023-02-26,61
2023-02-27,30
2023-02-28,30
2023-03-01,25
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,2
2023-03-11,0
2023-03-12,2
2023-03-13,1
2023-03-14,0
2023-03-15,0
2023-03-16,10
2023-03-17,6
2023-03-18,5
2023-03-19,1
2023-03-20,0
2023-03-21,1
2023-03-22,0
2023-03-23,3
2023-03-24,0
2023-03-25,4
2023-03-26,16
2023-03-27,0
2023-03-28,0
2023-03-29,1
2023-03-30,2
2023-03-31,5
2023-04-01,13
2023-04-02,14
2023-04-03,2
2023-04-04,2
2023-04-05,2
2023-04-06,1
2023-04-07,2
2023-04-08,5
2023-04-09,5
2023-04-10,2
2023-04-11,5
2023-04-12,3
2023-04-13,2
2023-04-14,5
2023-04-15,7
2023-04-16,9
2023-04-17,0
2023-04-18,0
2023-04-19,1
2023-04-20,2
2023-04-21,3
2023-04-22,12
2023-04-23,9
2023-04-24,1
2023-04-25,0
2023-04-26,4
2023-04-27,0
2023-04-28,5
2023-04-29,4
2023-04-30,21
2023-05-01,10
2023-05-02,5
2023-05-03,1
2023-05-04,13
2023-05-05,3
2023-05-06,5
2023-05-07,8
2023-05-08,1
2023-05-09,0
2023-05-10,1
2023-05-11,5
2023-05-12,17
2023-05-13,17
2023-05-14,10
2023-05-15,1
2023-05-16,1
2023-05-17,1
2023-05-18,1
2023-05-19,3
2023-05-20,17
2023-05-21,17
2023-05-22,4
2023-05-23,5
2023-05-24,1
2023-05-25,2
2023-05-26,4
2023-05-27,11
2023-05-28,8
2023-05-29,7
2023-05-30,4
2023-05-31,1
2023-06-01,1
2023-06-02,4
2023-06-03,16
2023-06-04,15
2023-06-05,13
2023-06-06,13
2023-06-07,2
2023-06-08,5
2023-06-09,7
2023-06-10,7
2023-06-11,12
2023-06-12,1
2023-06-13,3
2023-06-14,2
2023-06-15,2
2023-06-16,2
2023-06-17,7
2023-06-18,14
2023-06-19,3
2023-06-20,3
2023-06-21,8
2023-06-22,6
2023-06-23,4
2023-06-24,9
2023-06-25,7
2023-06-26,0
2023-06-27,3
2023-06-28,2
2023-06-29,2
2023-06-30,1
2023-07-01,10
2023-07-02,7
2023-07-03,2
2023-07-04,2
2023-07-05,1
2023-07-06,1
2023-07-07,1
2023-07-08,11
2023-07-09,5
2023-07-10,3
2023-07-11,2
2023-07-12,4
2023-07-13,0
2023-07-14,4
2023-07-15,4
2023-07-16,4
2023-07-17,2
2023-07-18,2
2023-07-19,3
2023-07-20,4
2023-07-21,1
2023-07-22,15
2023-07-23,5
2023-07-24,15
2023-07-25,12
2023-07-26,9
2023-07-27,20
2023-07-28,9
2023-07-29,15
2023-07-30,6
2023-07-31,18
2023-08-01,8
2023-08-02,9
2023-08-03,5
2023-08-04,9
2023-08-05,8
2023-08-06,13
2023-08-07,11
2023-08-08,18
2023-08-09,7
2023-08-10,11
2023-08-11,6
2023-08-12,9
2023-08-13,11
2023-08-14,11
2023-08-15,12
2023-08-16,12
2023-08-17,6
2023-08-18,8
2023-08-19,7
2023-08-20,6
2023-08-21,6
2023-08-22,1
2023-08-23,3
2023-08-24,3
2023-08-25,5
2023-08-26,5
2023-08-27,7
2023-08-28,2
2023-08-29,1
2023-08-30,2
2023-08-31,2
2023-09-01,3
2023-09-02,12
2023-09-03,14
2023-09-04,1
2023-09-05,5
2023-09-06,1
2023-09-07,2
2023-09-08,3
2023-09-09,10
2023-09-10,9
2023-09-11,0
2023-09-12,3
2023-09-13,6
2023-09-14,8
2023-09-15,7
2023-09-16,9
2023-09-17,7
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,3
2023-09-22,3
2023-09-23,9
2023-09-24,5
2023-09-25,1
2023-09-26,3
2023-09-27,0
2023-09-28,17
2023-09-29,21
2023-09-30,28
2023-10-01,30
2023-10-02,22
2023-10-03,19
