영업일자,매출수량
2023-01-01,290
2023-01-02,226
2023-01-03,190
2023-01-04,202
2023-01-05,237
2023-01-06,328
2023-01-07,646
2023-01-08,386
2023-01-09,257
2023-01-10,257
2023-01-11,243
2023-01-12,269
2023-01-13,122
2023-01-14,281
2023-01-15,379
2023-01-16,272
2023-01-17,265
2023-01-18,256
2023-01-19,279
2023-01-20,353
2023-01-21,388
2023-01-22,439
2023-01-23,872
2023-01-24,177
2023-01-25,132
2023-01-26,234
2023-01-27,332
2023-01-28,679
2023-01-29,479
2023-01-30,256
2023-01-31,203
2023-02-01,212
2023-02-02,248
2023-02-03,374
2023-02-04,691
2023-02-05,444
2023-02-06,235
2023-02-07,188
2023-02-08,212
2023-02-09,211
2023-02-10,354
2023-02-11,632
2023-02-12,435
2023-02-13,220
2023-02-14,184
2023-02-15,218
2023-02-16,257
2023-02-17,345
2023-02-18,367
2023-02-19,300
2023-02-20,179
2023-02-21,123
2023-02-22,135
2023-02-23,158
2023-02-24,195
2023-02-25,343
2023-02-26,265
2023-02-27,137
2023-02-28,124
2023-03-01,78
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,-3
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,6
2023-04-02,6
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,3
2023-04-08,8
2023-04-09,6
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,2
2023-04-15,2
2023-04-16,8
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,10
2023-04-23,16
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,5
2023-04-30,23
2023-05-01,9
2023-05-02,1
2023-05-03,0
2023-05-04,5
2023-05-05,2
2023-05-06,0
2023-05-07,13
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,3
2023-05-13,23
2023-05-14,14
2023-05-15,0
2023-05-16,0
2023-05-17,2
2023-05-18,0
2023-05-19,1
2023-05-20,17
2023-05-21,17
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,1
2023-05-26,3
2023-05-27,1
2023-05-28,4
2023-05-29,7
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,1
2023-06-03,13
2023-06-04,13
2023-06-05,10
2023-06-06,20
2023-06-07,1
2023-06-08,1
2023-06-09,2
2023-06-10,7
2023-06-11,2
2023-06-12,0
2023-06-13,3
2023-06-14,4
2023-06-15,2
2023-06-16,0
2023-06-17,11
2023-06-18,8
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,1
2023-06-24,7
2023-06-25,3
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,0
2023-07-01,3
2023-07-02,2
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,1
2023-07-07,0
2023-07-08,5
2023-07-09,1
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,2
2023-07-16,0
2023-07-17,1
2023-07-18,0
2023-07-19,1
2023-07-20,2
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,2
2023-07-26,1
2023-07-27,0
2023-07-28,0
2023-07-29,1
2023-07-30,2
2023-07-31,0
2023-08-01,2
2023-08-02,0
2023-08-03,3
2023-08-04,1
2023-08-05,0
2023-08-06,1
2023-08-07,0
2023-08-08,0
2023-08-09,2
2023-08-10,0
2023-08-11,0
2023-08-12,1
2023-08-13,3
2023-08-14,1
2023-08-15,4
2023-08-16,1
2023-08-17,1
2023-08-18,0
2023-08-19,1
2023-08-20,2
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,4
2023-08-27,3
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,11
2023-09-03,4
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,6
2023-09-10,3
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,1
2023-09-17,3
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,22
2023-09-24,7
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,9
2023-09-29,17
2023-09-30,23
2023-10-01,18
2023-10-02,26
2023-10-03,21
2023-10-04,1
2023-10-05,3
2023-10-06,4
2023-10-07,32
2023-10-08,41
2023-10-09,29
2023-10-10,1
2023-10-11,0
2023-10-12,0
2023-10-13,8
2023-10-14,5
2023-10-15,36
2023-10-16,0
2023-10-17,4
2023-10-18,9
2023-10-19,1
2023-10-20,8
2023-10-21,27
2023-10-22,36
2023-10-23,0
2023-10-24,11
2023-10-25,10
2023-10-26,12
2023-10-27,10
2023-10-28,27
2023-10-29,22
2023-10-30,0
2023-10-31,6
2023-11-01,13
2023-11-02,8
2023-11-03,7
2023-11-04,16
2023-11-05,6
2023-11-06,0
2023-11-07,6
2023-11-08,6
2023-11-09,2
2023-11-10,3
2023-11-11,5
2023-11-12,7
2023-11-13,0
2023-11-14,2
2023-11-15,0
2023-11-16,0
2023-11-17,1
2023-11-18,2
2023-11-19,7
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,1
2023-11-24,0
2023-11-25,1
2023-11-26,0
