영업일자,매출수량
2023-01-01,207
2023-01-02,141
2023-01-03,114
2023-01-04,180
2023-01-05,175
2023-01-06,296
2023-01-07,520
2023-01-08,388
2023-01-09,302
2023-01-10,251
2023-01-11,260
2023-01-12,307
2023-01-13,155
2023-01-14,297
2023-01-15,218
2023-01-16,162
2023-01-17,203
2023-01-18,172
2023-01-19,237
2023-01-20,188
2023-01-21,229
2023-01-22,332
2023-01-23,470
2023-01-24,42
2023-01-25,70
2023-01-26,142
2023-01-27,172
2023-01-28,341
2023-01-29,287
2023-01-30,166
2023-01-31,207
2023-02-01,158
2023-02-02,168
2023-02-03,212
2023-02-04,567
2023-02-05,322
2023-02-06,244
2023-02-07,167
2023-02-08,187
2023-02-09,220
2023-02-10,264
2023-02-11,543
2023-02-12,423
2023-02-13,229
2023-02-14,194
2023-02-15,143
2023-02-16,146
2023-02-17,386
2023-02-18,438
2023-02-19,0
2023-02-20,0
2023-02-21,100
2023-02-22,136
2023-02-23,141
2023-02-24,151
2023-02-25,277
2023-02-26,201
2023-02-27,113
2023-02-28,172
2023-03-01,69
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,83
2023-04-02,71
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,2
2023-04-08,6
2023-04-09,6
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,11
2023-04-15,5
2023-04-16,3
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,2
2023-04-22,30
2023-04-23,41
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,6
2023-04-28,5
2023-04-29,0
2023-04-30,23
2023-05-01,8
2023-05-02,1
2023-05-03,5
2023-05-04,10
2023-05-05,1
2023-05-06,3
2023-05-07,10
2023-05-08,0
2023-05-09,0
2023-05-10,1
2023-05-11,0
2023-05-12,10
2023-05-13,53
2023-05-14,22
2023-05-15,0
2023-05-16,8
2023-05-17,1
2023-05-18,0
2023-05-19,15
2023-05-20,34
2023-05-21,19
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,1
2023-05-26,5
2023-05-27,1
2023-05-28,0
2023-05-29,14
2023-05-30,1
2023-05-31,1
2023-06-01,4
2023-06-02,2
2023-06-03,35
2023-06-04,48
2023-06-05,24
2023-06-06,29
2023-06-07,0
2023-06-08,3
2023-06-09,2
2023-06-10,16
2023-06-11,7
2023-06-12,0
2023-06-13,3
2023-06-14,0
2023-06-15,0
2023-06-16,3
2023-06-17,44
2023-06-18,32
2023-06-19,0
2023-06-20,1
