영업일자,매출수량
2023-01-01,82
2023-01-02,46
2023-01-03,31
2023-01-04,49
2023-01-05,76
2023-01-06,132
2023-01-07,197
2023-01-08,143
2023-01-09,115
2023-01-10,101
2023-01-11,88
2023-01-12,138
2023-01-13,85
2023-01-14,109
2023-01-15,75
2023-01-16,60
2023-01-17,78
2023-01-18,78
2023-01-19,88
2023-01-20,95
2023-01-21,75
2023-01-22,116
2023-01-23,162
2023-01-24,15
2023-01-25,24
2023-01-26,51
2023-01-27,56
2023-01-28,144
2023-01-29,98
2023-01-30,67
2023-01-31,68
2023-02-01,61
2023-02-02,61
2023-02-03,118
2023-02-04,212
2023-02-05,101
2023-02-06,103
2023-02-07,70
2023-02-08,80
2023-02-09,97
2023-02-10,125
2023-02-11,256
2023-02-12,369
2023-02-13,77
2023-02-14,107
2023-02-15,63
2023-02-16,60
2023-02-17,171
2023-02-18,322
2023-02-19,184
2023-02-20,73
2023-02-21,47
2023-02-22,58
2023-02-23,45
2023-02-24,64
2023-02-25,107
2023-02-26,94
2023-02-27,50
2023-02-28,78
2023-03-01,32
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,7
2023-04-02,8
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,1
2023-04-08,0
2023-04-09,1
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,3
2023-04-15,0
2023-04-16,1
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,3
2023-04-23,8
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,1
2023-04-28,7
2023-04-29,0
2023-04-30,5
2023-05-01,0
2023-05-02,0
2023-05-03,1
2023-05-04,2
2023-05-05,0
2023-05-06,0
2023-05-07,1
2023-05-08,0
2023-05-09,1
2023-05-10,0
2023-05-11,1
2023-05-12,0
2023-05-13,9
2023-05-14,5
2023-05-15,0
2023-05-16,1
2023-05-17,0
2023-05-18,0
2023-05-19,1
2023-05-20,10
2023-05-21,3
2023-05-22,0
2023-05-23,0
2023-05-24,2
2023-05-25,3
2023-05-26,3
2023-05-27,1
2023-05-28,1
2023-05-29,2
2023-05-30,0
2023-05-31,1
2023-06-01,0
2023-06-02,0
2023-06-03,10
2023-06-04,11
2023-06-05,4
2023-06-06,9
2023-06-07,1
2023-06-08,0
2023-06-09,1
2023-06-10,6
2023-06-11,1
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,1
2023-06-16,3
2023-06-17,11
2023-06-18,7
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,1
2023-06-24,6
2023-06-25,1
2023-06-26,2
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,1
2023-07-01,4
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,4
2023-07-07,4
2023-07-08,12
2023-07-09,1
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,1
2023-07-18,0
2023-07-19,3
2023-07-20,2
2023-07-21,0
2023-07-22,3
2023-07-23,0
2023-07-24,1
2023-07-25,1
2023-07-26,1
2023-07-27,1
2023-07-28,6
2023-07-29,5
2023-07-30,2
2023-07-31,1
2023-08-01,0
2023-08-02,2
2023-08-03,4
2023-08-04,3
2023-08-05,3
2023-08-06,0
2023-08-07,5
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,3
2023-08-13,8
2023-08-14,4
2023-08-15,5
2023-08-16,4
2023-08-17,0
2023-08-18,0
2023-08-19,5
2023-08-20,2
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,1
2023-08-25,1
2023-08-26,2
2023-08-27,1
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,10
2023-09-03,2
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,8
2023-09-10,2
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,0
2023-09-17,2
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,3
2023-09-24,2
2023-09-25,0
2023-09-26,0
2023-09-27,1
2023-09-28,6
2023-09-29,8
2023-09-30,2
2023-10-01,5
2023-10-02,8
2023-10-03,11
2023-10-04,0
2023-10-05,0
2023-10-06,1
2023-10-07,7
2023-10-08,6
2023-10-09,5
2023-10-10,1
2023-10-11,1
2023-10-12,1
2023-10-13,3
2023-10-14,4
2023-10-15,8
2023-10-16,0
2023-10-17,2
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,6
2023-10-22,5
2023-10-23,0
2023-10-24,0
2023-10-25,4
2023-10-26,3
2023-10-27,1
2023-10-28,4
