영업일자,매출수량
2023-01-01,141
2023-01-02,107
2023-01-03,104
2023-01-04,87
2023-01-05,125
2023-01-06,111
2023-01-07,219
2023-01-08,148
2023-01-09,101
2023-01-10,75
2023-01-11,86
2023-01-12,102
2023-01-13,36
2023-01-14,81
2023-01-15,148
2023-01-16,106
2023-01-17,93
2023-01-18,103
2023-01-19,91
2023-01-20,133
2023-01-21,128
2023-01-22,173
2023-01-23,199
2023-01-24,79
2023-01-25,71
2023-01-26,83
2023-01-27,137
2023-01-28,200
2023-01-29,171
2023-01-30,83
2023-01-31,66
2023-02-01,66
2023-02-02,87
2023-02-03,131
2023-02-04,193
2023-02-05,137
2023-02-06,73
2023-02-07,46
2023-02-08,68
2023-02-09,89
2023-02-10,122
2023-02-11,149
2023-02-12,148
2023-02-13,75
2023-02-14,57
2023-02-15,59
2023-02-16,81
2023-02-17,84
2023-02-18,113
2023-02-19,97
2023-02-20,65
2023-02-21,31
2023-02-22,41
2023-02-23,46
2023-02-24,57
2023-02-25,102
2023-02-26,79
2023-02-27,34
2023-02-28,54
2023-03-01,30
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,3
2023-04-02,7
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,7
2023-04-08,11
2023-04-09,14
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,1
2023-04-15,3
2023-04-16,10
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,8
2023-04-22,14
2023-04-23,12
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,7
2023-04-28,9
2023-04-29,3
2023-04-30,24
2023-05-01,9
2023-05-02,2
2023-05-03,0
2023-05-04,1
2023-05-05,1
2023-05-06,0
2023-05-07,17
2023-05-08,0
2023-05-09,1
2023-05-10,0
2023-05-11,1
2023-05-12,6
2023-05-13,15
2023-05-14,12
2023-05-15,0
2023-05-16,0
2023-05-17,1
2023-05-18,0
2023-05-19,1
2023-05-20,7
2023-05-21,14
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,0
2023-05-26,1
2023-05-27,1
2023-05-28,0
2023-05-29,4
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,0
2023-06-03,6
2023-06-04,9
2023-06-05,3
2023-06-06,18
2023-06-07,0
2023-06-08,2
2023-06-09,3
2023-06-10,1
2023-06-11,3
2023-06-12,0
2023-06-13,0
2023-06-14,1
2023-06-15,0
2023-06-16,0
2023-06-17,0
2023-06-18,0
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,3
2023-06-25,0
2023-06-26,0
2023-06-27,1
2023-06-28,0
2023-06-29,0
2023-06-30,1
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,1
2023-07-08,3
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,4
2023-07-17,0
2023-07-18,0
2023-07-19,1
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,1
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,4
2023-08-13,1
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,0
2023-08-27,1
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,1
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,1
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,2
2023-09-17,4
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,8
2023-09-24,10
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,9
2023-09-29,13
2023-09-30,27
2023-10-01,26
2023-10-02,20
2023-10-03,41
2023-10-04,1
2023-10-05,14
2023-10-06,9
2023-10-07,33
2023-10-08,48
2023-10-09,33
2023-10-10,3
2023-10-11,6
2023-10-12,1
2023-10-13,9
2023-10-14,14
2023-10-15,36
2023-10-16,0
2023-10-17,17
2023-10-18,38
2023-10-19,6
2023-10-20,15
2023-10-21,56
2023-10-22,70
2023-10-23,0
2023-10-24,12
2023-10-25,20
2023-10-26,18
2023-10-27,19
2023-10-28,39
2023-10-29,20
2023-10-30,0
2023-10-31,18
2023-11-01,15
2023-11-02,11
2023-11-03,8
2023-11-04,23
2023-11-05,6
2023-11-06,0
2023-11-07,25
2023-11-08,16
2023-11-09,21
2023-11-10,12
2023-11-11,22
2023-11-12,20
2023-11-13,0
2023-11-14,7
2023-11-15,8
2023-11-16,0
2023-11-17,2
2023-11-18,6
2023-11-19,11
2023-11-20,0
2023-11-21,3
2023-11-22,0
2023-11-23,1
2023-11-24,0
2023-11-25,0
2023-11-26,5
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,1
2023-12-07,3
2023-12-08,20
2023-12-09,67
2023-12-10,61
2023-12-11,17
2023-12-12,20
2023-12-13,14
2023-12-14,3
2023-12-15,3
2023-12-16,45
2023-12-17,14
2023-12-18,62
2023-12-19,63
2023-12-20,56
2023-12-21,60
2023-12-22,89
2023-12-23,109
2023-12-24,197
2023-12-25,137
2023-12-26,94
2023-12-27,101
2023-12-28,88
2023-12-29,105
2023-12-30,88
2023-12-31,170
2024-01-01,117
2024-01-02,75
2024-01-03,74
2024-01-04,49
2024-01-05,109
2024-01-06,148
2024-01-07,135
2024-01-08,67
2024-01-09,46
2024-01-10,81
2024-01-11,87
2024-01-12,164
2024-01-13,191
2024-01-14,115
2024-01-15,91
2024-01-16,80
2024-01-17,72
2024-01-18,79
2024-01-19,108
2024-01-20,189
2024-01-21,147
2024-01-22,70
2024-01-23,79
2024-01-24,53
2024-01-25,99
2024-01-26,140
2024-01-27,152
2024-01-28,170
2024-01-29,77
2024-01-30,72
2024-01-31,73
2024-02-01,76
2024-02-02,95
2024-02-03,122
2024-02-04,98
2024-02-05,20
2024-02-06,53
2024-02-07,78
2024-02-08,77
2024-02-09,107
2024-02-10,97
2024-02-11,179
2024-02-12,90
2024-02-13,56
2024-02-14,26
2024-02-15,20
2024-02-16,75
2024-02-17,76
2024-02-18,83
2024-02-19,5
2024-02-20,38
2024-02-21,4
2024-02-22,68
2024-02-23,63
2024-02-24,97
2024-02-25,91
2024-02-26,38
2024-02-27,25
2024-02-28,16
2024-02-29,40
2024-03-01,67
2024-03-02,29
2024-03-03,7
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,4
2024-03-31,9
2024-04-01,0
2024-04-02,4
2024-04-03,0
2024-04-04,6
2024-04-05,5
2024-04-06,10
2024-04-07,4
2024-04-08,0
2024-04-09,16
2024-04-10,10
2024-04-11,10
2024-04-12,3
2024-04-13,1
2024-04-14,2
2024-04-15,0
2024-04-16,1
2024-04-17,5
2024-04-18,16
2024-04-19,1
2024-04-20,5
2024-04-21,13
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,12
2024-04-28,4
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,7
2024-05-05,1
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,11
2024-05-11,6
2024-05-12,8
2024-05-13,0
2024-05-14,0
2024-05-15,18
2024-05-16,0
2024-05-17,2
2024-05-18,4
2024-05-19,6
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,6
2024-05-26,3
