영업일자,매출수량
2023-01-01,107
2023-01-02,60
2023-01-03,67
2023-01-04,98
2023-01-05,89
2023-01-06,172
2023-01-07,225
2023-01-08,225
2023-01-09,164
2023-01-10,147
2023-01-11,190
2023-01-12,199
2023-01-13,94
2023-01-14,187
2023-01-15,86
2023-01-16,60
2023-01-17,94
2023-01-18,95
2023-01-19,133
2023-01-20,61
2023-01-21,114
2023-01-22,146
2023-01-23,214
2023-01-24,20
2023-01-25,35
2023-01-26,62
2023-01-27,58
2023-01-28,202
2023-01-29,180
2023-01-30,104
2023-01-31,128
2023-02-01,81
2023-02-02,60
2023-02-03,149
2023-02-04,261
2023-02-05,131
2023-02-06,117
2023-02-07,110
2023-02-08,125
2023-02-09,148
2023-02-10,155
2023-02-11,380
2023-02-12,214
2023-02-13,104
2023-02-14,93
2023-02-15,85
2023-02-16,95
2023-02-17,197
2023-02-18,277
2023-02-19,160
2023-02-20,63
2023-02-21,72
2023-02-22,87
2023-02-23,57
2023-02-24,109
2023-02-25,195
2023-02-26,112
2023-02-27,87
2023-02-28,71
2023-03-01,46
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,-1
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,160
2023-04-02,110
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,6
2023-04-08,19
2023-04-09,42
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,17
2023-04-15,6
2023-04-16,9
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,9
2023-04-22,75
2023-04-23,50
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,11
2023-04-28,41
2023-04-29,0
2023-04-30,69
2023-05-01,20
2023-05-02,5
2023-05-03,11
2023-05-04,17
2023-05-05,2
2023-05-06,0
2023-05-07,8
2023-05-08,0
2023-05-09,14
2023-05-10,6
2023-05-11,13
2023-05-12,29
2023-05-13,73
2023-05-14,93
2023-05-15,0
2023-05-16,22
2023-05-17,1
2023-05-18,12
2023-05-19,25
2023-05-20,66
2023-05-21,38
2023-05-22,0
2023-05-23,21
2023-05-24,22
2023-05-25,18
2023-05-26,11
2023-05-27,2
2023-05-28,0
2023-05-29,22
2023-05-30,11
2023-05-31,8
2023-06-01,4
2023-06-02,11
2023-06-03,101
2023-06-04,101
2023-06-05,30
2023-06-06,89
2023-06-07,4
2023-06-08,11
2023-06-09,5
2023-06-10,42
2023-06-11,33
2023-06-12,0
2023-06-13,3
2023-06-14,15
2023-06-15,21
2023-06-16,39
2023-06-17,48
2023-06-18,52
2023-06-19,0
2023-06-20,2
2023-06-21,2
2023-06-22,19
2023-06-23,6
2023-06-24,30
2023-06-25,29
2023-06-26,0
2023-06-27,2
2023-06-28,1
2023-06-29,1
2023-06-30,10
2023-07-01,23
2023-07-02,20
2023-07-03,0
2023-07-04,1
2023-07-05,1
2023-07-06,6
2023-07-07,6
2023-07-08,29
2023-07-09,10
2023-07-10,0
2023-07-11,0
2023-07-12,2
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,8
2023-07-17,1
2023-07-18,0
2023-07-19,6
2023-07-20,8
2023-07-21,2
2023-07-22,20
2023-07-23,0
2023-07-24,17
2023-07-25,16
2023-07-26,9
2023-07-27,7
2023-07-28,7
2023-07-29,15
2023-07-30,18
2023-07-31,15
2023-08-01,9
2023-08-02,10
2023-08-03,15
2023-08-04,9
2023-08-05,16
2023-08-06,13
2023-08-07,8
2023-08-08,6
2023-08-09,12
2023-08-10,0
2023-08-11,0
2023-08-12,11
2023-08-13,40
2023-08-14,19
2023-08-15,21
2023-08-16,11
2023-08-17,3
2023-08-18,2
2023-08-19,20
2023-08-20,16
2023-08-21,3
2023-08-22,4
2023-08-23,0
2023-08-24,2
2023-08-25,14
2023-08-26,21
2023-08-27,17
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,35
2023-09-03,25
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,31
2023-09-10,33
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,39
2023-09-17,32
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,49
2023-09-24,56
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,44
2023-09-29,94
2023-09-30,36
2023-10-01,84
2023-10-02,95
2023-10-03,51
2023-10-04,11
2023-10-05,12
2023-10-06,20
2023-10-07,49
2023-10-08,63
2023-10-09,99
2023-10-10,35
2023-10-11,17
2023-10-12,19
2023-10-13,27
2023-10-14,15
2023-10-15,47
2023-10-16,0
2023-10-17,34
2023-10-18,39
2023-10-19,8
2023-10-20,12
2023-10-21,44
2023-10-22,81
2023-10-23,0
2023-10-24,14
2023-10-25,65
2023-10-26,37
2023-10-27,23
2023-10-28,65
2023-10-29,87
2023-10-30,0
2023-10-31,43
2023-11-01,10
2023-11-02,67
2023-11-03,45
2023-11-04,51
2023-11-05,27
2023-11-06,0
2023-11-07,6
2023-11-08,20
2023-11-09,14
2023-11-10,8
2023-11-11,4
2023-11-12,5
2023-11-13,0
2023-11-14,0
2023-11-15,4
2023-11-16,0
2023-11-17,0
2023-11-18,2
2023-11-19,8
2023-11-20,0
2023-11-21,0
2023-11-22,2
2023-11-23,4
2023-11-24,0
2023-11-25,4
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,2
2023-12-07,9
2023-12-08,97
2023-12-09,234
2023-12-10,174
2023-12-11,5
2023-12-12,29
2023-12-13,38
2023-12-14,8
2023-12-15,7
2023-12-16,21
2023-12-17,10
2023-12-18,36
2023-12-19,33
2023-12-20,16
2023-12-21,25
2023-12-22,27
2023-12-23,80
2023-12-24,100
2023-12-25,59
2023-12-26,88
2023-12-27,109
2023-12-28,79
2023-12-29,133
2023-12-30,82
2023-12-31,114
2024-01-01,124
2024-01-02,60
2024-01-03,58
2024-01-04,77
2024-01-05,122
2024-01-06,267
2024-01-07,66
2024-01-08,56
2024-01-09,50
2024-01-10,64
2024-01-11,79
2024-01-12,174
2024-01-13,268
2024-01-14,57
2024-01-15,52
2024-01-16,65
2024-01-17,51
2024-01-18,139
2024-01-19,185
2024-01-20,144
2024-01-21,118
2024-01-22,12
2024-01-23,19
2024-01-24,23
2024-01-25,72
2024-01-26,153
2024-01-27,267
2024-01-28,115
2024-01-29,84
2024-01-30,105
2024-01-31,117
2024-02-01,96
2024-02-02,153
2024-02-03,282
2024-02-04,207
2024-02-05,22
2024-02-06,38
2024-02-07,62
2024-02-08,107
2024-02-09,113
2024-02-10,79
2024-02-11,125
2024-02-12,181
2024-02-13,81
2024-02-14,63
2024-02-15,15
2024-02-16,93
2024-02-17,318
2024-02-18,84
2024-02-19,14
2024-02-20,26
2024-02-21,2
2024-02-22,48
2024-02-23,116
2024-02-24,158
2024-02-25,75
2024-02-26,67
2024-02-27,36
2024-02-28,36
2024-02-29,38
2024-03-01,39
2024-03-02,24
2024-03-03,20
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,12
2024-03-31,24
2024-04-01,0
2024-04-02,22
2024-04-03,2
2024-04-04,17
2024-04-05,15
2024-04-06,40
2024-04-07,65
2024-04-08,0
2024-04-09,29
2024-04-10,21
2024-04-11,38
2024-04-12,27
2024-04-13,75
2024-04-14,73
2024-04-15,0
2024-04-16,5
2024-04-17,14
2024-04-18,25
2024-04-19,13
2024-04-20,1
2024-04-21,14
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,80
2024-04-28,69
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,98
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,2
2024-05-11,22
2024-05-12,51
2024-05-13,0
2024-05-14,0
2024-05-15,5
2024-05-16,0
2024-05-17,0
2024-05-18,54
2024-05-19,57
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,46
2024-05-26,24
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,0
2024-06-01,21
2024-06-02,48
2024-06-03,0
2024-06-04,0
2024-06-05,0
2024-06-06,66
2024-06-07,0
2024-06-08,17
2024-06-09,49
2024-06-10,0
2024-06-11,0
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,22
