영업일자,매출수량
2023-01-01,228
2023-01-02,133
2023-01-03,152
2023-01-04,144
2023-01-05,195
2023-01-06,210
2023-01-07,328
2023-01-08,296
2023-01-09,178
2023-01-10,188
2023-01-11,198
2023-01-12,216
2023-01-13,88
2023-01-14,200
2023-01-15,288
2023-01-16,160
2023-01-17,204
2023-01-18,167
2023-01-19,195
2023-01-20,221
2023-01-21,227
2023-01-22,324
2023-01-23,412
2023-01-24,76
2023-01-25,74
2023-01-26,177
2023-01-27,216
2023-01-28,414
2023-01-29,332
2023-01-30,186
2023-01-31,146
2023-02-01,111
2023-02-02,149
2023-02-03,188
2023-02-04,366
2023-02-05,277
2023-02-06,192
2023-02-07,143
2023-02-08,140
2023-02-09,142
2023-02-10,271
2023-02-11,364
2023-02-12,355
2023-02-13,149
2023-02-14,159
2023-02-15,112
2023-02-16,133
2023-02-17,228
2023-02-18,279
2023-02-19,195
2023-02-20,97
2023-02-21,83
2023-02-22,87
2023-02-23,95
2023-02-24,119
2023-02-25,124
2023-02-26,118
2023-02-27,58
2023-02-28,27
2023-03-01,21
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,-2
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,34
2023-04-02,36
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,17
2023-04-08,38
2023-04-09,29
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,3
2023-04-15,1
2023-04-16,21
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,1
2023-04-22,43
2023-04-23,68
2023-04-24,0
2023-04-25,0
2023-04-26,1
2023-04-27,0
2023-04-28,6
2023-04-29,3
2023-04-30,71
2023-05-01,31
2023-05-02,4
2023-05-03,1
2023-05-04,4
2023-05-05,1
2023-05-06,0
2023-05-07,19
2023-05-08,0
2023-05-09,3
2023-05-10,1
2023-05-11,1
2023-05-12,11
2023-05-13,41
2023-05-14,37
2023-05-15,0
2023-05-16,0
2023-05-17,2
2023-05-18,0
2023-05-19,8
2023-05-20,30
2023-05-21,47
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,3
2023-05-26,3
2023-05-27,3
2023-05-28,4
2023-05-29,6
2023-05-30,1
2023-05-31,1
2023-06-01,0
2023-06-02,3
2023-06-03,32
2023-06-04,44
2023-06-05,19
2023-06-06,35
2023-06-07,1
2023-06-08,0
2023-06-09,0
2023-06-10,11
2023-06-11,8
2023-06-12,0
2023-06-13,0
2023-06-14,0
2023-06-15,1
2023-06-16,1
2023-06-17,15
2023-06-18,11
2023-06-19,0
2023-06-20,2
2023-06-21,0
2023-06-22,3
2023-06-23,8
2023-06-24,13
2023-06-25,6
2023-06-26,0
2023-06-27,1
2023-06-28,1
2023-06-29,1
2023-06-30,0
2023-07-01,6
2023-07-02,4
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,1
2023-07-08,7
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,1
2023-07-16,0
2023-07-17,1
2023-07-18,0
2023-07-19,1
2023-07-20,0
2023-07-21,0
2023-07-22,7
2023-07-23,0
2023-07-24,1
2023-07-25,0
2023-07-26,1
2023-07-27,0
2023-07-28,1
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,2
2023-08-02,0
2023-08-03,0
2023-08-04,5
2023-08-05,6
2023-08-06,1
2023-08-07,1
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,5
2023-08-13,3
2023-08-14,0
2023-08-15,2
2023-08-16,1
2023-08-17,1
2023-08-18,0
2023-08-19,1
2023-08-20,1
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,5
2023-08-26,3
2023-08-27,6
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,8
2023-09-03,6
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,9
2023-09-10,3
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,4
2023-09-17,7
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,27
2023-09-24,27
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,17
2023-09-29,22
2023-09-30,42
2023-10-01,51
2023-10-02,47
2023-10-03,47
2023-10-04,5
2023-10-05,0
2023-10-06,2
2023-10-07,60
2023-10-08,78
2023-10-09,61
2023-10-10,6
2023-10-11,6
2023-10-12,2
2023-10-13,18
2023-10-14,17
2023-10-15,45
2023-10-16,0
2023-10-17,9
2023-10-18,23
2023-10-19,3
2023-10-20,23
2023-10-21,77
2023-10-22,99
2023-10-23,0
2023-10-24,23
2023-10-25,23
2023-10-26,26
2023-10-27,25
2023-10-28,54
2023-10-29,45
2023-10-30,0
2023-10-31,15
2023-11-01,35
2023-11-02,32
2023-11-03,30
2023-11-04,50
2023-11-05,36
2023-11-06,0
2023-11-07,17
2023-11-08,20
2023-11-09,10
2023-11-10,25
2023-11-11,25
2023-11-12,17
2023-11-13,0
2023-11-14,3
2023-11-15,11
2023-11-16,0
2023-11-17,0
2023-11-18,5
2023-11-19,8
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,3
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,7
2023-12-08,101
2023-12-09,209
2023-12-10,166
2023-12-11,9
2023-12-12,38
2023-12-13,61
2023-12-14,10
2023-12-15,7
2023-12-16,57
2023-12-17,43
2023-12-18,112
2023-12-19,97
2023-12-20,99
2023-12-21,81
2023-12-22,135
2023-12-23,206
2023-12-24,386
2023-12-25,240
2023-12-26,216
2023-12-27,194
2023-12-28,228
2023-12-29,260
2023-12-30,299
2023-12-31,353
2024-01-01,303
2024-01-02,211
2024-01-03,132
2024-01-04,139
2024-01-05,198
2024-01-06,451
2024-01-07,213
2024-01-08,157
2024-01-09,133
2024-01-10,141
2024-01-11,149
2024-01-12,263
2024-01-13,627
2024-01-14,175
2024-01-15,167
2024-01-16,177
2024-01-17,150
2024-01-18,164
2024-01-19,295
2024-01-20,354
2024-01-21,346
2024-01-22,132
2024-01-23,93
2024-01-24,95
2024-01-25,132
2024-01-26,263
2024-01-27,561
2024-01-28,367
2024-01-29,185
2024-01-30,202
2024-01-31,143
2024-02-01,198
2024-02-02,258
2024-02-03,429
2024-02-04,327
2024-02-05,102
2024-02-06,121
2024-02-07,167
2024-02-08,237
2024-02-09,249
2024-02-10,256
2024-02-11,387
2024-02-12,327
2024-02-13,135
2024-02-14,102
2024-02-15,59
2024-02-16,233
2024-02-17,345
2024-02-18,171
2024-02-19,48
2024-02-20,52
2024-02-21,25
2024-02-22,131
2024-02-23,226
2024-02-24,248
2024-02-25,198
2024-02-26,89
2024-02-27,77
2024-02-28,56
2024-02-29,82
2024-03-01,118
2024-03-02,80
2024-03-03,26
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,10
2024-03-31,16
2024-04-01,0
2024-04-02,7
2024-04-03,0
2024-04-04,8
2024-04-05,19
2024-04-06,33
2024-04-07,23
2024-04-08,0
2024-04-09,9
2024-04-10,22
2024-04-11,9
2024-04-12,9
2024-04-13,15
2024-04-14,11
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,3
2024-04-19,18
2024-04-20,2
2024-04-21,12
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,19
2024-04-28,27
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,23
2024-05-05,1
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,4
2024-05-12,29
2024-05-13,0
2024-05-14,0
2024-05-15,7
2024-05-16,0
2024-05-17,0
2024-05-18,14
2024-05-19,9
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,9
2024-05-26,4
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,0
2024-06-01,13
2024-06-02,14
2024-06-03,0
2024-06-04,0
2024-06-05,0
2024-06-06,24
2024-06-07,0
2024-06-08,1
2024-06-09,14
2024-06-10,0
2024-06-11,0
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,7
