영업일자,매출수량
2023-01-01,164
2023-01-02,108
2023-01-03,94
2023-01-04,125
2023-01-05,152
2023-01-06,285
2023-01-07,460
2023-01-08,299
2023-01-09,233
2023-01-10,234
2023-01-11,240
2023-01-12,209
2023-01-13,144
2023-01-14,253
2023-01-15,192
2023-01-16,168
2023-01-17,200
2023-01-18,185
2023-01-19,244
2023-01-20,211
2023-01-21,257
2023-01-22,262
2023-01-23,427
2023-01-24,45
2023-01-25,62
2023-01-26,152
2023-01-27,176
2023-01-28,390
2023-01-29,258
2023-01-30,170
2023-01-31,193
2023-02-01,147
2023-02-02,155
2023-02-03,244
2023-02-04,511
2023-02-05,287
2023-02-06,213
2023-02-07,185
2023-02-08,155
2023-02-09,248
2023-02-10,251
2023-02-11,518
2023-02-12,107
2023-02-13,192
2023-02-14,182
2023-02-15,135
2023-02-16,170
2023-02-17,366
2023-02-18,404
2023-02-19,20
2023-02-20,0
2023-02-21,108
2023-02-22,128
2023-02-23,84
2023-02-24,147
2023-02-25,232
2023-02-26,170
2023-02-27,95
2023-02-28,118
2023-03-01,48
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,-4
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,17
2023-04-02,3
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,1
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,1
2023-04-15,0
2023-04-16,3
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,10
2023-04-23,9
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,8
2023-04-29,0
2023-04-30,21
2023-05-01,3
2023-05-02,1
2023-05-03,1
2023-05-04,3
2023-05-05,0
2023-05-06,3
2023-05-07,2
2023-05-08,0
2023-05-09,1
2023-05-10,1
2023-05-11,1
2023-05-12,2
2023-05-13,15
2023-05-14,8
2023-05-15,0
2023-05-16,2
2023-05-17,0
2023-05-18,0
2023-05-19,2
2023-05-20,13
2023-05-21,8
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,4
2023-05-26,4
2023-05-27,0
2023-05-28,0
2023-05-29,4
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,2
2023-06-03,9
2023-06-04,10
2023-06-05,12
2023-06-06,10
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-10,2
2023-06-11,3
2023-06-12,0
2023-06-13,0
2023-06-14,1
2023-06-15,2
2023-06-16,2
2023-06-17,17
2023-06-18,6
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,1
2023-06-24,5
2023-06-25,3
2023-06-26,2
2023-06-27,0
2023-06-28,1
2023-06-29,0
2023-06-30,2
2023-07-01,9
2023-07-02,1
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,12
2023-07-07,1
2023-07-08,10
2023-07-09,1
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,1
2023-07-18,0
2023-07-19,5
2023-07-20,4
2023-07-21,1
2023-07-22,2
2023-07-23,0
2023-07-24,5
2023-07-25,4
2023-07-26,2
2023-07-27,4
2023-07-28,2
2023-07-29,5
2023-07-30,6
2023-07-31,4
2023-08-01,8
2023-08-02,7
2023-08-03,2
2023-08-04,3
2023-08-05,6
2023-08-06,6
2023-08-07,9
2023-08-08,0
2023-08-09,2
2023-08-10,0
2023-08-11,0
