영업일자,매출수량
2023-01-01,154
2023-01-02,61
2023-01-03,60
2023-01-04,72
2023-01-05,78
2023-01-06,113
2023-01-07,314
2023-01-08,162
2023-01-09,90
2023-01-10,122
2023-01-11,91
2023-01-12,107
2023-01-13,42
2023-01-14,94
2023-01-15,118
2023-01-16,92
2023-01-17,114
2023-01-18,74
2023-01-19,129
2023-01-20,144
2023-01-21,168
2023-01-22,172
2023-01-23,380
2023-01-24,57
2023-01-25,44
2023-01-26,93
2023-01-27,135
2023-01-28,256
2023-01-29,155
2023-01-30,78
2023-01-31,59
2023-02-01,82
2023-02-02,85
2023-02-03,105
2023-02-04,285
2023-02-05,253
2023-02-06,92
2023-02-07,79
2023-02-08,83
2023-02-09,94
2023-02-10,125
2023-02-11,275
2023-02-12,208
2023-02-13,96
2023-02-14,100
2023-02-15,52
2023-02-16,78
2023-02-17,156
2023-02-18,156
2023-02-19,89
2023-02-20,61
2023-02-21,54
2023-02-22,52
2023-02-23,70
2023-02-24,96
2023-02-25,149
2023-02-26,145
2023-02-27,46
2023-02-28,79
2023-03-01,44
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,0
2023-04-01,20
2023-04-02,18
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,2
2023-04-08,6
2023-04-09,11
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,2
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,16
2023-04-23,22
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,3
2023-04-29,0
2023-04-30,29
2023-05-01,5
2023-05-02,4
2023-05-03,0
2023-05-04,5
2023-05-05,0
2023-05-06,0
2023-05-07,10
2023-05-08,0
2023-05-09,2
2023-05-10,0
2023-05-11,0
2023-05-12,1
2023-05-13,14
2023-05-14,21
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,3
2023-05-20,18
2023-05-21,17
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,1
2023-05-26,1
2023-05-27,2
2023-05-28,1
2023-05-29,3
2023-05-30,0
2023-05-31,1
2023-06-01,2
2023-06-02,1
2023-06-03,11
2023-06-04,17
2023-06-05,10
2023-06-06,28
2023-06-07,0
2023-06-08,0
2023-06-09,3
2023-06-10,4
2023-06-11,1
2023-06-12,0
2023-06-13,1
2023-06-14,0
2023-06-15,1
2023-06-16,1
2023-06-17,6
2023-06-18,7
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,1
2023-06-24,10
2023-06-25,3
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,0
2023-06-30,0
2023-07-01,2
2023-07-02,2
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,1
2023-07-08,6
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,1
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,2
2023-07-21,0
2023-07-22,3
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,2
2023-07-30,1
2023-07-31,0
2023-08-01,2
2023-08-02,0
2023-08-03,0
2023-08-04,1
2023-08-05,0
2023-08-06,1
2023-08-07,1
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,5
2023-08-13,0
2023-08-14,2
2023-08-15,1
2023-08-16,2
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,2
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,1
2023-08-25,1
2023-08-26,2
2023-08-27,5
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,7
2023-09-03,2
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,3
2023-09-10,6
2023-09-11,0
2023-09-12,0
2023-09-13,0
2023-09-14,0
2023-09-15,0
2023-09-16,1
2023-09-17,2
2023-09-18,0
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,16
2023-09-24,6
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,13
2023-09-29,9
2023-09-30,18
2023-10-01,16
2023-10-02,23
2023-10-03,27
2023-10-04,1
2023-10-05,0
2023-10-06,0
2023-10-07,20
2023-10-08,37
2023-10-09,19
2023-10-10,1
2023-10-11,3
2023-10-12,0
2023-10-13,10
2023-10-14,6
2023-10-15,28
2023-10-16,0
2023-10-17,9
2023-10-18,6
2023-10-19,2
2023-10-20,4
2023-10-21,27
2023-10-22,7
2023-10-23,0
2023-10-24,5
2023-10-25,3
2023-10-26,7
2023-10-27,7
2023-10-28,21
2023-10-29,23
2023-10-30,0
2023-10-31,7
2023-11-01,11
2023-11-02,12
2023-11-03,15
2023-11-04,15
2023-11-05,14
2023-11-06,0
2023-11-07,7
2023-11-08,2
2023-11-09,0
2023-11-10,4
2023-11-11,8
2023-11-12,8
2023-11-13,0
2023-11-14,0
2023-11-15,0
2023-11-16,0
2023-11-17,0
2023-11-18,1
2023-11-19,8
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,1
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,1
2023-12-08,25
2023-12-09,116
2023-12-10,79
2023-12-11,4
2023-12-12,15
2023-12-13,26
2023-12-14,0
2023-12-15,1
2023-12-16,22
2023-12-17,17
2023-12-18,47
2023-12-19,37
2023-12-20,23
2023-12-21,26
2023-12-22,41
2023-12-23,102
2023-12-24,188
2023-12-25,103
2023-12-26,83
2023-12-27,76
2023-12-28,86
2023-12-29,125
2023-12-30,111
2023-12-31,150
2024-01-01,121
2024-01-02,69
2024-01-03,57
2024-01-04,65
2024-01-05,75
2024-01-06,200
2024-01-07,97
2024-01-08,61
2024-01-09,64
2024-01-10,78
2024-01-11,82
2024-01-12,101
2024-01-13,269
2024-01-14,63
2024-01-15,67
2024-01-16,75
2024-01-17,56
2024-01-18,80
2024-01-19,129
2024-01-20,164
2024-01-21,150
2024-01-22,61
2024-01-23,24
2024-01-24,29
2024-01-25,39
2024-01-26,88
2024-01-27,235
2024-01-28,144
2024-01-29,64
2024-01-30,76
2024-01-31,83
2024-02-01,67
2024-02-02,95
2024-02-03,174
2024-02-04,140
2024-02-05,34
2024-02-06,67
2024-02-07,61
2024-02-08,91
2024-02-09,88
2024-02-10,84
2024-02-11,187
2024-02-12,154
2024-02-13,60
2024-02-14,42
2024-02-15,30
2024-02-16,101
2024-02-17,136
2024-02-18,67
2024-02-19,14
2024-02-20,23
2024-02-21,11
2024-02-22,53
2024-02-23,83
2024-02-24,95
2024-02-25,85
2024-02-26,31
2024-02-27,40
2024-02-28,27
2024-02-29,39
2024-03-01,38
2024-03-02,27
2024-03-03,9
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,4
2024-03-31,10
2024-04-01,0
2024-04-02,3
2024-04-03,1
2024-04-04,4
2024-04-05,6
2024-04-06,17
2024-04-07,10
2024-04-08,0
2024-04-09,6
2024-04-10,8
2024-04-11,3
2024-04-12,4
2024-04-13,2
2024-04-14,6
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,1
2024-04-19,0
2024-04-20,0
2024-04-21,7
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,9
2024-04-28,10
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,12
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,7
2024-05-12,6
2024-05-13,0
2024-05-14,0
2024-05-15,7
2024-05-16,0
2024-05-17,0
2024-05-18,7
2024-05-19,6
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,3
2024-05-26,1
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,0
2024-06-01,6
2024-06-02,5
2024-06-03,0
2024-06-04,0
2024-06-05,0
2024-06-06,3
2024-06-07,0
2024-06-08,2
2024-06-09,6
2024-06-10,0
2024-06-11,0
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,6
