영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,86
2023-04-01,84
2023-04-02,103
2023-04-03,0
2023-04-04,76
2023-04-05,42
2023-04-06,35
2023-04-07,91
2023-04-08,91
2023-04-09,108
2023-04-10,0
2023-04-11,29
2023-04-12,85
2023-04-13,87
2023-04-14,57
2023-04-15,47
2023-04-16,76
2023-04-17,0
2023-04-18,18
2023-04-19,51
2023-04-20,15
2023-04-21,86
2023-04-22,93
2023-04-23,148
2023-04-24,0
2023-04-25,27
2023-04-26,22
2023-04-27,56
2023-04-28,32
2023-04-29,43
2023-04-30,82
2023-05-01,51
2023-05-02,28
2023-05-03,46
2023-05-04,25
2023-05-05,18
2023-05-06,22
2023-05-07,48
2023-05-08,0
2023-05-09,16
2023-05-10,31
2023-05-11,18
2023-05-12,25
2023-05-13,76
2023-05-14,46
2023-05-15,0
2023-05-16,26
2023-05-17,20
2023-05-18,18
2023-05-19,56
2023-05-20,62
2023-05-21,60
2023-05-22,0
2023-05-23,17
2023-05-24,8
2023-05-25,8
2023-05-26,11
2023-05-27,57
2023-05-28,30
2023-05-29,16
2023-05-30,12
2023-05-31,3
2023-06-01,16
2023-06-02,29
2023-06-03,52
2023-06-04,34
2023-06-05,40
2023-06-06,67
2023-06-07,21
2023-06-08,24
2023-06-09,43
2023-06-10,67
2023-06-11,47
2023-06-12,0
2023-06-13,26
2023-06-14,27
2023-06-15,24
2023-06-16,42
2023-06-17,21
2023-06-18,28
2023-06-19,0
2023-06-20,5
2023-06-21,19
2023-06-22,33
2023-06-23,38
2023-06-24,33
2023-06-25,43
2023-06-26,0
2023-06-27,7
2023-06-28,7
2023-06-29,7
2023-06-30,24
2023-07-01,31
2023-07-02,15
2023-07-03,0
2023-07-04,1
2023-07-05,6
2023-07-06,4
2023-07-07,17
2023-07-08,34
2023-07-09,18
2023-07-10,0
2023-07-11,5
2023-07-12,1
2023-07-13,8
2023-07-14,22
2023-07-15,24
2023-07-16,17
2023-07-17,0
2023-07-18,10
2023-07-19,1
2023-07-20,0
2023-07-21,6
2023-07-22,23
2023-07-23,13
2023-07-24,0
2023-07-25,14
2023-07-26,12
2023-07-27,6
2023-07-28,7
2023-07-29,28
2023-07-30,18
2023-07-31,0
2023-08-01,6
2023-08-02,8
2023-08-03,10
2023-08-04,6
2023-08-05,15
2023-08-06,7
2023-08-07,0
2023-08-08,8
2023-08-09,3
2023-08-10,0
2023-08-11,11
2023-08-12,24
2023-08-13,22
2023-08-14,15
2023-08-15,16
2023-08-16,6
2023-08-17,2
2023-08-18,4
2023-08-19,22
2023-08-20,12
2023-08-21,0
2023-08-22,3
2023-08-23,0
2023-08-24,4
2023-08-25,14
2023-08-26,31
2023-08-27,18
2023-08-28,0
2023-08-29,8
2023-08-30,7
2023-08-31,11
2023-09-01,18
2023-09-02,72
2023-09-03,23
2023-09-04,0
2023-09-05,3
2023-09-06,3
2023-09-07,8
2023-09-08,56
2023-09-09,44
2023-09-10,42
2023-09-11,0
2023-09-12,18
2023-09-13,6
2023-09-14,19
2023-09-15,32
2023-09-16,56
2023-09-17,41
2023-09-18,0
2023-09-19,19
2023-09-20,9
2023-09-21,34
2023-09-22,41
2023-09-23,93
2023-09-24,79
2023-09-25,0
2023-09-26,16
2023-09-27,8
2023-09-28,103
2023-09-29,126
2023-09-30,127
2023-10-01,133
2023-10-02,101
2023-10-03,88
2023-10-04,33
2023-10-05,29
2023-10-06,42
2023-10-07,143
2023-10-08,158
2023-10-09,120
2023-10-10,72
2023-10-11,84
2023-10-12,92
2023-10-13,112
2023-10-14,106
2023-10-15,147
2023-10-16,0
2023-10-17,113
2023-10-18,158
2023-10-19,113
2023-10-20,136
2023-10-21,113
2023-10-22,126
2023-10-23,123
2023-10-24,138
2023-10-25,115
2023-10-26,109
2023-10-27,122
2023-10-28,127
2023-10-29,135
2023-10-30,110
2023-10-31,140
2023-11-01,122
2023-11-02,151
2023-11-03,144
2023-11-04,193
2023-11-05,149
2023-11-06,84
2023-11-07,134
2023-11-08,137
2023-11-09,160
2023-11-10,97
2023-11-11,105
2023-11-12,104
2023-11-13,66
2023-11-14,94
2023-11-15,69
2023-11-16,34
2023-11-17,26
2023-11-18,57
2023-11-19,54
2023-11-20,0
2023-11-21,40
2023-11-22,14
2023-11-23,23
2023-11-24,8
2023-11-25,25
2023-11-26,39
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,49
2024-03-30,96
2024-03-31,100
2024-04-01,0
2024-04-02,84
2024-04-03,50
2024-04-04,105
2024-04-05,92
2024-04-06,112
2024-04-07,127
2024-04-08,0
2024-04-09,134
2024-04-10,99
2024-04-11,113
2024-04-12,108
2024-04-13,135
2024-04-14,129
2024-04-15,0
2024-04-16,97
2024-04-17,98
2024-04-18,109
2024-04-19,121
2024-04-20,105
2024-04-21,132
2024-04-22,0
2024-04-23,72
2024-04-24,47
2024-04-25,45
2024-04-26,91
2024-04-27,132
2024-04-28,104
2024-04-29,0
2024-04-30,44
2024-05-01,60
2024-05-02,16
2024-05-03,62
2024-05-04,111
2024-05-05,50
2024-05-06,15
2024-05-07,13
2024-05-08,17
2024-05-09,31
2024-05-10,33
2024-05-11,110
2024-05-12,89
2024-05-13,0
2024-05-14,26
2024-05-15,49
2024-05-16,55
2024-05-17,49
2024-05-18,77
2024-05-19,57
2024-05-20,0
2024-05-21,38
2024-05-22,35
2024-05-23,27
2024-05-24,40
2024-05-25,77
2024-05-26,56
2024-05-27,0
2024-05-28,13
2024-05-29,13
2024-05-30,19
2024-05-31,40
2024-06-01,70
2024-06-02,58
2024-06-03,0
2024-06-04,11
2024-06-05,20
2024-06-06,67
2024-06-07,58
2024-06-08,55
2024-06-09,53
2024-06-10,0
2024-06-11,25
2024-06-12,23
2024-06-13,21
2024-06-14,26
2024-06-15,47
