영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,93
2023-04-01,129
2023-04-02,121
2023-04-03,0
2023-04-04,89
2023-04-05,2
2023-04-06,10
2023-04-07,66
2023-04-08,92
2023-04-09,78
2023-04-10,0
2023-04-11,21
2023-04-12,49
2023-04-13,58
2023-04-14,84
2023-04-15,35
2023-04-16,66
2023-04-17,0
2023-04-18,7
2023-04-19,27
2023-04-20,26
2023-04-21,34
2023-04-22,67
2023-04-23,51
2023-04-24,0
2023-04-25,6
2023-04-26,8
2023-04-27,23
2023-04-28,26
2023-04-29,21
2023-04-30,59
2023-05-01,47
2023-05-02,26
2023-05-03,24
2023-05-04,13
2023-05-05,13
2023-05-06,12
2023-05-07,33
2023-05-08,0
2023-05-09,22
2023-05-10,15
2023-05-11,19
2023-05-12,20
2023-05-13,64
2023-05-14,41
2023-05-15,0
2023-05-16,61
2023-05-17,14
2023-05-18,25
2023-05-19,27
2023-05-20,51
2023-05-21,33
2023-05-22,0
2023-05-23,25
2023-05-24,9
2023-05-25,6
2023-05-26,12
2023-05-27,23
2023-05-28,21
2023-05-29,20
2023-05-30,13
2023-05-31,12
2023-06-01,9
2023-06-02,12
2023-06-03,35
2023-06-04,38
2023-06-05,21
2023-06-06,23
2023-06-07,7
2023-06-08,8
2023-06-09,12
2023-06-10,26
2023-06-11,27
2023-06-12,0
2023-06-13,14
2023-06-14,12
2023-06-15,19
2023-06-16,14
2023-06-17,63
2023-06-18,26
2023-06-19,0
2023-06-20,17
2023-06-21,6
2023-06-22,12
2023-06-23,16
2023-06-24,32
2023-06-25,43
2023-06-26,0
2023-06-27,3
2023-06-28,6
2023-06-29,4
2023-06-30,6
2023-07-01,32
2023-07-02,9
2023-07-03,0
2023-07-04,2
2023-07-05,5
2023-07-06,13
2023-07-07,7
2023-07-08,30
2023-07-09,7
2023-07-10,0
2023-07-11,3
2023-07-12,1
2023-07-13,1
2023-07-14,0
2023-07-15,9
2023-07-16,8
2023-07-17,0
2023-07-18,2
2023-07-19,3
2023-07-20,5
2023-07-21,4
2023-07-22,6
2023-07-23,4
2023-07-24,0
2023-07-25,9
2023-07-26,1
2023-07-27,6
2023-07-28,5
2023-07-29,14
2023-07-30,13
2023-07-31,0
2023-08-01,9
2023-08-02,1
2023-08-03,4
2023-08-04,12
2023-08-05,4
2023-08-06,3
2023-08-07,0
2023-08-08,4
2023-08-09,3
2023-08-10,0
2023-08-11,2
2023-08-12,10
2023-08-13,8
2023-08-14,9
2023-08-15,7
2023-08-16,0
2023-08-17,2
2023-08-18,3
2023-08-19,6
2023-08-20,6
2023-08-21,0
2023-08-22,5
2023-08-23,1
2023-08-24,6
2023-08-25,3
2023-08-26,25
2023-08-27,7
2023-08-28,0
2023-08-29,13
2023-08-30,1
2023-08-31,3
2023-09-01,18
2023-09-02,32
2023-09-03,17
2023-09-04,0
2023-09-05,8
2023-09-06,7
2023-09-07,11
2023-09-08,8
2023-09-09,36
2023-09-10,28
2023-09-11,0
2023-09-12,10
2023-09-13,11
2023-09-14,11
2023-09-15,5
2023-09-16,22
2023-09-17,24
2023-09-18,0
2023-09-19,3
2023-09-20,5
2023-09-21,13
2023-09-22,25
2023-09-23,48
2023-09-24,62
2023-09-25,0
2023-09-26,0
2023-09-27,5
2023-09-28,57
2023-09-29,95
2023-09-30,54
2023-10-01,65
2023-10-02,58
2023-10-03,58
2023-10-04,13
2023-10-05,17
2023-10-06,21
2023-10-07,67
2023-10-08,54
2023-10-09,92
2023-10-10,36
2023-10-11,33
2023-10-12,48
2023-10-13,47
2023-10-14,51
2023-10-15,54
2023-10-16,0
2023-10-17,51
2023-10-18,53
2023-10-19,30
2023-10-20,61
2023-10-21,68
2023-10-22,80
2023-10-23,87
2023-10-24,64
2023-10-25,82
2023-10-26,73
2023-10-27,76
2023-10-28,97
2023-10-29,97
2023-10-30,83
2023-10-31,71
2023-11-01,63
2023-11-02,83
2023-11-03,80
2023-11-04,93
2023-11-05,59
2023-11-06,41
2023-11-07,60
2023-11-08,65
2023-11-09,69
2023-11-10,45
2023-11-11,50
2023-11-12,48
2023-11-13,19
2023-11-14,40
2023-11-15,34
2023-11-16,24
2023-11-17,23
2023-11-18,17
2023-11-19,34
2023-11-20,0
2023-11-21,21
2023-11-22,7
2023-11-23,11
2023-11-24,5
2023-11-25,111
2023-11-26,63
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,44
2024-03-30,133
2024-03-31,92
2024-04-01,0
2024-04-02,64
2024-04-03,18
2024-04-04,36
2024-04-05,47
2024-04-06,84
2024-04-07,100
2024-04-08,0
2024-04-09,119
2024-04-10,110
2024-04-11,81
2024-04-12,95
2024-04-13,112
2024-04-14,155
2024-04-15,0
2024-04-16,48
2024-04-17,36
2024-04-18,59
2024-04-19,52
2024-04-20,28
2024-04-21,57
2024-04-22,0
2024-04-23,26
2024-04-24,15
2024-04-25,18
2024-04-26,26
2024-04-27,69
2024-04-28,69
2024-04-29,0
2024-04-30,23
2024-05-01,74
2024-05-02,30
2024-05-03,22
2024-05-04,46
2024-05-05,24
2024-05-06,9
2024-05-07,2
2024-05-08,10
2024-05-09,14
2024-05-10,18
2024-05-11,17
2024-05-12,34
2024-05-13,0
2024-05-14,14
2024-05-15,11
2024-05-16,17
2024-05-17,21
2024-05-18,49
2024-05-19,42
2024-05-20,0
2024-05-21,16
2024-05-22,17
2024-05-23,15
2024-05-24,11
2024-05-25,29
2024-05-26,25
2024-05-27,0
2024-05-28,12
2024-05-29,11
2024-05-30,5
2024-05-31,11
2024-06-01,36
2024-06-02,34
2024-06-03,0
2024-06-04,9
2024-06-05,10
2024-06-06,56
2024-06-07,20
2024-06-08,16
2024-06-09,24
2024-06-10,0
2024-06-11,10
2024-06-12,9
2024-06-13,11
2024-06-14,18
2024-06-15,29
