영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,102
2023-04-01,152
2023-04-02,171
2023-04-03,0
2023-04-04,132
2023-04-05,8
2023-04-06,43
2023-04-07,133
2023-04-08,155
2023-04-09,150
2023-04-10,0
2023-04-11,31
2023-04-12,76
2023-04-13,80
2023-04-14,86
2023-04-15,67
2023-04-16,125
2023-04-17,0
2023-04-18,25
2023-04-19,68
2023-04-20,56
2023-04-21,105
2023-04-22,176
2023-04-23,159
2023-04-24,0
2023-04-25,40
2023-04-26,48
2023-04-27,60
2023-04-28,56
2023-04-29,62
2023-04-30,160
2023-05-01,105
2023-05-02,51
2023-05-03,41
2023-05-04,27
2023-05-05,43
2023-05-06,46
2023-05-07,91
2023-05-08,0
2023-05-09,33
2023-05-10,25
2023-05-11,43
2023-05-12,35
2023-05-13,116
2023-05-14,96
2023-05-15,0
2023-05-16,49
2023-05-17,23
2023-05-18,25
2023-05-19,53
2023-05-20,110
2023-05-21,98
2023-05-22,0
2023-05-23,43
2023-05-24,27
2023-05-25,26
2023-05-26,27
2023-05-27,72
2023-05-28,37
2023-05-29,65
2023-05-30,18
2023-05-31,24
2023-06-01,27
2023-06-02,27
2023-06-03,68
2023-06-04,74
2023-06-05,58
2023-06-06,91
2023-06-07,22
2023-06-08,19
2023-06-09,31
2023-06-10,60
2023-06-11,47
2023-06-12,0
2023-06-13,21
2023-06-14,30
2023-06-15,28
2023-06-16,24
2023-06-17,41
2023-06-18,53
2023-06-19,0
2023-06-20,12
2023-06-21,22
2023-06-22,30
2023-06-23,34
2023-06-24,44
2023-06-25,51
2023-06-26,0
2023-06-27,18
2023-06-28,4
2023-06-29,6
2023-06-30,14
2023-07-01,32
2023-07-02,27
2023-07-03,0
2023-07-04,10
2023-07-05,8
2023-07-06,5
2023-07-07,9
2023-07-08,35
2023-07-09,22
2023-07-10,0
2023-07-11,5
2023-07-12,4
2023-07-13,2
2023-07-14,8
2023-07-15,11
2023-07-16,22
2023-07-17,0
2023-07-18,6
2023-07-19,6
2023-07-20,1
2023-07-21,7
2023-07-22,11
2023-07-23,4
2023-07-24,0
2023-07-25,10
2023-07-26,6
2023-07-27,4
2023-07-28,15
2023-07-29,22
2023-07-30,14
2023-07-31,0
2023-08-01,14
2023-08-02,13
2023-08-03,6
2023-08-04,12
2023-08-05,14
2023-08-06,7
2023-08-07,0
2023-08-08,7
2023-08-09,6
2023-08-10,0
2023-08-11,16
2023-08-12,27
2023-08-13,30
2023-08-14,17
2023-08-15,31
2023-08-16,5
2023-08-17,3
2023-08-18,6
2023-08-19,14
2023-08-20,11
2023-08-21,0
2023-08-22,8
2023-08-23,1
2023-08-24,6
2023-08-25,10
2023-08-26,31
2023-08-27,34
2023-08-28,0
2023-08-29,6
2023-08-30,5
2023-08-31,10
2023-09-01,11
2023-09-02,57
2023-09-03,32
2023-09-04,0
2023-09-05,16
2023-09-06,14
2023-09-07,4
2023-09-08,11
2023-09-09,38
2023-09-10,53
2023-09-11,0
2023-09-12,17
2023-09-13,11
2023-09-14,16
2023-09-15,8
2023-09-16,33
2023-09-17,41
2023-09-18,0
2023-09-19,16
2023-09-20,11
2023-09-21,20
2023-09-22,33
2023-09-23,78
2023-09-24,94
2023-09-25,0
2023-09-26,10
2023-09-27,9
2023-09-28,118
2023-09-29,143
2023-09-30,161
2023-10-01,155
2023-10-02,166
2023-10-03,123
2023-10-04,34
2023-10-05,28
2023-10-06,46
2023-10-07,155
2023-10-08,159
2023-10-09,153
2023-10-10,92
2023-10-11,73
2023-10-12,95
2023-10-13,109
2023-10-14,117
2023-10-15,168
2023-10-16,0
2023-10-17,133
2023-10-18,159
2023-10-19,101
2023-10-20,114
2023-10-21,162
2023-10-22,143
2023-10-23,192
2023-10-24,116
2023-10-25,135
2023-10-26,115
2023-10-27,186
2023-10-28,167
2023-10-29,157
2023-10-30,156
2023-10-31,148
2023-11-01,150
2023-11-02,177
2023-11-03,136
2023-11-04,187
2023-11-05,130
2023-11-06,120
2023-11-07,116
2023-11-08,112
2023-11-09,169
2023-11-10,128
2023-11-11,109
2023-11-12,95
2023-11-13,66
2023-11-14,84
2023-11-15,69
2023-11-16,36
2023-11-17,43
2023-11-18,65
2023-11-19,94
2023-11-20,0
2023-11-21,15
2023-11-22,9
2023-11-23,15
2023-11-24,9
2023-11-25,39
2023-11-26,39
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,41
2024-03-30,127
2024-03-31,124
2024-04-01,0
2024-04-02,105
2024-04-03,73
2024-04-04,105
2024-04-05,103
2024-04-06,135
2024-04-07,127
2024-04-08,0
2024-04-09,139
2024-04-10,145
2024-04-11,120
2024-04-12,117
2024-04-13,115
2024-04-14,124
2024-04-15,0
2024-04-16,90
2024-04-17,94
2024-04-18,96
2024-04-19,106
2024-04-20,70
2024-04-21,126
2024-04-22,0
2024-04-23,67
2024-04-24,39
2024-04-25,70
2024-04-26,63
2024-04-27,116
2024-04-28,128
2024-04-29,0
2024-04-30,48
2024-05-01,100
2024-05-02,47
2024-05-03,39
2024-05-04,121
2024-05-05,57
2024-05-06,35
2024-05-07,18
2024-05-08,26
2024-05-09,25
2024-05-10,33
2024-05-11,85
2024-05-12,84
2024-05-13,0
2024-05-14,38
2024-05-15,56
2024-05-16,52
2024-05-17,32
2024-05-18,90
2024-05-19,69
2024-05-20,0
2024-05-21,32
2024-05-22,21
2024-05-23,30
2024-05-24,35
2024-05-25,74
2024-05-26,48
2024-05-27,0
2024-05-28,19
2024-05-29,22
2024-05-30,22
2024-05-31,27
2024-06-01,52
2024-06-02,69
2024-06-03,0
2024-06-04,18
2024-06-05,17
2024-06-06,82
2024-06-07,59
2024-06-08,36
2024-06-09,41
2024-06-10,0
2024-06-11,11
2024-06-12,9
2024-06-13,29
2024-06-14,11
2024-06-15,44
