영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,50
2023-04-01,66
2023-04-02,87
2023-04-03,0
2023-04-04,79
2023-04-05,6
2023-04-06,25
2023-04-07,57
2023-04-08,70
2023-04-09,65
2023-04-10,0
2023-04-11,33
2023-04-12,47
2023-04-13,55
2023-04-14,53
2023-04-15,49
2023-04-16,52
2023-04-17,0
2023-04-18,26
2023-04-19,22
2023-04-20,31
2023-04-21,106
2023-04-22,76
2023-04-23,28
2023-04-24,0
2023-04-25,18
2023-04-26,40
2023-04-27,38
2023-04-28,29
2023-04-29,46
2023-04-30,86
2023-05-01,49
2023-05-02,25
2023-05-03,12
2023-05-04,16
2023-05-05,27
2023-05-06,18
2023-05-07,34
2023-05-08,0
2023-05-09,17
2023-05-10,23
2023-05-11,12
2023-05-12,33
2023-05-13,59
2023-05-14,58
2023-05-15,0
2023-05-16,20
2023-05-17,15
2023-05-18,17
2023-05-19,25
2023-05-20,81
2023-05-21,71
2023-05-22,0
2023-05-23,20
2023-05-24,26
2023-05-25,7
2023-05-26,8
2023-05-27,29
2023-05-28,29
2023-05-29,48
2023-05-30,19
2023-05-31,16
2023-06-01,22
2023-06-02,48
2023-06-03,17
2023-06-04,41
2023-06-05,29
2023-06-06,30
2023-06-07,13
2023-06-08,15
2023-06-09,10
2023-06-10,30
2023-06-11,35
2023-06-12,0
2023-06-13,19
2023-06-14,20
2023-06-15,10
2023-06-16,16
2023-06-17,35
2023-06-18,48
2023-06-19,0
2023-06-20,6
2023-06-21,17
2023-06-22,12
2023-06-23,29
2023-06-24,32
2023-06-25,105
2023-06-26,0
2023-06-27,27
2023-06-28,10
2023-06-29,7
2023-06-30,7
2023-07-01,29
2023-07-02,7
2023-07-03,0
2023-07-04,4
2023-07-05,2
2023-07-06,12
2023-07-07,4
2023-07-08,20
2023-07-09,6
2023-07-10,0
2023-07-11,0
2023-07-12,3
2023-07-13,0
2023-07-14,1
2023-07-15,1
2023-07-16,15
2023-07-17,0
2023-07-18,4
2023-07-19,2
2023-07-20,1
2023-07-21,3
2023-07-22,9
2023-07-23,4
2023-07-24,0
2023-07-25,11
2023-07-26,2
2023-07-27,1
2023-07-28,2
2023-07-29,5
2023-07-30,11
2023-07-31,0
2023-08-01,4
2023-08-02,9
2023-08-03,6
2023-08-04,7
2023-08-05,11
2023-08-06,7
2023-08-07,0
2023-08-08,10
2023-08-09,4
2023-08-10,0
2023-08-11,3
2023-08-12,15
2023-08-13,24
2023-08-14,6
2023-08-15,11
2023-08-16,2
2023-08-17,6
2023-08-18,4
2023-08-19,16
2023-08-20,17
2023-08-21,0
2023-08-22,7
2023-08-23,2
2023-08-24,5
2023-08-25,11
2023-08-26,57
2023-08-27,23
2023-08-28,0
2023-08-29,5
2023-08-30,2
2023-08-31,7
2023-09-01,4
2023-09-02,39
2023-09-03,23
2023-09-04,0
2023-09-05,28
2023-09-06,10
2023-09-07,7
2023-09-08,6
2023-09-09,41
2023-09-10,47
2023-09-11,0
2023-09-12,5
2023-09-13,15
2023-09-14,22
2023-09-15,8
2023-09-16,37
2023-09-17,14
2023-09-18,0
2023-09-19,15
2023-09-20,14
2023-09-21,8
2023-09-22,14
2023-09-23,52
2023-09-24,59
2023-09-25,0
2023-09-26,10
2023-09-27,10
2023-09-28,64
2023-09-29,133
2023-09-30,115
2023-10-01,114
2023-10-02,100
2023-10-03,92
2023-10-04,20
2023-10-05,23
2023-10-06,42
2023-10-07,122
2023-10-08,130
2023-10-09,95
2023-10-10,71
2023-10-11,65
2023-10-12,76
2023-10-13,87
2023-10-14,106
2023-10-15,108
2023-10-16,0
2023-10-17,107
2023-10-18,127
2023-10-19,78
2023-10-20,90
2023-10-21,100
2023-10-22,109
2023-10-23,86
2023-10-24,104
2023-10-25,121
2023-10-26,99
2023-10-27,110
2023-10-28,83
2023-10-29,124
2023-10-30,70
2023-10-31,116
2023-11-01,102
2023-11-02,106
2023-11-03,121
2023-11-04,110
2023-11-05,108
2023-11-06,91
2023-11-07,96
2023-11-08,117
2023-11-09,107
2023-11-10,69
2023-11-11,65
2023-11-12,81
2023-11-13,53
2023-11-14,83
2023-11-15,69
2023-11-16,38
2023-11-17,42
2023-11-18,77
2023-11-19,87
2023-11-20,0
2023-11-21,39
2023-11-22,25
2023-11-23,20
2023-11-24,6
2023-11-25,28
2023-11-26,24
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,41
2024-03-30,75
2024-03-31,91
2024-04-01,0
2024-04-02,59
2024-04-03,39
2024-04-04,65
2024-04-05,71
2024-04-06,94
2024-04-07,68
2024-04-08,0
2024-04-09,66
2024-04-10,101
2024-04-11,80
2024-04-12,60
2024-04-13,86
2024-04-14,56
2024-04-15,0
2024-04-16,74
2024-04-17,61
2024-04-18,90
2024-04-19,55
2024-04-20,50
2024-04-21,111
2024-04-22,0
2024-04-23,41
2024-04-24,22
2024-04-25,70
2024-04-26,72
2024-04-27,87
2024-04-28,131
2024-04-29,0
2024-04-30,55
2024-05-01,122
2024-05-02,38
2024-05-03,15
2024-05-04,74
2024-05-05,41
2024-05-06,21
2024-05-07,13
2024-05-08,15
2024-05-09,37
2024-05-10,22
2024-05-11,75
2024-05-12,90
2024-05-13,0
2024-05-14,30
2024-05-15,49
2024-05-16,33
2024-05-17,37
2024-05-18,78
2024-05-19,38
2024-05-20,0
2024-05-21,34
2024-05-22,36
2024-05-23,44
2024-05-24,43
2024-05-25,83
2024-05-26,53
2024-05-27,0
2024-05-28,25
2024-05-29,15
2024-05-30,39
2024-05-31,36
2024-06-01,84
2024-06-02,56
2024-06-03,0
2024-06-04,27
2024-06-05,26
2024-06-06,56
2024-06-07,28
2024-06-08,50
2024-06-09,57
2024-06-10,0
2024-06-11,14
2024-06-12,13
2024-06-13,34
2024-06-14,25
2024-06-15,56
