영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,168
2023-04-01,257
2023-04-02,253
2023-04-03,0
2023-04-04,64
2023-04-05,6
2023-04-06,25
2023-04-07,101
2023-04-08,138
2023-04-09,166
2023-04-10,0
2023-04-11,19
2023-04-12,65
2023-04-13,71
2023-04-14,136
2023-04-15,41
2023-04-16,103
2023-04-17,0
2023-04-18,18
2023-04-19,45
2023-04-20,33
2023-04-21,42
2023-04-22,127
2023-04-23,110
2023-04-24,0
2023-04-25,6
2023-04-26,13
2023-04-27,23
2023-04-28,29
2023-04-29,26
2023-04-30,122
2023-05-01,81
2023-05-02,29
2023-05-03,19
2023-05-04,34
2023-05-05,13
2023-05-06,22
2023-05-07,48
2023-05-08,0
2023-05-09,16
2023-05-10,44
2023-05-11,22
2023-05-12,21
2023-05-13,105
2023-05-14,86
2023-05-15,0
2023-05-16,39
2023-05-17,16
2023-05-18,8
2023-05-19,29
2023-05-20,92
2023-05-21,49
2023-05-22,0
2023-05-23,31
2023-05-24,19
2023-05-25,28
2023-05-26,29
2023-05-27,39
2023-05-28,37
2023-05-29,39
2023-05-30,13
2023-05-31,12
2023-06-01,7
2023-06-02,7
2023-06-03,55
2023-06-04,74
2023-06-05,36
2023-06-06,0
2023-06-07,17
2023-06-08,15
2023-06-09,14
2023-06-10,39
2023-06-11,29
2023-06-12,0
2023-06-13,17
2023-06-14,17
2023-06-15,17
2023-06-16,16
2023-06-17,56
2023-06-18,42
2023-06-19,0
2023-06-20,19
2023-06-21,6
2023-06-22,19
2023-06-23,18
2023-06-24,39
2023-06-25,67
2023-06-26,0
2023-06-27,7
2023-06-28,10
2023-06-29,7
2023-06-30,7
2023-07-01,27
2023-07-02,23
2023-07-03,0
2023-07-04,5
2023-07-05,9
2023-07-06,3
2023-07-07,5
2023-07-08,24
2023-07-09,16
2023-07-10,0
2023-07-11,7
2023-07-12,3
2023-07-13,1
2023-07-14,2
2023-07-15,3
2023-07-16,2
2023-07-17,0
2023-07-18,3
2023-07-19,3
2023-07-20,4
2023-07-21,3
2023-07-22,10
2023-07-23,3
2023-07-24,0
2023-07-25,16
2023-07-26,7
2023-07-27,8
2023-07-28,12
2023-07-29,23
2023-07-30,24
2023-07-31,0
2023-08-01,14
2023-08-02,7
2023-08-03,9
2023-08-04,12
2023-08-05,8
2023-08-06,9
2023-08-07,0
2023-08-08,14
2023-08-09,6
2023-08-10,0
2023-08-11,4
2023-08-12,16
2023-08-13,19
2023-08-14,16
2023-08-15,29
2023-08-16,1
2023-08-17,4
2023-08-18,4
2023-08-19,19
2023-08-20,11
2023-08-21,0
2023-08-22,2
2023-08-23,2
2023-08-24,7
2023-08-25,12
2023-08-26,28
2023-08-27,22
2023-08-28,0
2023-08-29,4
2023-08-30,4
2023-08-31,4
2023-09-01,25
2023-09-02,49
2023-09-03,35
2023-09-04,0
2023-09-05,10
2023-09-06,13
2023-09-07,9
2023-09-08,12
2023-09-09,66
2023-09-10,64
2023-09-11,0
2023-09-12,0
2023-09-13,4
2023-09-14,17
2023-09-15,3
2023-09-16,32
2023-09-17,32
2023-09-18,0
2023-09-19,18
2023-09-20,11
2023-09-21,21
2023-09-22,30
2023-09-23,78
2023-09-24,20
2023-09-25,0
2023-09-26,0
2023-09-27,5
2023-09-28,107
2023-09-29,137
2023-09-30,84
2023-10-01,108
2023-10-02,117
2023-10-03,95
2023-10-04,31
2023-10-05,13
2023-10-06,31
2023-10-07,102
2023-10-08,114
2023-10-09,143
2023-10-10,59
2023-10-11,67
2023-10-12,42
2023-10-13,80
2023-10-14,92
2023-10-15,106
2023-10-16,0
2023-10-17,93
2023-10-18,97
2023-10-19,53
2023-10-20,76
2023-10-21,102
2023-10-22,144
2023-10-23,131
2023-10-24,85
2023-10-25,123
2023-10-26,104
2023-10-27,128
2023-10-28,179
2023-10-29,145
2023-10-30,119
2023-10-31,99
2023-11-01,91
2023-11-02,146
2023-11-03,113
2023-11-04,139
2023-11-05,122
2023-11-06,103
2023-11-07,73
2023-11-08,100
2023-11-09,103
2023-11-10,61
2023-11-11,75
2023-11-12,69
2023-11-13,42
2023-11-14,44
2023-11-15,34
2023-11-16,0
2023-11-17,59
2023-11-18,42
2023-11-19,36
2023-11-20,0
2023-11-21,20
2023-11-22,15
2023-11-23,2
2023-11-24,0
2023-11-25,43
2023-11-26,55
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,26
2024-03-30,85
2024-03-31,115
2024-04-01,0
2024-04-02,99
2024-04-03,36
2024-04-04,92
2024-04-05,87
2024-04-06,117
2024-04-07,158
2024-04-08,0
2024-04-09,121
2024-04-10,155
2024-04-11,108
2024-04-12,114
2024-04-13,209
2024-04-14,166
2024-04-15,0
2024-04-16,65
2024-04-17,58
2024-04-18,69
2024-04-19,83
2024-04-20,37
2024-04-21,105
2024-04-22,0
2024-04-23,31
2024-04-24,15
2024-04-25,43
2024-04-26,45
2024-04-27,138
2024-04-28,166
2024-04-29,0
2024-04-30,20
2024-05-01,58
2024-05-02,25
2024-05-03,29
2024-05-04,78
2024-05-05,39
2024-05-06,12
2024-05-07,7
2024-05-08,16
2024-05-09,14
2024-05-10,21
2024-05-11,41
2024-05-12,58
2024-05-13,0
2024-05-14,25
2024-05-15,32
2024-05-16,20
2024-05-17,24
2024-05-18,97
2024-05-19,75
2024-05-20,0
2024-05-21,23
2024-05-22,25
2024-05-23,19
2024-05-24,22
2024-05-25,50
2024-05-26,34
2024-05-27,0
2024-05-28,15
2024-05-29,40
2024-05-30,16
2024-05-31,46
2024-06-01,49
2024-06-02,57
2024-06-03,0
2024-06-04,9
2024-06-05,24
2024-06-06,94
2024-06-07,30
2024-06-08,20
2024-06-09,36
2024-06-10,0
2024-06-11,20
2024-06-12,7
2024-06-13,24
2024-06-14,11
2024-06-15,37
