영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,88
2023-04-01,169
2023-04-02,136
2023-04-03,0
2023-04-04,97
2023-04-05,10
2023-04-06,33
2023-04-07,89
2023-04-08,132
2023-04-09,109
2023-04-10,0
2023-04-11,9
2023-04-12,26
2023-04-13,54
2023-04-14,72
2023-04-15,25
2023-04-16,68
2023-04-17,0
2023-04-18,12
2023-04-19,25
2023-04-20,13
2023-04-21,62
2023-04-22,100
2023-04-23,104
2023-04-24,0
2023-04-25,9
2023-04-26,7
2023-04-27,16
2023-04-28,32
2023-04-29,23
2023-04-30,89
2023-05-01,49
2023-05-02,12
2023-05-03,18
2023-05-04,16
2023-05-05,15
2023-05-06,18
2023-05-07,30
2023-05-08,0
2023-05-09,9
2023-05-10,11
2023-05-11,18
2023-05-12,14
2023-05-13,51
2023-05-14,55
2023-05-15,0
2023-05-16,11
2023-05-17,7
2023-05-18,3
2023-05-19,26
2023-05-20,46
2023-05-21,24
2023-05-22,0
2023-05-23,7
2023-05-24,11
2023-05-25,22
2023-05-26,7
2023-05-27,18
2023-05-28,8
2023-05-29,18
2023-05-30,16
2023-05-31,5
2023-06-01,11
2023-06-02,2
2023-06-03,23
2023-06-04,50
2023-06-05,23
2023-06-06,70
2023-06-07,8
2023-06-08,6
2023-06-09,6
2023-06-10,24
2023-06-11,8
2023-06-12,0
2023-06-13,7
2023-06-14,9
2023-06-15,9
2023-06-16,7
2023-06-17,35
2023-06-18,26
2023-06-19,0
2023-06-20,2
2023-06-21,0
2023-06-22,5
2023-06-23,16
2023-06-24,16
2023-06-25,24
2023-06-26,0
2023-06-27,7
2023-06-28,3
2023-06-29,3
2023-06-30,16
2023-07-01,28
2023-07-02,7
2023-07-03,0
2023-07-04,0
2023-07-05,2
2023-07-06,2
2023-07-07,3
2023-07-08,22
2023-07-09,8
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,1
2023-07-14,0
2023-07-15,6
2023-07-16,8
2023-07-17,0
2023-07-18,4
2023-07-19,2
2023-07-20,5
2023-07-21,1
2023-07-22,7
2023-07-23,0
2023-07-24,0
2023-07-25,3
2023-07-26,5
2023-07-27,2
2023-07-28,5
2023-07-29,7
2023-07-30,4
2023-07-31,0
2023-08-01,7
2023-08-02,2
2023-08-03,7
2023-08-04,4
2023-08-05,7
2023-08-06,5
2023-08-07,0
2023-08-08,7
2023-08-09,7
2023-08-10,0
2023-08-11,2
2023-08-12,8
2023-08-13,15
2023-08-14,11
2023-08-15,25
2023-08-16,1
2023-08-17,2
2023-08-18,3
2023-08-19,12
2023-08-20,7
2023-08-21,0
2023-08-22,0
2023-08-23,1
2023-08-24,0
2023-08-25,1
2023-08-26,22
2023-08-27,22
2023-08-28,0
2023-08-29,0
2023-08-30,5
2023-08-31,1
2023-09-01,6
2023-09-02,32
2023-09-03,34
2023-09-04,0
2023-09-05,8
2023-09-06,4
2023-09-07,5
2023-09-08,45
2023-09-09,31
2023-09-10,31
2023-09-11,0
2023-09-12,8
2023-09-13,3
2023-09-14,7
2023-09-15,10
2023-09-16,27
2023-09-17,15
2023-09-18,0
2023-09-19,6
2023-09-20,1
2023-09-21,11
2023-09-22,14
2023-09-23,74
2023-09-24,76
2023-09-25,0
2023-09-26,5
2023-09-27,8
2023-09-28,86
2023-09-29,116
2023-09-30,98
2023-10-01,112
2023-10-02,94
2023-10-03,80
2023-10-04,15
2023-10-05,22
2023-10-06,16
2023-10-07,111
2023-10-08,120
2023-10-09,89
2023-10-10,61
2023-10-11,47
2023-10-12,37
2023-10-13,78
2023-10-14,75
2023-10-15,89
2023-10-16,0
2023-10-17,97
2023-10-18,68
2023-10-19,59
2023-10-20,67
2023-10-21,97
2023-10-22,106
2023-10-23,102
2023-10-24,97
2023-10-25,111
2023-10-26,108
2023-10-27,105
2023-10-28,138
2023-10-29,153
2023-10-30,137
2023-10-31,164
2023-11-01,109
2023-11-02,190
2023-11-03,134
2023-11-04,166
2023-11-05,103
2023-11-06,70
2023-11-07,48
2023-11-08,98
2023-11-09,88
2023-11-10,62
2023-11-11,77
2023-11-12,76
2023-11-13,39
2023-11-14,24
2023-11-15,27
2023-11-16,10
2023-11-17,16
2023-11-18,29
2023-11-19,36
2023-11-20,0
2023-11-21,14
2023-11-22,1
2023-11-23,12
2023-11-24,5
2023-11-25,41
2023-11-26,25
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,37
2024-03-30,86
2024-03-31,81
2024-04-01,0
2024-04-02,95
2024-04-03,31
2024-04-04,68
2024-04-05,75
2024-04-06,122
2024-04-07,143
2024-04-08,0
2024-04-09,90
2024-04-10,142
2024-04-11,91
2024-04-12,117
2024-04-13,131
2024-04-14,114
2024-04-15,0
2024-04-16,44
2024-04-17,34
2024-04-18,37
2024-04-19,51
2024-04-20,31
2024-04-21,70
2024-04-22,0
2024-04-23,35
2024-04-24,4
2024-04-25,15
2024-04-26,28
2024-04-27,76
2024-04-28,94
2024-04-29,0
2024-04-30,11
2024-05-01,48
2024-05-02,15
2024-05-03,17
2024-05-04,75
2024-05-05,26
2024-05-06,4
2024-05-07,2
2024-05-08,15
2024-05-09,5
2024-05-10,7
2024-05-11,37
2024-05-12,30
2024-05-13,0
2024-05-14,12
2024-05-15,17
2024-05-16,13
2024-05-17,5
2024-05-18,48
2024-05-19,33
2024-05-20,0
2024-05-21,13
2024-05-22,12
2024-05-23,10
2024-05-24,11
2024-05-25,30
2024-05-26,17
2024-05-27,0
2024-05-28,9
2024-05-29,4
2024-05-30,4
2024-05-31,22
2024-06-01,36
2024-06-02,21
2024-06-03,0
2024-06-04,12
2024-06-05,5
2024-06-06,48
2024-06-07,30
2024-06-08,25
2024-06-09,31
2024-06-10,0
2024-06-11,2
2024-06-12,13
2024-06-13,2
2024-06-14,6
2024-06-15,21
