영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,436
2023-04-01,578
2023-04-02,647
2023-04-03,0
2023-04-04,426
2023-04-05,60
2023-04-06,181
2023-04-07,436
2023-04-08,563
2023-04-09,574
2023-04-10,0
2023-04-11,124
2023-04-12,288
2023-04-13,290
2023-04-14,327
2023-04-15,228
2023-04-16,370
2023-04-17,0
2023-04-18,86
2023-04-19,175
2023-04-20,132
2023-04-21,213
2023-04-22,498
2023-04-23,465
2023-04-24,0
2023-04-25,98
2023-04-26,132
2023-04-27,150
2023-04-28,146
2023-04-29,194
2023-04-30,426
2023-05-01,300
2023-05-02,98
2023-05-03,79
2023-05-04,97
2023-05-05,90
2023-05-06,141
2023-05-07,239
2023-05-08,0
2023-05-09,68
2023-05-10,71
2023-05-11,96
2023-05-12,100
2023-05-13,312
2023-05-14,247
2023-05-15,0
2023-05-16,101
2023-05-17,64
2023-05-18,55
2023-05-19,123
2023-05-20,277
2023-05-21,218
2023-05-22,0
2023-05-23,110
2023-05-24,69
2023-05-25,64
2023-05-26,65
2023-05-27,214
2023-05-28,111
2023-05-29,126
2023-05-30,49
2023-05-31,38
2023-06-01,48
2023-06-02,78
2023-06-03,223
2023-06-04,256
2023-06-05,192
2023-06-06,324
2023-06-07,79
2023-06-08,62
2023-06-09,89
2023-06-10,186
2023-06-11,156
2023-06-12,0
2023-06-13,86
2023-06-14,113
2023-06-15,89
2023-06-16,88
2023-06-17,203
2023-06-18,195
2023-06-19,0
2023-06-20,50
2023-06-21,53
2023-06-22,85
2023-06-23,101
2023-06-24,177
2023-06-25,158
2023-06-26,0
2023-06-27,44
2023-06-28,33
2023-06-29,17
2023-06-30,42
2023-07-01,129
2023-07-02,84
2023-07-03,0
2023-07-04,18
2023-07-05,28
2023-07-06,37
2023-07-07,35
2023-07-08,141
2023-07-09,62
2023-07-10,0
2023-07-11,20
2023-07-12,14
2023-07-13,7
2023-07-14,22
2023-07-15,41
2023-07-16,44
2023-07-17,0
2023-07-18,21
2023-07-19,12
2023-07-20,11
2023-07-21,20
2023-07-22,55
2023-07-23,21
2023-07-24,0
2023-07-25,39
2023-07-26,27
2023-07-27,24
2023-07-28,27
2023-07-29,54
2023-07-30,45
2023-07-31,0
2023-08-01,37
2023-08-02,33
2023-08-03,33
2023-08-04,27
2023-08-05,42
2023-08-06,23
2023-08-07,0
2023-08-08,30
2023-08-09,26
2023-08-10,0
2023-08-11,21
2023-08-12,82
2023-08-13,100
2023-08-14,44
2023-08-15,88
2023-08-16,17
2023-08-17,17
2023-08-18,15
2023-08-19,47
2023-08-20,42
2023-08-21,0
2023-08-22,10
2023-08-23,6
2023-08-24,16
2023-08-25,29
2023-08-26,113
2023-08-27,85
2023-08-28,0
2023-08-29,18
2023-08-30,24
2023-08-31,27
2023-09-01,37
2023-09-02,178
2023-09-03,115
2023-09-04,0
2023-09-05,30
2023-09-06,27
2023-09-07,28
2023-09-08,35
2023-09-09,137
2023-09-10,144
2023-09-11,0
2023-09-12,33
2023-09-13,28
2023-09-14,56
2023-09-15,39
2023-09-16,107
2023-09-17,107
2023-09-18,0
2023-09-19,54
2023-09-20,39
2023-09-21,67
2023-09-22,82
2023-09-23,275
2023-09-24,277
2023-09-25,0
2023-09-26,39
2023-09-27,39
2023-09-28,309
2023-09-29,408
2023-09-30,392
2023-10-01,425
2023-10-02,448
2023-10-03,408
2023-10-04,106
2023-10-05,95
2023-10-06,149
2023-10-07,523
2023-10-08,549
2023-10-09,537
2023-10-10,257
2023-10-11,250
2023-10-12,280
2023-10-13,396
2023-10-14,443
2023-10-15,559
2023-10-16,0
2023-10-17,523
2023-10-18,557
2023-10-19,415
2023-10-20,558
2023-10-21,626
2023-10-22,625
2023-10-23,616
2023-10-24,560
2023-10-25,631
2023-10-26,576
2023-10-27,641
2023-10-28,692
2023-10-29,664
2023-10-30,633
2023-10-31,677
2023-11-01,617
2023-11-02,645
2023-11-03,628
2023-11-04,695
2023-11-05,625
2023-11-06,465
2023-11-07,586
2023-11-08,623
2023-11-09,592
2023-11-10,497
2023-11-11,513
2023-11-12,518
2023-11-13,292
2023-11-14,351
2023-11-15,263
2023-11-16,141
2023-11-17,142
2023-11-18,254
2023-11-19,259
2023-11-20,0
2023-11-21,80
2023-11-22,42
2023-11-23,62
2023-11-24,22
2023-11-25,134
2023-11-26,130
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,221
2024-03-30,471
2024-03-31,481
2024-04-01,0
2024-04-02,361
2024-04-03,247
2024-04-04,473
2024-04-05,518
2024-04-06,592
2024-04-07,517
2024-04-08,0
2024-04-09,557
2024-04-10,613
2024-04-11,521
2024-04-12,488
2024-04-13,510
2024-04-14,464
2024-04-15,0
2024-04-16,338
2024-04-17,313
2024-04-18,268
2024-04-19,313
2024-04-20,270
2024-04-21,447
2024-04-22,0
2024-04-23,214
2024-04-24,103
2024-04-25,198
2024-04-26,197
2024-04-27,408
2024-04-28,419
2024-04-29,0
2024-04-30,148
2024-05-01,384
2024-05-02,116
2024-05-03,124
2024-05-04,372
2024-05-05,152
2024-05-06,93
2024-05-07,55
2024-05-08,83
2024-05-09,79
2024-05-10,78
2024-05-11,240
2024-05-12,247
2024-05-13,0
2024-05-14,112
2024-05-15,187
2024-05-16,106
2024-05-17,86
2024-05-18,259
2024-05-19,181
2024-05-20,0
2024-05-21,89
2024-05-22,72
2024-05-23,85
2024-05-24,91
2024-05-25,218
2024-05-26,147
2024-05-27,0
2024-05-28,61
2024-05-29,43
2024-05-30,64
2024-05-31,98
2024-06-01,228
2024-06-02,178
2024-06-03,0
2024-06-04,53
2024-06-05,65
2024-06-06,276
2024-06-07,171
2024-06-08,141
2024-06-09,152
2024-06-10,0
2024-06-11,55
2024-06-12,62
2024-06-13,75
2024-06-14,69
2024-06-15,150
