영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,41
2023-04-01,24
2023-04-02,24
2023-04-03,0
2023-04-04,74
2023-04-05,29
2023-04-06,64
2023-04-07,120
2023-04-08,129
2023-04-09,61
2023-04-10,0
2023-04-11,73
2023-04-12,128
2023-04-13,94
2023-04-14,33
2023-04-15,86
2023-04-16,110
2023-04-17,0
2023-04-18,63
2023-04-19,36
2023-04-20,91
2023-04-21,54
2023-04-22,63
2023-04-23,66
2023-04-24,0
2023-04-25,61
2023-04-26,86
2023-04-27,33
2023-04-28,44
2023-04-29,104
2023-04-30,79
2023-05-01,74
2023-05-02,18
2023-05-03,11
2023-05-04,25
2023-05-05,31
2023-05-06,75
2023-05-07,110
2023-05-08,0
2023-05-09,31
2023-05-10,22
2023-05-11,28
2023-05-12,20
2023-05-13,45
2023-05-14,22
2023-05-15,0
2023-05-16,21
2023-05-17,13
2023-05-18,22
2023-05-19,34
2023-05-20,38
2023-05-21,28
2023-05-22,0
2023-05-23,9
2023-05-24,14
2023-05-25,1
2023-05-26,9
2023-05-27,52
2023-05-28,43
2023-05-29,19
2023-05-30,10
2023-05-31,3
2023-06-01,15
2023-06-02,17
2023-06-03,27
2023-06-04,16
2023-06-05,19
2023-06-06,35
2023-06-07,15
2023-06-08,33
2023-06-09,19
2023-06-10,22
2023-06-11,24
2023-06-12,0
2023-06-13,13
2023-06-14,32
2023-06-15,13
2023-06-16,10
2023-06-17,13
2023-06-18,6
2023-06-19,0
2023-06-20,14
2023-06-21,12
2023-06-22,25
2023-06-23,6
2023-06-24,6
2023-06-25,8
2023-06-26,0
2023-06-27,9
2023-06-28,5
2023-06-29,4
2023-06-30,4
2023-07-01,10
2023-07-02,4
2023-07-03,0
2023-07-04,6
2023-07-05,5
2023-07-06,6
2023-07-07,7
2023-07-08,2
2023-07-09,9
2023-07-10,0
2023-07-11,6
2023-07-12,11
2023-07-13,0
2023-07-14,2
2023-07-15,6
2023-07-16,4
2023-07-17,0
2023-07-18,3
2023-07-19,0
2023-07-20,1
2023-07-21,1
2023-07-22,8
2023-07-23,3
2023-07-24,0
2023-07-25,2
2023-07-26,5
2023-07-27,2
2023-07-28,1
2023-07-29,0
2023-07-30,2
2023-07-31,0
2023-08-01,3
2023-08-02,1
2023-08-03,4
2023-08-04,0
2023-08-05,2
2023-08-06,0
2023-08-07,0
2023-08-08,5
2023-08-09,5
2023-08-10,0
2023-08-11,4
2023-08-12,14
2023-08-13,8
2023-08-14,4
2023-08-15,4
2023-08-16,1
2023-08-17,2
2023-08-18,6
2023-08-19,3
2023-08-20,5
2023-08-21,0
2023-08-22,1
2023-08-23,1
2023-08-24,1
2023-08-25,5
2023-08-26,5
2023-08-27,4
2023-08-28,0
2023-08-29,6
2023-08-30,7
2023-08-31,4
2023-09-01,3
2023-09-02,8
2023-09-03,4
2023-09-04,0
2023-09-05,9
2023-09-06,2
2023-09-07,3
2023-09-08,2
2023-09-09,5
2023-09-10,5
2023-09-11,0
2023-09-12,6
2023-09-13,11
2023-09-14,5
2023-09-15,19
2023-09-16,15
2023-09-17,2
2023-09-18,0
2023-09-19,8
2023-09-20,15
2023-09-21,11
2023-09-22,18
2023-09-23,32
2023-09-24,14
2023-09-25,0
2023-09-26,18
2023-09-27,4
2023-09-28,16
2023-09-29,32
2023-09-30,91
2023-10-01,45
2023-10-02,37
2023-10-03,67
2023-10-04,19
2023-10-05,33
2023-10-06,46
2023-10-07,57
2023-10-08,69
2023-10-09,61
2023-10-10,42
2023-10-11,45
2023-10-12,49
2023-10-13,87
2023-10-14,141
2023-10-15,80
2023-10-16,0
2023-10-17,109
2023-10-18,153
2023-10-19,161
2023-10-20,145
2023-10-21,81
2023-10-22,56
2023-10-23,100
2023-10-24,152
2023-10-25,88
2023-10-26,88
2023-10-27,99
2023-10-28,90
2023-10-29,44
2023-10-30,65
2023-10-31,89
2023-11-01,102
2023-11-02,60
2023-11-03,67
2023-11-04,54
2023-11-05,41
2023-11-06,107
2023-11-07,131
2023-11-08,130
2023-11-09,109
2023-11-10,136
2023-11-11,146
2023-11-12,127
2023-11-13,122
2023-11-14,103
2023-11-15,100
2023-11-16,57
2023-11-17,74
2023-11-18,120
2023-11-19,84
2023-11-20,0
2023-11-21,41
2023-11-22,21
2023-11-23,30
2023-11-24,23
2023-11-25,65
2023-11-26,43
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,42
2024-03-30,56
2024-03-31,46
2024-04-01,0
2024-04-02,42
2024-04-03,63
2024-04-04,97
2024-04-05,71
2024-04-06,43
2024-04-07,9
2024-04-08,0
2024-04-09,49
2024-04-10,31
2024-04-11,63
2024-04-12,24
2024-04-13,16
2024-04-14,13
2024-04-15,0
2024-04-16,93
2024-04-17,57
2024-04-18,50
2024-04-19,42
2024-04-20,77
2024-04-21,72
2024-04-22,0
2024-04-23,50
2024-04-24,80
2024-04-25,67
2024-04-26,31
2024-04-27,28
2024-04-28,21
2024-04-29,0
2024-04-30,36
2024-05-01,41
2024-05-02,20
2024-05-03,26
2024-05-04,16
2024-05-05,35
2024-05-06,29
2024-05-07,24
2024-05-08,22
2024-05-09,29
2024-05-10,25
2024-05-11,50
2024-05-12,46
2024-05-13,0
2024-05-14,27
2024-05-15,60
2024-05-16,23
2024-05-17,16
2024-05-18,16
2024-05-19,8
2024-05-20,0
2024-05-21,15
2024-05-22,14
2024-05-23,25
2024-05-24,18
2024-05-25,41
2024-05-26,28
2024-05-27,0
2024-05-28,24
2024-05-29,15
2024-05-30,23
2024-05-31,14
2024-06-01,31
2024-06-02,8
2024-06-03,0
2024-06-04,10
2024-06-05,9
2024-06-06,22
2024-06-07,19
2024-06-08,32
2024-06-09,7
2024-06-10,0
2024-06-11,10
2024-06-12,12
2024-06-13,1
2024-06-14,6
2024-06-15,24
