영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,258
2023-04-01,352
2023-04-02,260
2023-04-03,0
2023-04-04,200
2023-04-05,5
2023-04-06,12
2023-04-07,75
2023-04-08,114
2023-04-09,152
2023-04-10,0
2023-04-11,17
2023-04-12,90
2023-04-13,68
2023-04-14,190
2023-04-15,31
2023-04-16,64
2023-04-17,0
2023-04-18,5
2023-04-19,139
2023-04-20,48
2023-04-21,133
2023-04-22,155
2023-04-23,157
2023-04-24,0
2023-04-25,4
2023-04-26,9
2023-04-27,93
2023-04-28,67
2023-04-29,16
2023-04-30,100
2023-05-01,105
2023-05-02,96
2023-05-03,51
2023-05-04,82
2023-05-05,21
2023-05-06,9
2023-05-07,46
2023-05-08,0
2023-05-09,52
2023-05-10,54
2023-05-11,74
2023-05-12,60
2023-05-13,179
2023-05-14,83
2023-05-15,0
2023-05-16,165
2023-05-17,65
2023-05-18,50
2023-05-19,122
2023-05-20,205
2023-05-21,56
2023-05-22,0
2023-05-23,75
2023-05-24,53
2023-05-25,108
2023-05-26,51
2023-05-27,32
2023-05-28,15
2023-05-29,94
2023-05-30,34
2023-05-31,31
2023-06-01,45
2023-06-02,60
2023-06-03,161
2023-06-04,143
2023-06-05,53
2023-06-06,138
2023-06-07,44
2023-06-08,43
2023-06-09,61
2023-06-10,136
2023-06-11,87
2023-06-12,0
2023-06-13,86
2023-06-14,48
2023-06-15,58
2023-06-16,80
2023-06-17,217
2023-06-18,153
2023-06-19,0
2023-06-20,15
2023-06-21,8
2023-06-22,35
2023-06-23,57
2023-06-24,172
2023-06-25,101
2023-06-26,0
2023-06-27,57
2023-06-28,28
2023-06-29,0
2023-06-30,38
2023-07-01,132
2023-07-02,59
2023-07-03,0
2023-07-04,6
2023-07-05,16
2023-07-06,51
2023-07-07,32
2023-07-08,50
2023-07-09,21
2023-07-10,0
2023-07-11,4
2023-07-12,17
2023-07-13,2
2023-07-14,4
2023-07-15,18
2023-07-16,30
2023-07-17,0
2023-07-18,4
2023-07-19,17
2023-07-20,31
2023-07-21,39
2023-07-22,37
2023-07-23,6
2023-07-24,0
2023-07-25,21
2023-07-26,16
2023-07-27,20
2023-07-28,30
2023-07-29,57
2023-07-30,42
2023-07-31,0
2023-08-01,44
2023-08-02,14
2023-08-03,14
2023-08-04,37
2023-08-05,23
2023-08-06,24
2023-08-07,0
2023-08-08,37
2023-08-09,17
2023-08-10,0
2023-08-11,9
2023-08-12,18
2023-08-13,48
2023-08-14,25
2023-08-15,70
2023-08-16,27
2023-08-17,23
2023-08-18,26
2023-08-19,47
2023-08-20,31
2023-08-21,0
2023-08-22,38
2023-08-23,1
2023-08-24,4
2023-08-25,38
2023-08-26,64
2023-08-27,65
2023-08-28,0
2023-08-29,8
2023-08-30,4
2023-08-31,16
2023-09-01,26
2023-09-02,87
2023-09-03,48
2023-09-04,0
2023-09-05,35
2023-09-06,18
2023-09-07,26
2023-09-08,40
2023-09-09,113
2023-09-10,61
2023-09-11,0
2023-09-12,68
2023-09-13,8
2023-09-14,35
2023-09-15,23
2023-09-16,73
2023-09-17,66
2023-09-18,0
2023-09-19,46
2023-09-20,3
2023-09-21,41
2023-09-22,85
2023-09-23,121
2023-09-24,98
2023-09-25,0
2023-09-26,16
2023-09-27,5
2023-09-28,127
2023-09-29,187
2023-09-30,106
2023-10-01,147
2023-10-02,166
2023-10-03,68
2023-10-04,36
2023-10-05,20
2023-10-06,47
2023-10-07,126
2023-10-08,93
2023-10-09,126
2023-10-10,62
2023-10-11,96
2023-10-12,112
2023-10-13,152
2023-10-14,75
2023-10-15,86
2023-10-16,0
2023-10-17,129
2023-10-18,112
2023-10-19,61
2023-10-20,56
2023-10-21,92
2023-10-22,65
2023-10-23,111
2023-10-24,93
2023-10-25,198
2023-10-26,115
2023-10-27,137
2023-10-28,120
2023-10-29,125
2023-10-30,167
2023-10-31,145
2023-11-01,72
2023-11-02,270
2023-11-03,150
2023-11-04,143
2023-11-05,94
2023-11-06,31
2023-11-07,53
2023-11-08,94
2023-11-09,108
2023-11-10,24
2023-11-11,31
2023-11-12,25
2023-11-13,14
2023-11-14,42
2023-11-15,21
2023-11-16,4
2023-11-17,11
2023-11-18,17
2023-11-19,25
2023-11-20,0
2023-11-21,24
2023-11-22,7
2023-11-23,10
2023-11-24,3
2023-11-25,11
2023-11-26,15
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,27
2024-03-30,103
2024-03-31,162
2024-04-01,0
2024-04-02,199
2024-04-03,55
2024-04-04,90
2024-04-05,150
2024-04-06,150
2024-04-07,247
2024-04-08,0
2024-04-09,175
2024-04-10,126
2024-04-11,181
2024-04-12,286
2024-04-13,336
2024-04-14,285
2024-04-15,0
2024-04-16,105
2024-04-17,165
2024-04-18,238
2024-04-19,207
2024-04-20,35
2024-04-21,93
2024-04-22,0
2024-04-23,128
2024-04-24,27
2024-04-25,99
2024-04-26,214
2024-04-27,250
2024-04-28,240
2024-04-29,0
2024-04-30,111
2024-05-01,174
2024-05-02,89
2024-05-03,92
2024-05-04,251
2024-05-05,8
2024-05-06,3
2024-05-07,3
2024-05-08,41
2024-05-09,71
2024-05-10,79
2024-05-11,54
2024-05-12,79
2024-05-13,0
2024-05-14,81
2024-05-15,36
2024-05-16,28
2024-05-17,105
2024-05-18,184
2024-05-19,124
2024-05-20,0
2024-05-21,93
2024-05-22,49
2024-05-23,76
2024-05-24,85
2024-05-25,135
2024-05-26,60
2024-05-27,0
2024-05-28,53
2024-05-29,55
2024-05-30,79
2024-05-31,87
2024-06-01,136
2024-06-02,81
2024-06-03,0
2024-06-04,104
2024-06-05,50
2024-06-06,203
2024-06-07,113
2024-06-08,47
2024-06-09,90
2024-06-10,0
2024-06-11,72
2024-06-12,65
2024-06-13,95
2024-06-14,69
2024-06-15,103
