영업일자,매출수량
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,0
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,0
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,0
2023-02-28,0
2023-03-01,0
2023-03-02,0
2023-03-03,0
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,0
2023-03-12,0
2023-03-13,0
2023-03-14,0
2023-03-15,0
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,114
2023-04-01,193
2023-04-02,206
2023-04-03,0
2023-04-04,112
2023-04-05,10
2023-04-06,13
2023-04-07,56
2023-04-08,92
2023-04-09,113
2023-04-10,0
2023-04-11,11
2023-04-12,34
2023-04-13,37
2023-04-14,51
2023-04-15,20
2023-04-16,54
2023-04-17,0
2023-04-18,5
2023-04-19,21
2023-04-20,17
2023-04-21,34
2023-04-22,92
2023-04-23,90
2023-04-24,0
2023-04-25,4
2023-04-26,12
2023-04-27,16
2023-04-28,21
2023-04-29,26
2023-04-30,68
2023-05-01,73
2023-05-02,9
2023-05-03,17
2023-05-04,19
2023-05-05,8
2023-05-06,13
2023-05-07,28
2023-05-08,0
2023-05-09,21
2023-05-10,6
2023-05-11,14
2023-05-12,16
2023-05-13,55
2023-05-14,52
2023-05-15,0
2023-05-16,19
2023-05-17,16
2023-05-18,21
2023-05-19,25
2023-05-20,59
2023-05-21,41
2023-05-22,0
2023-05-23,15
2023-05-24,23
2023-05-25,15
2023-05-26,16
2023-05-27,17
2023-05-28,23
2023-05-29,58
2023-05-30,18
2023-05-31,6
2023-06-01,15
2023-06-02,14
2023-06-03,70
2023-06-04,110
2023-06-05,46
2023-06-06,57
2023-06-07,7
2023-06-08,7
2023-06-09,11
2023-06-10,33
2023-06-11,22
2023-06-12,0
2023-06-13,8
2023-06-14,14
2023-06-15,5
2023-06-16,16
2023-06-17,49
2023-06-18,25
2023-06-19,0
2023-06-20,1
2023-06-21,3
2023-06-22,4
2023-06-23,16
2023-06-24,25
2023-06-25,22
2023-06-26,0
2023-06-27,4
2023-06-28,3
2023-06-29,1
2023-06-30,13
2023-07-01,27
2023-07-02,15
2023-07-03,0
2023-07-04,2
2023-07-05,5
2023-07-06,5
2023-07-07,10
2023-07-08,33
2023-07-09,2
2023-07-10,0
2023-07-11,1
2023-07-12,1
2023-07-13,0
2023-07-14,0
2023-07-15,11
2023-07-16,2
2023-07-17,0
2023-07-18,0
2023-07-19,3
2023-07-20,7
2023-07-21,8
2023-07-22,9
2023-07-23,10
2023-07-24,0
2023-07-25,1
2023-07-26,1
2023-07-27,6
2023-07-28,5
2023-07-29,8
2023-07-30,8
2023-07-31,0
2023-08-01,3
2023-08-02,6
2023-08-03,5
2023-08-04,11
2023-08-05,13
2023-08-06,4
2023-08-07,0
2023-08-08,9
2023-08-09,6
2023-08-10,0
2023-08-11,3
2023-08-12,8
2023-08-13,19
2023-08-14,10
2023-08-15,20
2023-08-16,1
2023-08-17,6
2023-08-18,1
2023-08-19,9
2023-08-20,9
2023-08-21,0
2023-08-22,4
2023-08-23,1
2023-08-24,0
2023-08-25,1
2023-08-26,24
2023-08-27,13
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,4
2023-09-01,6
2023-09-02,29
2023-09-03,22
2023-09-04,0
2023-09-05,4
2023-09-06,4
2023-09-07,3
2023-09-08,5
2023-09-09,39
2023-09-10,39
2023-09-11,0
2023-09-12,12
2023-09-13,2
2023-09-14,4
2023-09-15,10
2023-09-16,37
2023-09-17,24
2023-09-18,0
2023-09-19,10
2023-09-20,2
2023-09-21,11
2023-09-22,21
2023-09-23,64
2023-09-24,66
2023-09-25,0
2023-09-26,4
2023-09-27,13
2023-09-28,84
2023-09-29,118
2023-09-30,90
2023-10-01,107
2023-10-02,92
2023-10-03,68
2023-10-04,9
2023-10-05,10
2023-10-06,25
2023-10-07,103
2023-10-08,110
2023-10-09,118
2023-10-10,26
2023-10-11,48
2023-10-12,61
2023-10-13,69
2023-10-14,43
2023-10-15,94
2023-10-16,0
2023-10-17,78
2023-10-18,63
2023-10-19,38
2023-10-20,68
2023-10-21,110
2023-10-22,120
2023-10-23,111
2023-10-24,55
2023-10-25,117
2023-10-26,88
2023-10-27,95
2023-10-28,140
2023-10-29,158
2023-10-30,146
2023-10-31,95
2023-11-01,65
2023-11-02,180
2023-11-03,117
2023-11-04,164
2023-11-05,103
2023-11-06,30
2023-11-07,37
2023-11-08,41
2023-11-09,80
2023-11-10,35
2023-11-11,54
2023-11-12,36
2023-11-13,20
2023-11-14,23
2023-11-15,20
2023-11-16,10
2023-11-17,19
2023-11-18,22
2023-11-19,40
2023-11-20,0
2023-11-21,19
2023-11-22,6
2023-11-23,7
2023-11-24,2
2023-11-25,19
2023-11-26,10
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0
2023-12-01,0
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,0
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,20
2024-03-30,50
2024-03-31,66
2024-04-01,0
2024-04-02,40
2024-04-03,12
2024-04-04,18
2024-04-05,62
2024-04-06,40
2024-04-07,31
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,117
2024-04-12,82
2024-04-13,155
2024-04-14,170
2024-04-15,0
2024-04-16,39
2024-04-17,66
2024-04-18,50
2024-04-19,76
2024-04-20,31
2024-04-21,98
2024-04-22,0
2024-04-23,45
2024-04-24,13
2024-04-25,39
2024-04-26,48
2024-04-27,126
2024-04-28,159
2024-04-29,0
2024-04-30,46
2024-05-01,88
2024-05-02,18
2024-05-03,41
2024-05-04,103
2024-05-05,24
2024-05-06,6
2024-05-07,1
2024-05-08,17
2024-05-09,29
2024-05-10,19
2024-05-11,30
2024-05-12,65
2024-05-13,0
2024-05-14,29
2024-05-15,33
2024-05-16,18
2024-05-17,14
2024-05-18,97
2024-05-19,57
2024-05-20,0
2024-05-21,24
2024-05-22,11
2024-05-23,30
2024-05-24,16
2024-05-25,81
2024-05-26,16
2024-05-27,0
2024-05-28,37
2024-05-29,28
2024-05-30,14
2024-05-31,30
2024-06-01,79
2024-06-02,65
2024-06-03,0
2024-06-04,25
2024-06-05,16
2024-06-06,145
2024-06-07,60
2024-06-08,25
2024-06-09,43
2024-06-10,0
2024-06-11,12
2024-06-12,10
2024-06-13,14
2024-06-14,12
2024-06-15,60
